Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
327283;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;1386,9799005308
327284;2;4;80;1;2;2; ;2; ; ; ; ; ;2;19;2831,61652426517
327284;2;5;80;2; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327284;2;6;80;2; ; ; ; ; ; ; ; ; ;2;19;2831,61652426517
327285;2;2;80;1;4;3; ;2; ; ; ; ; ;2;19;1413,82478631391
327287;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327287;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;1799,79618744299
327288;2;2;80;1;4;7; ;2; ; ; ; ; ;2;19;2137,4772342746
327289;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327289;2;5;80;2; ; ; ; ; ; ; ; ; ;2;19;2342,24726130144
327292;2;2;80;1;4;3; ;2; ; ; ; ; ;2;19;1510,84916643825
327292;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;1510,84916643825
327293;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327293;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;2023,54467380546
327294;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;1899,675407898
327295;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;1413,82478631391
327296;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;2077,45705370699
327297;2;1;80;1;4;6; ;2; ; ; ; ; ;2;19;2029,60828153129
327297;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;2029,60828153129
327299;2;1;80;1;3;3; ;2; ; ; ; ; ;2;19;1584,94595954309
327637;2;2;80;2; ; ; ; ; ; ; ; ; ;2;50;669,672025719022
327637;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;669,672025719022
327637;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;669,672025719022
327639;2;3;80;1;1;1; ;2; ; ; ; ; ;2;50;1097,59884709913
327641;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;855,743405258568
327642;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;923,817419493429
327642;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;923,817419493429
327643;2;2;80;1;4;2; ;2; ; ; ; ; ;2;50;1012,04373965884
327644;2;2;80;1;3;2; ;2; ; ; ; ; ;2;50;1414,55559259399
327644;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;1414,55559259399
327644;2;4;80;2; ; ; ; ; ; ; ; ; ;2;50;1414,55559259399
327646;2;3;80;2; ; ; ; ; ; ; ; ; ;2;50;938,101830231809
