Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
323350;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;600,288344941844
323350;2;2;50;2;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;1;08;08;600,288344941844
323353;2;1;50;1;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;08;08;588,839293917519
323353;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;588,839293917519
323353;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;588,839293917519
323353;2;4;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;588,839293917519
323354;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;429,949911866691
323354;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;429,949911866691
323355;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;587,326251723511
323355;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;587,326251723511
323355;2;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;587,326251723511
323356;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;7;50;7;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;8;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;9;50;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;299,269308618218
323357;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;429,303837282491
323358;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;3;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;4;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;5;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;6;50;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;7;50;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323360;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;391,962744409906
323360;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;391,962744409906
323361;2;1;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;433,500763737866
323361;2;2;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;433,500763737866
323362;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;483,566572131919
323362;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;483,566572131919
323362;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;483,566572131919
323362;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;483,566572131919
323363;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;08;559,490327877292
323363;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;08;08;559,490327877292
