Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
323350;2;2;80;1;4;2; ;2; ; ; ; ; ;1;08;08;600,288344941844
323353;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;588,839293917519
323353;2;4;80;2; ; ; ; ; ; ; ; ; ;1;08;08;588,839293917519
323354;2;1;80;1;4;4; ;3; ; ; ; ; ;1;08;08;429,949911866691
323354;2;2;80;1;4;2; ;2; ; ; ; ; ;1;08;08;429,949911866691
323355;2;2;80;1;4;2; ;2; ; ; ; ; ;1;08;08;587,326251723511
323355;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;587,326251723511
323356;2;1;80;1;4;4; ;3; ; ; ; ; ;1;08;08;299,269308618218
323356;2;2;80;1;4;2; ;2; ; ; ; ; ;1;08;08;299,269308618218
323356;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;7;80;1;4;2; ;2; ; ; ; ; ;1;08;08;299,269308618218
323356;2;8;80;2; ; ; ; ; ; ; ; ; ;1;08;08;299,269308618218
323356;2;9;80;1;4;4; ;3; ; ; ; ; ;1;08;08;299,269308618218
323357;2;1;80;1;4;2; ;2; ; ; ; ; ;1;08;08;429,303837282491
323358;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;4;80;2; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323358;2;5;80;2; ; ; ; ; ; ; ; ; ;1;08;08;555,992090436928
323361;2;1;80;2; ; ; ; ; ; ; ; ; ;1;08;08;433,500763737866
323361;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;433,500763737866
323363;2;2;80;1;4;2; ;2; ; ; ; ; ;1;08;08;559,490327877292
323363;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;559,490327877292
323364;2;3;80;2; ; ; ; ; ; ; ; ; ;1;08;08;329,039418759426
323364;2;4;80;2; ; ; ; ; ; ; ; ; ;1;08;08;329,039418759426
323366;2;2;80;2; ; ; ; ; ; ; ; ; ;1;08;08;448,746125489273
323368;2;2;80;1;4;2; ;3; ; ; ; ; ;1;08;08;390,863556242447
323370;2;2;80;1;1;6; ;2; ; ; ; ; ;1;11;11;2319,61672440657
323370;2;3;80;1;1;6; ;2; ; ; ; ; ;1;11;11;2319,61672440657
