Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
323387;13;2;3;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;2;3;1;01;13;1;236,837198696534
323389;13;2;4;2;2;1;1;1;1;3;4; ; ; ;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;1;1;3;1;01;13;1;584,941099620124
323391;13;2;3;2;1;1;1;1;1;3;4; ; ; ;180000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;01;13;1;268,045452832465
323394;13;2;5;4;1;1;1;1;1;3;1; ; ;98;98; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;3;3;1;01;13;1;273,342631806238
323397;13;2;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;3;3;1;01;13;1;252,916364979526
323399;13;2;3;2;1;1;1;1;1;3;1; ; ;98;150000; ;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;1;3;1;01;13;1;475,058280981246
323403;13;2;4;2;1;1;1;1;1;3;2; ;196000;98;200000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;1;1;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;2;3;1;01;13;1;233,973769285042
323405;13;2;3;2;1;1;1;1;1;3;3; ; ; ; ;360000;2;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;13;1;285,752860243505
323407;13;2;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;2;2;1;2;1;4;1;1;1;1;1;3;3;1;01;13;1;271,580447881286
323409;13;2;2;1;1;1;1;1;1;3;3; ; ; ; ;120000;2;2;2;2;2;2;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;1;3;1;01;13;1;503,362353392165
323410;13;2;3;2;1;1;1;1;1;3;3; ; ; ; ;270000;1;1;2;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;3;1;01;13;1;213,795985307114
323411;13;2;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;3;1;01;13;1;268,025076675705
323412;13;2;4;3;1;1;1;1;1;3;2; ;269000;98;260000; ;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;2;3;1;01;13;1;230,593465076008
323480;17;2;4;3;1;1;1;1;1;4;3; ; ; ; ;450000;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;3;1;2;1;1;1;4;2;1;01;17;1;138,253252715591
323483;17;2;3;3;1;1;1;1;1;4;4; ; ; ;100000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;1;1;2;2;1;1;4;4;1;2;1;1;1;1;2;1;01;17;1;181,067595942159
323485;17;2;5;2;1;1;1;1;1;4;3; ; ; ; ;450000;1;1;2;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;2;2;1;2;1;3;1;2;1;1;1;4;2;1;01;17;1;131,898020699565
323487;17;2;5;3;1;1;1;1;1;4;3; ; ; ; ;380000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;6;1;2;1;1;1;3;2;1;01;17;1;131,128479743248
323488;17;2;3;2;1;1;1;1;1;4;1; ; ;15000000;120000; ;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;1;1;1;1;2;1;01;17;1;136,855735145494
323489;17;2;1;1;1;1;1;1;1;4;3; ; ; ; ;50000;2;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;17;1;153,327204819022
323490;17;2;1;1;1;1;1;1;1;4;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;17;1;161,628422933956
323491;17;2;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;136,867158684973
323492;17;2;4;2;1;1;1;1;1;4;1; ; ;30000000;200000; ;1;2;2;1;1;1;1;1;2;1;1;2;1;1;2;2;2;1;2;2;2;1;1;1;6;1;2;1;1;1;1;2;1;01;17;1;149,87643999747
323494;17;2;2;1;1;1;1;1;1;4;1; ; ;20000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;3;1;2;1;1;1;1;2;1;01;17;1;154,161297492034
323495;17;2;5;2;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;2;1;2;1;3;1;1;1;1;1;3;2;1;01;17;1;146,554470830525
323496;17;2;3;2;1;1;1;1;1;4;3; ; ; ; ;80000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;4;3;1;2;1;1;1;3;2;1;01;17;1;169,864503956152
323498;17;2;3;3;1;1;1;1;1;4;1; ; ;40000000;200000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2;4;3;1;2;1;1;1;3;2;1;01;17;1;137,305707206639
323500;17;2;3;2;1;1;1;1;1;3;1; ; ;35000000;250000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;148,961919034201
323502;17;2;4;2;1;1;1;1;1;4;3; ; ; ; ;180000;2;1;2;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;144,169869705806
323505;17;2;4;1;1;1;1;1;1;3;2; ;40000;60000000;350000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;3;1;1;1;1;1;3;2;1;01;17;1;139,263183349171
323506;17;2;3;2;1;1;1;1;1;3;1; ; ;45000000;250000; ;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;148,961919034201
323507;17;2;4;3;1;1;1;1;1;3;1; ; ;65000000;300000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;3;1;1;1;1;1;3;2;1;01;17;1;173,328463509621
323508;17;2;5;3;1;1;1;1;1;3;1; ; ;40000000;200000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;121,793206581541
323509;17;2;5;2;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;1;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;151,524458207411
323510;17;2;4;3;1;1;1;1;1;4;3; ; ; ; ;200000;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;157,407291402805
323511;17;2;6;2;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;141,221020930315
323513;17;2;3;2;1;1;1;1;1;3;1; ; ;40000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;3;1;1;1;1;1;3;2;1;01;17;1;151,598268495613
323515;17;2;5;2;1;1;1;1;1;3;2; ;81000;35000000;200000; ;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;136,867158684973
323517;17;2;6;3;1;1;1;1;1;3;2; ;115000;70000000;350000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;149,796011707213
323519;17;2;3;1;1;1;1;1;1;4;3; ; ; ; ;180000;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;17;1;141,82572252238
323520;17;2;6;4;1;1;1;1;1;3;2; ;310000;60000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;152,733436943225
323522;17;2;6;4;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;141,494303769067
323524;17;2;5;2;1;1;1;1;1;3;2; ;300000;35000000;300000; ;1;1;2;2;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;124,189231245739
323526;17;2;5;3;1;1;1;1;1;3;2; ;1060000;80000000;500000; ;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;4;1;1;1;1;1;4;2;1;01;17;1;173,98366956186
323527;17;2;7;3;1;1;1;1;1;3;1; ; ;80000000;600000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;3;1;1;1;1;1;4;2;1;01;17;1;159,871121164089
323533;17;2;4;2;1;1;1;1;1;3;3; ; ; ; ;260000;2;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;7;1;1;1;1;1;4;2;1;01;17;1;167,567026084554
323535;17;2;5;1;1;1;1;1;1;3;3; ; ; ; ;260000;1;1;2;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;01;17;1;159,665480522193
323538;17;2;3;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;4;3;1;1;1;1;1;3;2;1;01;17;1;140,233447552481
323540;17;2;3;1;1;1;1;1;1;4;1; ; ;10000000;150000; ;2;1;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;4;3;1;2;1;1;1;3;2;1;01;17;1;141,82572252238
323541;17;2;4;2;1;1;1;1;1;4;1; ; ;60000000;350000; ;1;1;2;1;1;1;1;2;2;2;1;1;2;1;2;2;2;1;2;2;2;1;2;1;6;1;2;1;1;1;3;2;1;01;17;1;146,806219167217
323542;17;2;4;1;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;2;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;4;3;1;1;1;1;1;3;2;1;01;17;1;129,159218622625
323544;17;2;6;4;1;1;1;1;1;3;3; ; ; ; ;180000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;6;1;1;1;1;1;3;2;1;01;17;1;159,682827963309
323546;17;2;5;4;1;1;1;1;1;4;3; ; ; ; ;190000;2;1;2;2;1;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;6;1;2;1;1;1;3;2;1;01;17;1;141,575221882536
323549;17;2;3;2;1;1;1;1;1;4;3; ; ; ; ;140000;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;6;1;2;1;1;1;3;2;1;01;17;1;179,002990031274
323552;17;2;4;1;1;1;1;1;1;4;1; ; ;40000;140000; ;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;4;6;1;2;1;1;1;3;2;1;01;17;1;131,721757795834
323556;17;2;6;5;1;2;1;1;1;3;3; ; ; ; ;130000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;1;1;1;1;3;2;1;01;17;1;145,676613618726
323558;17;2;6;5;1;2;1;1;1;3;3; ; ; ; ;110000;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;1;1;1;1;3;2;1;01;17;1;161,994302687913
323561;17;2;6;5;1;2;1;1;1;3;3; ; ; ; ;110000;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;1;1;1;1;3;2;1;01;17;1;171,271471983226
323562;17;2;3;2;1;1;1;1;1;4;3; ; ; ; ;140000;2;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;6;1;2;1;1;1;3;2;1;01;17;1;179,264849330548
323563;17;2;3;2;1;1;1;1;1;4;3; ; ; ; ;140000;1;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;4;6;1;2;1;1;1;3;2;1;01;17;1;147,993265095601
323564;17;2;6;2;1;1;1;1;1;3;1; ; ;98;98; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;146,554470830525
323565;17;2;4;1;1;1;1;1;1;3;2; ;260000;98;98; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;141,82572252238
323566;17;2;2;1;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;1;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;177,952955879074
323567;17;2;3;1;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;157,549468313505
323569;17;2;3;3;1;1;1;1;1;4;3; ; ; ; ;270000;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;149,569646489037
323570;17;2;4;2;1;1;1;1;1;4;3; ; ; ; ;180000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;3;1;2;1;1;1;3;2;1;01;17;1;143,991931657315
323572;17;2;4;1;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;2;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;1;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;141,82572252238
323573;17;2;4;3;1;1;1;1;1;3;4; ; ; ;150000; ;1;1;2;2;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;1;184,246044665123
323574;17;2;4;2;1;1;1;1;1;3;3; ; ; ; ;60000;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;1;157,692490603843
323575;17;2;4;3;1;1;1;1;1;4;3; ; ; ; ;140000;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;17;1;130,961965234237
323576;17;2;5;3;1;1;1;1;1;3;1; ; ;17000000;200000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;1;142,888162593189
323577;17;2;3;2;1;1;1;1;1;3;4; ; ; ;180000; ;1;1;1;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;3;1;1;1;1;1;3;2;1;01;17;1;180,919982333085
323578;17;2;3;2;1;1;1;1;1;3;3; ; ; ; ;100000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;17;1;161,622891346863
323579;17;2;4;2;1;1;1;1;1;3;4; ; ; ;120000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;3;1;1;1;1;1;3;2;1;01;17;1;184,745429766902
323580;17;2;6;5;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;1;139,199882328919
323581;17;2;5;3;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;1;121,62669207253
323582;17;2;6;2;1;1;1;1;1;3;1; ; ;100000000;300000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;1;143,991931657315
323583;17;2;6;3;1;1;1;1;1;3;1; ; ;100000000;600000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;1;138,253252715591
323825;23;2;4;3;2;1;1;1;1;3;1; ; ;38000000;300000; ;1;1;2;1;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;1;1;4;1;1;2;1;1;2;3;1;01;23;1;110,068414562788
