DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,AREA,fex_c_2011
2776150,1,2,1,70,1,12,40,2,,2,12,1,,9,2,,,,,,,,,,1,,2,,2,19,21,75,1,1,7530,9,54,54,317.429.917.527.457
2776157,1,3,1,70,1,28,48,4,,2,1,1,,2,1,,,,,,,,,,1,,1,250000,2,95,95,36,1,2,3611,9,54,54,384.911.366.226.543
2776162,1,3,1,70,1,2,48,1,,2,104,1,,4,4,,,,,,,,,,1,,2,,2,33,33,52,1,1,5244,9,73,73,260.711.640.249.297
2776174,1,3,1,70,1,52,60,1,,2,52,1,,9,7,,,,,,,,,,1,,2,,2,33,38,64,1,2,6422,9,73,73,222.898.193.145.836
2776177,1,2,1,70,1,4,60,1,,2,4,1,,2,1,,,,,,,,,,1,,1,300000,2,97,21,64,1,1,6422,9,73,73,227.643.369.003.854
2776180,1,3,1,70,1,8,48,1,,2,8,1,,3,4,,,,,,,,,,1,,2,,2,45,45,52,1,1,5233,9,73,73,19.862.385.421.784
2776180,1,5,1,70,1,15,48,1,,2,8,1,,3,4,,,,,,,,,,1,,2,,2,45,45,52,1,2,5233,9,73,73,19.862.385.421.784
2776186,1,3,1,70,1,8,48,1,,2,16,1,,4,1,,,,,,,,,,1,,2,,2,45,95,45,1,1,4521,9,66,66,261.303.102.207.151
2776190,1,2,1,70,1,8,50,1,,2,8,1,,4,1,,,,,,,,1,,,,2,,2,45,54,55,1,1,5512,9,66,66,733.085.791.978.603
2776197,1,5,1,70,1,39,60,3,,2,52,8,,5,1,,,,,,,,,,1,,2,,2,54,61,1,1,2,111,9,66,66,527.947.213.358.279
2776203,1,1,1,70,1,4,48,1,,2,8,1,,5,7,,,,,,,,,,1,,2,,2,44,44,93,1,1,9303,9,66,66,736.603.057.052.641
2776205,1,1,1,70,1,2,48,4,,2,3,4,,2,1,,,,,,,,,,1,,1,1300000,2,84,84,50,1,1,5040,9,66,66,234.089.293.692.519
2776218,1,2,1,70,1,2,48,4,,2,4,1,,2,1,,,,,,,,,,1,,1,20000,2,45,95,45,1,1,4521,9,23,23,144.759.983.438.924
2776222,1,2,1,70,1,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,59,,,1,2,,9,23,23,153.216.039.942.589
2776229,1,1,1,70,1,52,48,1,,2,4,4,,1,2,,,,,,,,,,1,,1,600000,2,38,85,45,1,2,4542,9,17,17,171.894.576.201.675
2776229,1,2,1,70,1,52,48,1,,2,32,4,,2,1,,,,,,,,,,1,,2,,2,2,41,52,1,2,5239,9,17,17,171.894.576.201.675
2776230,1,1,1,70,1,52,48,1,,2,32,1,,4,1,,,,,,,,,1,,PENSIONADO,2,,2,17,37,15,1,2,1551,9,17,17,158.564.711.915.648
2776239,1,1,1,70,1,8,48,2,,2,8,3,,1,1,,,,,,,,,,1,,2,,2,55,54,95,1,1,9500,9,27,27,114.511.328.745.373
2776241,1,1,1,70,1,52,40,2,,2,52,1,,3,1,,,,,,,,,,1,,2,,2,55,53,55,1,2,5521,9,27,27,873.942.446.277.274
2776243,1,6,1,70,1,3,60,1,,2,3,1,,4,1,,,,,,,,,,1,,1,400000,2,95,95,45,1,1,4522,9,27,27,114.511.328.745.373
2776245,1,1,1,70,1,52,48,1,,2,52,1,,4,1,,,,,,,,,,1,,2,,2,53,53,55,1,2,5521,9,27,27,279.295.923.769.202
2776246,1,1,1,70,1,28,48,1,,2,28,1,,6,1,,,,,,,,,,1,,2,,2,55,55,80,1,2,8012,9,27,27,364.652.471.992.358
2776247,1,1,1,70,1,32,40,2,,2,32,2,,9,1,,,,,,,,,,1,,2,,2,13,13,80,1,2,8012,9,27,27,114.511.328.745.373
2776254,1,2,1,70,1,4,48,3,,2,4,3,,1,1,,,,,,,,,,1,,1,380000,2,54,54,95,1,1,9500,9,17,17,153.033.450.661.886
2776273,1,1,1,70,1,3,50,4,,2,3,4,,1,1,,,,,,,,,,1,,1,750000,2,95,95,45,1,1,4521,9,63,63,297.365.591.044.323
2776275,1,1,1,70,1,2,60,1,,2,88,2,,9,1,,,,,,,,,1,,YA ES  PENSIONADO,2,,2,98,58,75,1,1,7522,9,63,63,125.847.856.141.043
2776280,1,6,1,70,1,36,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,9,63,63,209.938.759.226.465
2776282,1,1,1,70,1,3,48,1,,2,3,4,,1,1,,,,,,,,,,1,,1,3000000,2,40,41,52,1,1,5233,9,63,63,149.289.774.950.191
2776288,1,1,1,70,1,1,48,1,,2,1,1,,2,1,,,,,,,,,,1,,1,480000,2,95,95,45,1,1,4521,9,18,18,613.163.052.840.272
2776297,1,3,1,70,1,52,48,1,,2,52,4,,1,4,,,,,,,,,,1,,2,,2,85,41,52,1,2,5211,9,47,47,123.700.421.442.323
2776312,1,2,1,70,1,96,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,13,,,1,2,,9,47,47,125.646.382.590.486
2776313,1,1,1,70,1,6,6,4,,2,24,4,,9,1,,,,,1,,,,,,,2,,2,13,13,80,1,1,8050,9,68,68,461.408.896.798.016
2776317,2,1,2,70,1,2,48,4,,2,2,4,,1,1,,,,,,,,,,1,,1,800000,2,88,88,36,1,1,3691,9,68,68,561.883.849.743.191
2776328,1,3,1,70,1,16,26,5,,2,16,1,,4,2,,,,,,1,,,,,,2,,2,21,21,74,1,2,7491,9,68,68,40.613.740.466.876
2776329,1,4,1,70,1,1,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,30,,,1,1,,9,68,68,417.873.809.135.872
2776348,1,2,1,70,1,2,48,1,,2,7,4,,1,1,,,,,,,,,,1,,2,,2,58,98,60,1,1,6031,9,70,70,986.967.249.698.959
2776355,1,6,1,70,1,52,48,1,,2,52,1,,4,4,,,,,,,,,,1,,2,,2,45,33,55,1,2,5521,9,20,20,102.974.405.826.436
2776364,1,2,1,70,1,1,40,4,,2,10,4,,1,2,,,,,,1,,,,,,2,,2,93,93,92,1,1,9214,9,20,20,152.544.419.900.001
2776377,1,2,1,70,1,2,48,1,,2,2,1,,7,1,,,,,,,,,,1,,1,140000,2,95,95,45,1,1,4521,9,52,52,170.471.182.675.695
2776379,1,2,1,70,1,20,48,1,,2,20,1,,5,1,,,,,,,,,,1,,2,,2,79,79,18,1,2,1810,9,52,52,136.941.014.725.286
2776381,1,3,1,70,1,26,48,1,,2,26,1,,4,1,,,,,,,,,,1,,2,,2,45,77,15,1,2,1511,9,52,52,204.334.782.136.352
2776381,1,5,1,70,1,3,50,1,,2,3,1,,5,1,,,,,,,,,,1,,1,130000,2,95,95,45,1,1,4521,9,52,52,204.334.782.136.352
2776395,1,1,1,70,1,4,48,1,,2,4,1,,3,1,,,,,,,,,,1,,1,200000,2,55,45,52,1,1,5233,9,52,52,264.779.686.905.698
2776410,1,2,1,70,1,3,51,1,,2,3,1,,4,1,,,,,,,,,,1,,1,600000,2,95,95,45,1,1,4530,9,50,50,201.602.770.004.487
2776411,1,3,1,70,1,12,48,3,,2,2,3,,1,1,,,,,,,,,,1,,1,80000,2,54,54,95,1,1,9500,9,50,50,122.931.513.199.216
2776414,1,4,1,70,1,4,40,1,,2,4,1,,4,4,,,,,,,,,,1,,1,230000,2,32,32,85,1,1,8514,9,50,50,151.471.434.894.752
2776423,1,4,1,70,1,2,48,1,,2,3,1,,5,4,,,,,,,,,,1,,1,800000,2,53,53,55,1,1,5529,9,5,5,923.132.046.120.404
2776430,1,9,1,70,1,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,9,23,23,797.327.603.364.616
2776439,1,3,1,70,1,104,48,1,,2,104,1,,9,4,,,,,,,,,,1,,2,,2,33,38,75,1,2,7512,9,23,23,10.460.338.610.057
2776443,1,2,1,70,1,8,24,4,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,56,56,93,1,1,9301,9,23,23,100.680.820.107.462
2776461,1,5,1,70,1,4,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,98,,,1,1,,9,66,66,163.997.573.597.497
2776462,1,2,1,70,1,2,48,1,,2,99,1,,9,1,,,,,,,,,,1,,2,,2,45,97,64,1,1,6421,9,66,66,282.452.986.945.816
2776472,1,1,1,70,1,20,48,1,,2,20,1,,8,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5231,9,66,66,260.130.680.515.805
2776479,1,2,1,70,1,4,20,1,,2,104,1,,4,1,,,,,,,,,,1,,2,,2,53,53,55,1,1,5522,9,66,66,214.026.091.196.493
2776481,1,1,1,70,1,4,48,1,,2,4,1,,2,1,,,,,,,,,,1,,2,,2,58,58,63,1,1,6331,9,66,66,174.668.078.435.687
2776481,1,3,1,70,1,8,48,1,,2,52,1,,5,1,,,,,,,,,,1,,2,,2,87,79,18,1,1,1810,9,66,66,174.668.078.435.687
2776482,1,2,1,70,1,52,48,1,,2,52,1,,5,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5233,9,66,66,286.569.935.210.265
2776483,1,1,1,70,1,2,48,3,,2,2,3,,1,1,,,,,,,,,,1,,1,250000,2,54,54,95,1,1,9500,9,66,66,246.699.315.068.742
2776488,1,1,1,70,1,20,48,1,,2,20,1,,9,4,,,,,,,,,,1,,2,,2,58,58,65,1,2,6512,9,18,18,569.416.068.825.604
2776497,1,2,1,70,1,20,48,1,,2,20,4,,1,1,,,,,,,,,,1,,2,,2,95,45,52,1,2,5262,9,18,18,638.739.047.110.817
