DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2776149,1,4,3,1,1,1,1,1,3,1,,,40000000,400000,,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,3,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,2,1,54,9,54,1,219.420.306.247.009
2776150,1,2,1,1,1,1,1,1,3,3,,,,,600000,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,,2,1,2,1,4,1,1,1,1,1,4,3,1,1,54,9,54,1,317.429.917.527.457
2776152,1,3,2,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,2,1,4,1,2,1,1,1,2,3,2,1,54,9,54,1,395.262.760.905.512
2776154,1,4,3,1,1,1,1,1,4,4,,,,300000,,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,3,2,2,,6,1,2,1,2,1,2,1,1,1,2,3,2,1,54,9,54,1,376.180.080.691.885
2776155,1,4,1,1,1,1,1,1,4,1,,,35000000,300000,,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,2,1,1,1,2,3,2,1,54,9,54,1,286.017.208.419.971
2776157,1,3,2,1,1,1,1,1,3,5,,,,300000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,5,1,1,1,2,1,1,1,1,1,2,3,2,1,54,9,54,1,384.911.366.226.543
2776158,1,3,2,1,1,1,2,5,5,4,,,,200000,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,1,1,2,2,2,1,1,2,,3,,1,54,9,54,1,351.961.853.022.036
2776160,1,3,2,1,1,1,1,1,3,3,,,,,200000,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,2,1,2,1,1,1,1,1,2,3,2,1,73,9,73,1,261.698.222.406.648
2776161,1,3,1,1,1,1,1,1,3,4,,,,250000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,2,3,2,1,73,9,73,1,181.481.822.136.795
2776162,1,6,4,1,1,1,1,1,3,6,LA VENDIERON HACE 8 DIAS Y ESTAN EN TIEMPO DADO POR EL COMPRADOR,,,200000,,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,4,2,2,,7,1,1,1,2,1,1,1,1,1,2,3,1,1,73,9,73,1,260.711.640.249.297
2776165,1,1,1,1,1,1,1,1,3,2,,406000,70000000,300000,,1,2,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,2,3,2,1,73,9,73,1,26.341.998.323.192
2776167,1,4,2,1,1,1,1,1,3,1,,,50000000,350000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,2,1,2,1,1,1,1,1,2,3,2,1,73,9,73,1,202.713.318.641.118
2776168,1,3,2,1,1,1,1,1,3,3,,,,,250000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,2,1,73,9,73,1,279.260.894.917.805
2776169,1,4,3,1,1,1,1,1,3,3,,,,,265000,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,4,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,1,1,73,9,73,1,270.113.446.271.122
2776171,1,3,2,1,1,1,1,1,3,3,,,,,180000,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,,4,1,2,1,2,1,1,1,1,1,2,3,2,1,73,9,73,1,246.439.083.278.331
2776172,1,3,1,1,1,1,1,1,3,3,,,,,300000,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,4,1,1,1,1,1,3,3,1,1,73,9,73,1,181.481.822.136.795
2776173,1,4,3,1,1,1,1,1,3,3,,,,,450000,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,4,3,1,1,73,9,73,1,232.441.062.145.709
2776174,1,4,2,1,1,1,1,1,3,1,,,25000000,180000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,2,3,2,1,73,9,73,1,222.898.193.145.836
2776175,1,3,2,1,1,1,1,1,4,4,,,,200000,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,1,1,2,1,2,1,1,1,2,3,2,1,73,9,73,1,350.361.638.959.518
2776176,1,4,3,1,1,1,1,1,3,1,,,40000000,400000,,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,2,1,4,1,1,1,1,1,2,3,1,1,73,9,73,1,250.135.738.290.726
2776177,1,3,2,1,1,1,1,1,3,1,,,30000000,250000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,1,1,4,1,1,1,1,1,2,3,2,1,73,9,73,1,227.643.369.003.854
