DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;clase;MES;DSI;DSCY;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1;OFICIO2;DPTO;fex_c_2011
5169149;1;1;1;70;1;44;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;480000;2; ;2;05;1;1;4111;41;97;95;76;1753,36527244938
5169153;1;1;1;70;6;48;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;1;4111;41;95;95;76;2184,15382303658
5169156;1;5;1;70;1;48;2; ;2;70;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;2;05;1;1;4771;47;32;33;76;2578,22499226426
5169157;1;1;1;70;52;40;1; ;2;208;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;2;4711;47;58;45;76;1918,01067684982
5169158;1;1;1;70;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;2;05;1;2;1082;10;95;97;76;3278,57027426182
5169159;1;1;1;70;25;48;3; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;2;05;1;2;8121;81;54;54;76;819,642568565456
5169162;1;1;1;70;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;1;4921;49;36;36;76;2184,15382303658
5169163;1;1;1;70;16;72;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;2;05;1;2;4921;49;98;98;76;2184,15382303658
5169164;1;1;1;70;3;48;1; ;2;19;4; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;70000;877803;2; ;2;05;1;1;8413;84;59;62;76;2001,28826333111
5169164;1;2;1;70;1;21;4; ;2;56;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;2;05;1;1;9700;97;55;54;76;2001,28826333111
5169165;1;1;1;70;20;48;1; ;2;20;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;2;05;1;2;4111;41;95;95;76;2184,15382303658
5169180;1;1;1;70;9;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;2;05;1;1;4923;49;98;98;25;3092,0323352929
5169180;1;2;1;70;8;48;1; ;2;8;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;1;5629;56;53;53;25;3092,0323352929
5169180;1;3;1;70;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;1;4921;49;62;97;25;3092,0323352929
5169181;1;5;1;70;44;48;1; ;2;44;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;2;05;1;2;1081;10;03;45;25;2262,97278882419
