DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;clase;MES;INI;DPTO;fex_c_2011
5169139;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;44;1381,33921506372
5169142;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;44;496,587911743603
5169143;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;44;908,552519435896
5169148;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;44;1230,99299412962
5169150;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;819,642568565456
5169151;1;1;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;05;1;76;819,642568565456
5169151;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;05;1;76;819,642568565456
5169152;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;05;1;76;819,642568565456
5169152;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;819,642568565456
5169155;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;76;819,642568565456
5169156;1;1;1;80;1;2;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;05;1;76;2578,22499226426
5169156;1;3;1;80;1;1;9;POR CUARENTENA DE COVID 19;2; ; ;12;POR TEMOR A CONTAGIARSE Y CONTAGIAR LA FAMILIA DE COVID 19;1; ;2; ;2; ;720000;2;2;05;1;76;2578,22499226426
5169156;1;7;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;76;2578,22499226426
5169156;1;8;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;2578,22499226426
5169157;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;1918,01067684982
5169157;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;1918,01067684982
5169158;1;2;1;80;1;1;4; ;2; ; ;1; ;2; ;2; ;1;30;800000;2;2;05;1;76;3278,57027426182
5169158;1;3;1;80;1;1;6; ;2; ; ;1; ;2; ;2; ;1;50;800000;2;2;05;1;76;3278,57027426182
5169159;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;76;819,642568565456
5169159;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;819,642568565456
5169160;1;1;1;80;1;1;7; ;2; ; ;1; ;2; ;2; ;1;56;877803;2;2;05;1;76;2613,37194603772
5169160;1;2;1;80;2; ; ; ; ;1;2;9; ;2; ;2; ;1;40;877803;2;2;05;1;76;2613,37194603772
5169160;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;76;2613,37194603772
5169161;1;1;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ;1;20;400000;2;2;05;1;76;1336,38675951345
5169164;1;3;1;80;1;1;9;LA ABUELA NO LO DEJA TRABAJAR;2; ; ;12;LA ABUELA NO LO DEJA TRABAJAR; ; ;2; ;1;8;600000; ;2;05;1;76;2001,28826333111
5169177;1;2;1;80;1;2;3; ;1; ;1;9; ;1;1;2; ;2; ;1200000;1;2;05;1;25;2790,48362911678
5169179;1;2;1;80;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;2;05;1;25;2509,94573483362
5169179;1;3;1;80;1;1;8; ;2; ; ;1; ;2; ;2; ;1;48;900000;2;2;05;1;25;2509,94573483362
5169179;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;25;2509,94573483362
5169180;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;25;3092,0323352929
5169187;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;25;2815,18121084793
5169188;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;25;2479,65758793842
5169189;1;2;1;80;1;4;3; ;1; ;4;1; ;1; ;2; ; ; ; ;2;2;05;1;25;1283,48012278029
5169190;1;1;1;80;1;4;7; ;1; ;1;4; ;2; ;2; ; ; ;877803;2;2;05;1;25;1568,84646779092
5169190;1;2;1;80;1;4;1; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;05;1;25;1568,84646779092
5169192;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;25;2815,18121084793
5169192;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;25;2815,18121084793
5169193;1;2;1;80;1;2;1; ;2; ; ;9; ;2; ;2; ;2; ;900000;2;2;05;1;25;2393,71713892359
5169194;1;2;1;80;2; ; ; ; ;1;1;1; ;2; ;2; ; ; ; ;2;2;05;1;25;2208,3970286575
5169210;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;05;9285,19358517549
5169210;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169210;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169210;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169211;1;1;1;80;1;2;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;05;1;05;2321,29839629387
5169211;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;2321,29839629387
5169211;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;2321,29839629387
5169212;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;05;1;05;2614,97094201309
5169212;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;2614,97094201309
5169212;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;2614,97094201309
5169212;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;2614,97094201309
5169213;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;05;9285,19358517549
5169213;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;05;9285,19358517549
5169213;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169213;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169213;1;6;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;05;1;05;9285,19358517549
5169214;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;05;1;05;9285,19358517549
