directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;clase;DPTO;Fex_c_2011
12363;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;78,635363988716
12363;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;78,635363988716
12364;1;1;6;2;2;2;2; ;1;11; ; ; ; ; ;1;05;19;1;19;158,285513716685
12364;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;158,285513716685
12364;1;3;4;2;2;2;1;7; ; ; ; ; ; ;1;1;05;19;1;19;158,285513716685
12365;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;05;05;1;05;1827,35111537494
12365;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1;05;1827,35111537494
12366;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;87,3909570807817
12366;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;87,3909570807817
12368;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;05;19;1;19;57,494363337106
12368;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;57,494363337106
12368;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;57,494363337106
12369;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;05;05;1;05;1728,49132987038
12370;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;74,4092347915126
12370;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;74,4092347915126
12370;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;74,4092347915126
12371;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;178,240152251317
12371;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;178,240152251317
12372;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;76;1;76;1007,15927830587
12372;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;05;76;1;76;1007,15927830587
12372;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;76;1;76;1007,15927830587
12372;1;4;4;2;2;2;2; ;1;2;1;2; ; ; ;1;05;76;1;76;1007,15927830587
12373;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;23;1;23;165,052849475267
12373;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;05;23;1;23;165,052849475267
12373;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;23;1;23;165,052849475267
12375;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;122,119129938377
12375;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;05;19;1;19;122,119129938377
12375;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;122,119129938377
12376;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;05;19;1;19;63,4216279143229
12376;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;63,4216279143229
12376;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;05;19;1;19;63,4216279143229
12379;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;165,694270099987
12379;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;165,694270099987
12379;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;23;1;23;165,694270099987
12379;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;05;23;1;23;165,694270099987
12380;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;134,120417139581
12380;1;2;4;2;2;2;1;3; ; ; ; ; ; ;1;1;05;19;1;19;134,120417139581
12381;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;65,8154364434369
12381;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;65,8154364434369
12382;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;139,448371151028
12382;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;139,448371151028
12382;1;3;4;2;2;2;2; ;1;9; ; ; ; ; ;1;05;23;1;23;139,448371151028
12383;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;88,1224351833652
12383;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;88,1224351833652
12383;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;88,1224351833652
12383;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;88,1224351833652
12383;1;5;6;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;88,1224351833652
12384;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;214,410564711969
12384;1;2;4;2;2;2;2; ;1;2;1;2; ; ; ;1;05;19;1;19;214,410564711969
12384;1;3;4;2;2;2;2; ;1;2;2; ;2; ; ;1;05;19;1;19;214,410564711969
12385;1;1;4;2;2;2;2; ;1;7;1;2; ; ; ;1;05;19;1;19;65,5845236482625
12385;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;65,5845236482625
12385;1;3;4;2;2;2;2; ;1;10; ; ; ; ; ;1;05;19;1;19;65,5845236482625
12388;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;41,2938654978782
12388;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;05;19;1;19;41,2938654978782
12388;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;41,2938654978782
12388;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;41,2938654978782
12388;1;5;2;2;2;2;1;5; ; ; ; ; ; ;1;1;05;19;1;19;41,2938654978782
12389;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;23;1;23;210,730359767545
12389;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;05;23;1;23;210,730359767545
12391;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;05;19;1;19;104,443374985902
12391;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;19;1;19;104,443374985902
12392;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;76;1;76;756,805465787034
12392;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;05;76;1;76;756,805465787034
12393;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;68;1;68;471,128040210472
12394;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;05;05;1;05;1294,44134406863
12394;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1;05;1294,44134406863
