directorio;secuencia_p;orden;P6020;P6040;P6050;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6100;P6110;P6160;P6170;P6210;P6210S1;P6220;ESC;mes;area;dpto;fex_c_2011
12365;1;1;2;35;1; ;1;1; ;1; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;05;05;1827,35111537494
12365;1;2;1;10;3; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;3;4; ;4;05;05;05;1827,35111537494
12365;1;3;2;7;3; ; ; ; ; ; ; ; ; ; ; ;1;3; ;1;1;3;2; ;2;05;05;05;1827,35111537494
12365;1;4;1;38;5; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;1;4;8; ;8;05;05;05;1827,35111537494
12369;1;1;2;29;1; ; ; ; ; ;1; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;05;05;1728,49132987038
12369;1;2;1;3;5; ; ; ; ; ; ; ; ; ; ; ;1;3; ;2;2;1;0; ;0;05;05;05;1728,49132987038
12371;1;1;1;34;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;23;23;178,240152251317
12371;1;2;2;37;2; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;23;23;178,240152251317
12372;1;1;2;63;1; ;1;1;1; ; ; ; ; ; ; ;1;1;5;1;2;3;4; ;4;05;76;76;1007,15927830587
12372;1;2;1;63;2; ;1;1;1; ; ; ; ; ; ; ;1;1;5;1;2;3;5; ;5;05;76;76;1007,15927830587
12372;1;3;1;37;3; ; ;1;1;1; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;76;76;1007,15927830587
12372;1;4;2;24;3; ; ; ;1;1; ; ; ; ; ; ;1;1;3;1;2;6;3;3;14;05;76;76;1007,15927830587
12373;1;1;2;58;1; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;2;3;5; ;5;05;23;23;165,052849475267
12373;1;2;1;22;3; ; ; ; ; ; ; ;1; ; ; ;1;2;5;1;2;6;5;4;16;05;23;23;165,052849475267
12373;1;3;1;14;3; ; ; ; ; ; ; ;1; ; ; ;1;2;5;1;1;4;8; ;8;05;23;23;165,052849475267
12379;1;1;2;82;1; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;5;11;2;11;05;23;23;165,694270099987
12379;1;2;2;32;4; ; ; ; ; ;1; ; ; ; ; ;1;1;1;1;2;5;11;2;11;05;23;23;165,694270099987
12379;1;3;1;14;5; ; ; ; ; ; ; ;1; ; ; ;1;1;5;1;1;4;8; ;8;05;23;23;165,694270099987
12379;1;4;1;20;5; ; ; ; ; ; ; ;1; ; ; ;1;3; ;1;1;4;9; ;9;05;23;23;165,694270099987
12382;1;1;1;51;1; ; ; ;1; ; ; ; ; ; ; ;1;3; ;1;2;5;11;2;11;05;23;23;139,448371151028
12382;1;2;2;43;2; ;1; ;1; ; ; ; ; ; ; ;1;3; ;1;2;6;2;3;13;05;23;23;139,448371151028
12382;1;3;2;76;5; ; ; ; ; ; ; ; ; ; ;1;1;3; ;1;2;3;4; ;4;05;23;23;139,448371151028
