DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
926372,1,6,2,1,1,1,1,3,3,,,,,2300000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,6,1,1,1,1,1,6,2,1,1,5,1,5,1,839.285.690.779.153
926373,1,5,1,1,1,1,1,3,2,,1200000,350000000,2500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,888.168.916.005.052
926374,1,6,4,1,1,1,1,3,1,,,380000000,2500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,6,1,1,1,1,1,6,2,1,1,5,1,5,1,614.154.166.862.986
926375,1,5,1,1,1,1,1,1,4,,,,1000000,,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,4,1,1,1,1,1,5,2,1,1,5,1,5,1,808.079.064.019.732
926376,1,5,4,1,1,1,1,3,3,,,,,900000,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,5,2,1,1,5,1,5,1,386.208.917.996.052
926377,1,5,2,1,1,1,1,3,2,,905000,98,900000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,1,1,5,2,1,1,5,1,5,1,880.692.183.723.681
926378,1,5,4,1,1,1,1,4,1,,,110000000,700000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,4,1,2,1,1,1,5,2,1,1,5,1,5,1,958.489.302.329.764
926379,1,5,2,1,1,1,1,4,4,,,,600000,,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,5,2,1,1,5,1,5,1,888.168.916.005.052
926381,1,5,3,1,1,1,1,1,3,,,,,356000,1,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,176.138.436.744.736
926383,1,6,1,1,1,1,1,1,1,,,80000000,300000,,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,72.034.030.903.603
926384,1,3,2,1,1,1,1,4,3,,,,,200000,1,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,3,2,1,1,5,1,5,1,517.242.636.838.419
926385,1,5,2,1,1,1,1,4,2,,99,70000000,400000,,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,751.576.490.940.786
926386,1,6,2,1,1,1,1,1,3,,,,,465000,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,888.168.916.005.052
926387,1,4,2,1,1,1,1,3,1,,,100000000,400000,,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,726.987.142.303.868
926388,1,3,1,1,1,1,1,1,3,,,,,350000,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,5,1,2,1,1,1,3,2,1,1,5,1,5,1,839.285.690.779.153
926389,1,3,2,1,1,1,1,4,1,,,20000000,300000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,684.708.636.153.737
926390,1,2,1,1,1,1,1,1,1,,,14000000,180000,,1,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,870.595.176.531.444
926391,1,2,1,1,1,1,1,4,3,,,,,280000,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,148.308.852.348.211
926392,1,2,1,1,1,1,1,1,1,,,99,150000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,967.676.164.847.783
926393,1,3,2,1,1,1,1,4,3,,,,,250000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,853.001.239.734.702
926395,1,5,4,1,1,1,1,3,1,,,300000000,500000,,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,990.697.998.819.728
926396,1,5,1,1,1,1,1,1,1,,,200000000,800000,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,4,1,2,1,1,1,4,2,1,1,5,1,5,1,888.168.916.005.052
926397,1,4,3,1,1,1,1,3,1,,,130000000,700000,,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,735.130.636.867.004
926398,1,3,2,1,1,1,1,4,3,,,,,200000,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,790.427.486.966.953
926399,1,4,2,1,1,1,1,4,3,,,,,250000,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,880.692.183.723.681
926400,1,3,2,1,1,1,1,1,3,,,,,170000,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,84.981.860.947.263
926401,1,6,3,1,1,1,1,1,1,,,40000000,200000,,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,90.584.551.447.153
926402,1,5,4,1,1,1,1,3,4,,,,350000,,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,834.259.840.120.218
926403,1,5,2,1,1,1,1,3,1,,,99,280000,,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,104.993.630.256.814
926405,1,3,2,1,1,1,1,4,3,,,,,210000,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,813.824.328.936.633
926406,1,5,3,1,1,1,1,3,2,,192000,23000000,230000,,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,863.609.122.513.469
926407,1,5,3,1,1,1,1,4,3,,,,,230000,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,729.146.294.096.672
926408,1,4,3,1,1,1,1,1,1,,,95000000,600000,,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,5,1,5,1,671.486.638.955.465
926409,1,3,2,1,1,1,1,3,1,,,70000000,400000,,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,583.747.883.971.763
926410,1,5,2,1,1,1,1,3,4,,,,600000,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,906.153.545.566.202
926411,1,4,2,1,1,1,1,4,3,,,,,600000,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,684.708.636.153.737
926413,1,4,3,1,1,1,1,4,3,,,,,450000,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,808.441.671.673.436
926414,1,3,2,1,1,1,1,3,1,,,200000000,800000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,839.285.690.779.153
926415,1,4,3,1,1,1,1,3,1,,,200000000,4000000,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,880.692.183.723.681
926416,1,3,3,1,1,1,1,3,1,,,200000000,200000000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,702.718.287.128.585
926417,1,6,4,1,1,1,1,1,1,,,200000000,2000000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,681.851.920.663.567
926418,1,5,1,1,1,1,1,1,3,,,,,800000,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,6,1,2,1,1,1,5,2,1,1,5,1,5,1,684.708.636.153.737
926419,1,4,1,1,1,1,1,1,3,,,,,550000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,2,1,1,1,5,2,1,1,5,1,5,1,808.079.064.019.732
926421,1,5,1,1,1,1,1,3,4,,,,700000,,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,5,2,1,1,5,1,5,1,635.825.410.927.838
926422,1,5,3,1,1,2,1,4,3,,,,,700000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,148.819.951.731.883
