DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
945666,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,166.372.815.367.893
945669,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,68.627.594.127.238
945669,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,68.627.594.127.238
945694,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,765.873.637.108.698
945694,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,765.873.637.108.698
945694,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,765.873.637.108.698
945694,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,765.873.637.108.698
945701,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,13.828.345.091.778
945701,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,13.828.345.091.778
945701,1,3,1,95,2,,,,,,,,1,2,2,,,,,,2,2,2,2,500000,1,15,13.828.345.091.778
945701,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,13.828.345.091.778
945703,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.383.962.445.362
945703,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.383.962.445.362
945703,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.383.962.445.362
945704,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,147.280.230.284.211
945705,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,150.809.242.017.172
945705,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,150.809.242.017.172
945707,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,201.361.591.993.744
945707,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,201.361.591.993.744
945707,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,201.361.591.993.744
945707,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,201.361.591.993.744
945710,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945710,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945712,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
945712,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
945713,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.755.531.010.588
945713,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.755.531.010.588
945713,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,172.755.531.010.588
945715,1,1,1,95,2,,,,,,,,1,2,2,,,,,1600000,2,1,2,2,,2,15,649.840.439.912.382
945717,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.644.410.227.518
945717,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.644.410.227.518
945717,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.644.410.227.518
945717,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,173.644.410.227.518
945729,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.586.306.071.273
945729,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.586.306.071.273
945729,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.586.306.071.273
945729,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,168.586.306.071.273
945732,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,225.599.430.831.924
945732,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,225.599.430.831.924
945732,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,225.599.430.831.924
