DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
945653,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,15,185.861.068.629.039
945653,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,185.861.068.629.039
945655,1,2,1,80,2,1,4,3,,2,,2,,,,,4,2,1,15,183.647.577.925.659
945663,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,208.324.668.274.158
945663,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,208.324.668.274.158
945663,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,15,208.324.668.274.158
945666,1,3,1,80,2,1,3,3,,2,,2,,,,,4,2,1,15,166.372.815.367.893
945694,1,2,1,80,2,2,,,,2,,2,,1,4,,9,,1,15,765.873.637.108.698
945694,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,765.873.637.108.698
945694,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,765.873.637.108.698
945701,1,2,1,80,2,1,4,8,POR LA EDAD,2,,2,,,,,8,2,1,15,13.828.345.091.778
945705,1,2,1,80,2,1,4,2,,2,,2,,,,,9,2,1,15,150.809.242.017.172
945707,2,2,2,80,2,1,3,1,,2,,2,,,,,9,2,1,15,201.361.591.993.744
945710,1,2,1,80,2,1,4,3,,2,,2,,,,,8,2,1,15,183.647.577.925.659
945713,1,2,1,80,2,1,4,2,,2,,2,,,,,1,2,1,15,172.755.531.010.588
945713,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,172.755.531.010.588
945717,1,2,1,80,2,1,1,0,,2,,2,,,,,9,2,1,15,173.644.410.227.518
945717,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,173.644.410.227.518
945729,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,168.586.306.071.273
945732,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,225.599.430.831.924
945732,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,225.599.430.831.924
945732,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,225.599.430.831.924
945734,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,117.293.870.448.519
945737,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,153.638.846.314.669
945737,1,3,1,80,2,1,3,2,,2,,2,,,,,9,2,1,15,153.638.846.314.669
945740,1,2,1,80,2,1,1,2,,2,,1,100000,,,,9,2,1,15,187.638.827.062.897
945740,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,187.638.827.062.897
945740,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,15,187.638.827.062.897
945748,1,5,1,80,2,1,4,3,,2,,2,,,,,8,2,1,15,22.520.487.637.274
945751,1,1,1,80,2,1,3,3,,2,,2,,,,,4,2,1,15,184.536.457.142.589
945751,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,184.536.457.142.589
945755,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,114.530.835.377.835
945755,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,114.530.835.377.835
945755,1,5,1,80,2,1,1,2,,2,,1,150000,,,,9,2,1,15,114.530.835.377.835
945757,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,185.642.604.770.218
945757,1,4,1,80,2,1,3,0,,2,,2,,,,,9,2,1,15,185.642.604.770.218
945757,1,7,1,80,2,2,,,,2,,2,,2,,.,,,1,15,185.642.604.770.218
945760,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,124.598.166.780.271
945761,1,2,1,80,2,1,4,2,,2,,2,,,,,1,2,1,15,248.775.819.093.609
945761,1,5,1,80,2,2,,,,2,,2,,2,,.,,,1,15,248.775.819.093.609
945764,1,1,1,80,2,1,4,3,,2,,2,,,,,4,2,1,15,200.101.144.211.589
945764,1,3,1,80,2,2,,,,2,,2,,2,,.,,,1,15,200.101.144.211.589
945766,1,2,1,80,2,2,,,,2,,2,,2,,.,,,1,15,183.647.577.925.659
945770,1,2,1,80,2,1,4,8,POR LA EDAD,2,,2,,,,,8,2,1,15,174.625.229.366.552
945775,1,3,1,80,2,1,2,2,,2,,2,,,,,9,2,1,15,124.282.214.694.005
945775,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,124.282.214.694.005
945775,1,5,1,80,2,1,1,7,,2,,2,,,,,11,2,1,15,124.282.214.694.005
945775,1,6,1,80,2,2,,,,2,,2,,2,,.,,,1,15,124.282.214.694.005
945778,1,5,1,80,2,1,2,7,,2,,2,,,,,9,2,1,15,104.106.108.486.134
945779,1,1,1,80,2,2,,,,2,,2,,1,2,,9,,1,15,123.135.789.945.933
945782,1,4,1,80,2,2,,,,2,,2,,2,,.,,,1,15,329.109.985.683.955
945782,1,5,1,80,2,1,1,1,,2,,2,,,,,2,2,1,15,329.109.985.683.955
945782,1,6,1,80,2,1,1,1,,2,,2,,,,,2,2,1,15,329.109.985.683.955
945782,1,7,1,80,2,1,1,1,,2,,2,,,,,2,2,1,15,329.109.985.683.955
