DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,fex_c_2011
945761,1,3,1,70,2,2,40,8,,2,4,8,,3,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,118,15,248.775.819.093.609
945795,1,3,1,70,2,40,40,1,,2,8,1,,3,1,,,,,,,,,,1,,2,,2,45,45,52,1,2,5211,15,148.540.678.066.367
945955,1,3,1,70,2,4,40,8,,2,12,8,,6,7,,,,,,,,,,1,,2,,2,62,62,1,1,1,118,15,221.058.637.327.382
945955,1,4,1,70,2,12,40,8,,2,48,8,,4,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,118,15,221.058.637.327.382
945995,1,3,1,70,2,12,40,1,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,62,60,1,1,1,118,15,125.921.664.548.442
946801,1,3,1,70,2,2,48,4,,1,,,.,,,.,.,,,,,,,,,.,,,,21,,,1,1,,23,92.445.964.282.747
946833,1,2,1,70,2,2,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,1,,23,92.445.964.282.747
946855,1,3,1,70,2,1,48,1,,2,1,1,,2,1,,,,,,,,,,1,,1,150000,2,95,95,45,1,1,4521,23,122.077.138.875.314
946894,1,2,1,70,2,2,48,5,,2,3,5,,3,6,,,,,,,,,,1,,1,300000,2,95,95,45,1,1,4521,23,118.916.737.283.906
947536,1,2,1,70,2,1,48,3,,2,52,3,,2,5,,,,,,,,,,1,,2,,2,53,53,1,1,1,118,50,111.394.159.921.945
948089,1,1,1,70,2,4,45,4,,2,5,8,,3,6,,,,,,,,,,1,,1,240000,2,62,62,1,1,1,111,63,918.057.536.453.081
948089,1,2,1,70,2,16,60,4,,2,17,4,,1,1,,,,,,,,,,1,,2,,2,94,94,36,1,2,3699,63,918.057.536.453.081
948089,1,3,1,70,2,4,60,4,,2,5,4,,1,1,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,111,63,918.057.536.453.081
948089,1,5,1,70,2,3,55,8,,2,4,8,,3,1,,,,,,,,,,1,,1,280000,2,62,62,1,1,1,111,63,918.057.536.453.081
948117,1,1,1,70,2,8,48,5,,2,12,5,,4,1,,,1,,1,1,,,,,,2,,2,0,70,18,1,1,1810,63,820.432.513.625.626
948117,1,2,1,70,2,43,60,4,,2,43,5,,4,1,,,,,,,,,,1,,2,,2,45,79,18,1,2,1810,63,820.432.513.625.626
948181,1,3,1,70,2,48,64,8,,2,48,8,,2,1,,,,,,,,,,1,,2,,2,62,62,1,1,2,111,63,14.708.438.972.974
948181,1,7,1,70,2,72,56,1,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,2,,63,14.708.438.972.974
948183,1,2,1,70,2,2,56,8,,2,2,8,,2,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,111,63,652.992.250.299.896
948192,1,2,1,70,2,84,56,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,63,367.710.974.324.349
948230,1,3,1,70,2,4,45,3,,2,4,3,,2,1,,,,,,,,,,1,,1,220000,2,53,53,95,1,1,9500,63,367.710.974.324.349
948234,1,4,1,70,2,48,56,1,,1,,,.,,,.,.,,,,,,,,,.,,,,97,,,1,2,,63,117.378.041.586.693
948298,1,2,1,70,2,8,48,3,,2,20,3,,1,4,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,63,926.063.033.198.322
948303,1,1,1,70,2,32,48,3,,2,8,8,,3,1,,,,,,,,,,1,,1,40000,2,56,62,1,1,2,111,63,367.710.974.324.349
948307,1,3,1,70,2,1,48,8,,2,2,8,,2,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,111,63,111.962.081.377.682
948321,1,3,1,70,2,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,63,682.191.095.569.586
948413,1,1,1,70,2,12,20,1,,2,52,4,,1,2,,,,,,,,,,1,,2,,2,53,53,55,1,1,5529,63,522.567.635.620.626
948422,1,2,1,70,2,4,25,4,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,1,,63,818.858.140.701.208
948422,1,3,1,70,2,16,48,4,,2,16,4,,1,1,,,,,,,,,,1,,2,,2,61,61,1,1,2,121,63,818.858.140.701.208
948436,1,5,1,70,2,4,48,1,,2,52,1,,5,1,,,,,,,,,,1,,2,,2,79,39,80,1,1,8021,63,85.369.714.364.737
948529,1,2,1,70,2,72,48,4,,2,108,4,,1,8,,,,,,,,,,1,,2,,2,55,55,74,1,2,7493,63,999.323.453.737.365
948529,1,3,1,70,2,8,48,4,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,45,61,1,1,1,117,63,999.323.453.737.365
948529,1,4,1,70,2,4,50,4,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,62,97,63,1,1,6310,63,999.323.453.737.365
948546,1,3,1,70,2,52,48,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,45,3,2,1,2,201,63,112.062.730.748.052
948546,1,4,1,70,2,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,2,,63,112.062.730.748.052
948546,1,5,1,70,2,2,48,4,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,61,61,1,1,1,116,63,112.062.730.748.052
948557,1,3,1,70,2,2,20,4,,2,2,4,,1,1,,,,,,,,,,1,,2,,2,61,61,1,1,1,111,63,109.643.031.941.372
948569,1,3,1,70,2,48,48,1,,2,48,1,,9,1,,,,,,,,,,1,,2,,2,87,87,45,1,2,4521,63,856.648.057.699.149
948581,1,3,1,70,2,3,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,60000,2,95,62,1,1,1,111,63,106.271.338.053.707
948581,1,4,1,70,2,52,45,4,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,61,55,93,1,2,9301,63,106.271.338.053.707
950718,1,2,1,70,2,3,60,8,,2,3,8,,4,8,,,,,,,,,,1,,1,466500,2,62,62,1,1,1,121,17,127.409.111.601.142
951223,1,5,1,70,2,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,34,,,1,1,,23,207.962.666.664.161
951245,1,1,1,70,2,2,48,8,,2,12,8,,2,1,,,,,,,,1,,,,2,,2,62,62,1,1,1,121,23,900.066.918.023.746
951248,1,3,1,70,2,4,48,1,,2,3,1,,4,4,,,,,,,,,,1,,1,220000,2,32,32,41,1,1,4100,23,150.035.432.892.452
951257,1,3,1,70,2,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,23,167.457.501.278.835
951795,1,1,1,70,2,24,48,1,,2,24,1,,2,1,,,,,,,,,,1,,2,,2,84,84,50,1,2,5020,66,18.993.561.415.729
951797,1,2,1,70,2,52,60,4,,2,52,4,,1,8,,,,,,,,,,1,,2,,2,95,95,45,1,2,4521,66,116.287.388.971.617
951799,1,1,1,70,2,4,60,4,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,71,71,52,1,1,5241,66,223.682.921.723.705
951799,1,3,1,70,2,6,50,8,,2,4,8,,2,8,,,,,,,,,,1,,2,,2,62,62,1,1,1,111,66,223.682.921.723.705
