DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,CLASE,P5070,DPTO,ORDEN,fex_c_2011
945643,1,2,1,2,1,4,1,6,4,,,,60000,,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,1,2,,2,1,2,1,15,1,629.954.104.716.183
945649,1,1,1,2,2,3,6,5,4,,,,100000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,117.788.195.206.263
945649,2,1,1,2,2,3,6,5,3,,,80000,,80000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,2,,15,1,117.788.195.206.263
945653,1,4,2,2,1,4,2,5,1,,,15000000,50000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,185.861.068.629.039
945655,1,4,1,4,1,4,2,4,1,,,98,98,,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,183.647.577.925.659
945656,1,5,1,4,1,4,2,4,1,,,98,98,,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,4,1,2,2,2,2,2,,,1,2,1,15,1,169.590.111.104.265
945658,1,3,2,3,1,4,2,5,1,,,98,50000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,3,1,1,2,2,2,2,0,,,1,2,1,15,1,155.930.396.159.433
945660,1,3,3,2,1,4,2,5,1,,,98,200000,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,220.541.326.675.679
945663,1,5,3,2,1,3,2,5,1,,,98,98,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,208.324.668.274.158
945666,1,1,1,4,1,3,2,5,1,,,15000000,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,,,1,2,1,15,1,166.372.815.367.893
945669,1,4,2,2,1,3,1,4,1,,,20000000,100000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,,2,1,2,1,15,1,68.627.594.127.238
945694,1,1,1,6,,3,1,5,3,,,,,50000,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,,2,1,2,2,15,1,765.873.637.108.698
945701,1,2,2,6,,4,2,5,1,,,1000000,10000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,2,,,,1,2,1,15,1,13.828.345.091.778
945703,1,5,2,2,1,4,2,5,1,,,98,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,,,,1,2,1,15,1,172.383.962.445.362
945704,1,1,1,2,1,4,2,4,6,CO,,,5000,,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,4,1,4,1,2,2,2,2,0,,,1,2,1,15,1,147.280.230.284.211
945705,1,3,1,2,1,4,1,6,3,,,,,85000,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,4,1,2,1,2,1,2,,2,1,2,1,15,1,150.809.242.017.172
945707,1,3,1,2,2,3,2,6,1,,,15000000,50000,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,201.361.591.993.744
945707,2,1,1,2,2,3,2,6,4,,,,50000,,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,1,2,,15,1,201.361.591.993.744
945710,1,5,1,4,1,4,1,5,1,,,10000000,20000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,,2,1,2,1,15,1,183.647.577.925.659
945712,1,2,1,6,,4,1,5,3,,,,,50000,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,,2,1,2,1,15,1,124.598.166.780.271
945713,1,3,2,3,1,4,2,5,3,,,,,30000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,172.755.531.010.588
945715,1,4,2,3,1,1,1,4,1,,,98,60000,,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,3,2,1,2,1,15,1,649.840.439.912.382
945717,1,3,2,4,1,3,1,6,1,,,98,20000,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,15,1,173.644.410.227.518
945729,1,5,3,2,1,3,1,6,1,,,98,98,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,2,1,2,1,15,1,168.586.306.071.273
945732,1,3,2,6,,3,2,6,1,,,98,30000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,225.599.430.831.924
945734,1,4,2,4,1,4,1,6,2,,100000,12000000,20000,,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,15,1,117.293.870.448.519
945737,1,4,2,2,1,3,1,6,1,,,98,30000,,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,15,1,153.638.846.314.669
945738,1,3,2,3,1,4,2,5,5,,,,50000,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,,,1,2,1,15,1,207.435.789.057.228
945740,1,3,3,6,,4,1,6,1,,,98,15000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,2,1,2,1,15,1,187.638.827.062.897
945748,1,4,3,2,1,4,1,6,1,,,98,98,,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,,2,1,2,1,15,1,22.520.487.637.274
