Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3769640;1;1;1;80;08;1;2;5; ;3; ;2; ; ; ; ;10;2;1;07;08;493,613696195121
3769641;1;2;1;80;08;2; ; ; ;2; ;2; ;1;3; ;9; ;1;07;08;1312,08634095161
3769645;1;3;1;80;50;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;50;173,436951876626
3769647;1;2;1;80;50;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;50;221,061663018606
3769647;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;50;221,061663018606
3769648;1;2;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;306,136527406911
3769649;1;3;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;389,372981116575
3769650;1;1;1;80;66;1;4;6; ;2; ;2; ; ; ; ;1;2;1;07;66;269,843782182862
3769650;1;2;1;80;66;1;4;8; ;1;4;2; ; ;4; ;1;1;1;07;66;269,843782182862
3769652;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;275,659495877884
3769653;1;5;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;373,000731888964
3769656;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;289,309095640839
3769657;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;245,146888631409
3769657;1;2;1;80;66;1;4;6; ;2; ;2; ; ; ; ;4;2;1;07;66;245,146888631409
3769658;1;1;1;80;66;1;3;3; ;3; ;2; ; ; ; ;4;2;1;07;66;170,609592166945
3769658;1;2;1;80;66;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;66;170,609592166945
3769658;1;4;1;80;66;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;66;170,609592166945
3769658;1;5;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;170,609592166945
3769658;1;6;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;170,609592166945
3769666;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;11;2;1;07;66;262,017410459946
3769666;1;2;1;80;66;1;1;4; ;2; ;1;370000; ; ; ;4;2;1;07;66;262,017410459946
