DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
885447,1,1,1,70,5,8,48,1,,2,20,4,,1,4,,,,,,,,,,1,,2,,2,1,1,37,45,52,5249,5,899.982.321.775.948
885449,1,1,1,70,5,48,48,1,,2,16,1,,9,6,,,,,,,,,,1,,2,,2,1,2,33,33,0,0,5,20.348.388.991.876
885456,1,2,1,70,5,50,48,1,,2,50,1,,8,7,,,,,,,,,,1,,2,,2,1,2,79,97,51,5125,5,764.508.650.884.198
885457,1,4,1,70,5,8,48,1,,2,8,1,,4,8,,,,,,,,,,1,,2,,2,1,1,45,45,52,5239,5,441.105.598.645.877
885468,1,2,1,70,5,12,48,1,,2,12,1,,2,8,,,,,,,,,,1,,2,,2,1,1,85,95,45,4521,5,84.849.850.805.416
885473,1,1,1,70,5,3,48,1,,2,3,1,,6,7,,,,,,,,,,1,,1,461500,2,1,1,80,80,19,1926,5,231.340.008.529.731
885475,1,1,1,70,5,12,60,1,,2,12,1,,2,8,,,,,,,,,,1,,2,,2,1,1,58,58,70,7020,5,246.442.719.380.346
885476,1,2,1,70,5,104,48,1,,2,156,1,,9,2,,,,,,,,,,1,,2,,2,1,2,79,79,18,1810,5,840.821.737.310.079
885485,1,4,1,70,5,52,24,1,,2,52,1,,5,2,,,,,,,,,,1,,2,,2,1,2,45,94,36,3699,5,223.278.955.146.955
885499,1,2,1,70,5,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,5,771.133.361.765.771
885505,1,2,1,70,5,52,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,54,,,,5,815.524.314.533.302
885517,1,2,1,70,5,52,48,1,,2,52,1,,7,3,,,,,,,,,,1,,2,,2,1,2,33,33,52,5249,5,854.095.202.993.941
885520,1,1,1,70,5,8,48,1,,2,6,1,,9,3,,,,,,,,,,1,,1,800000,2,1,1,95,95,36,3613,5,670.824.984.820.976
885525,1,2,1,70,5,4,48,4,,2,4,4,,1,1,,,,,,,,,,1,,1,30000,2,1,1,54,54,74,7493,5,159.618.131.852.504
885526,1,4,1,70,5,36,48,1,,2,36,1,,3,3,,,,,,,,,,1,,2,,2,1,2,84,84,51,5170,5,760.593.338.312.484
885527,1,3,1,70,5,2,48,1,,2,2,6,,2,1,,,,,,,,,,1,,2,,2,1,1,53,45,52,5262,5,74.180.610.408.427
885530,1,1,1,70,5,5,48,4,,2,5,4,,1,1,,,,,,,,,,1,,1,100000,2,1,1,99,99,50,5020,5,13.276.478.237.602
885535,1,1,1,70,5,12,48,1,,2,12,4,,2,7,,,,,,,,,,1,,2,,2,1,1,53,95,45,4521,5,130.480.949.795.456
885536,1,4,1,70,5,12,48,1,,2,14,1,,9,3,,,,,,,,,,1,,2,,2,1,1,0,44,64,6424,5,590.439.942.610.452
885536,1,5,1,70,5,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,58,,,,5,590.439.942.610.452
885537,1,2,1,70,5,12,48,3,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,1,1,54,53,55,5521,5,157.237.565.158.696
885538,1,1,1,70,5,1,48,1,,2,2,1,,2,1,,,,,,,,,,1,,1,600000,2,1,1,98,98,60,6041,5,88.521.269.007.761
885538,1,2,1,70,5,2,48,1,,2,170,1,,3,2,,,,,,,,,,1,,2,,2,1,1,32,32,20,2010,5,88.521.269.007.761
885551,1,3,1,70,5,48,48,1,,2,72,1,,9,4,,,,,,,,,,1,,2,,2,1,2,32,38,64,6421,5,705.269.050.693.755
885555,1,4,1,70,5,4,48,1,,2,12,1,,8,1,,,,,,,,,,1,,2,,2,1,1,53,53,55,5521,5,152.914.345.303.528
885564,1,2,1,70,5,52,50,3,,2,56,3,,1,4,,,,,,,,,,1,,2,,2,1,2,54,54,95,9500,5,16.254.298.333.116
885568,1,3,1,70,5,2,60,4,,2,2,4,,2,1,,,,,,,,,,1,,1,300000,2,1,1,95,95,45,4521,5,803.542.345.703.837
885572,1,2,1,70,5,13,48,3,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,1,1,54,54,95,9500,5,878.254.444.807.204
885573,1,4,1,70,5,36,48,1,,2,36,1,,4,1,,,,,,,,,,1,,2,,2,1,2,33,45,52,5234,5,752.765.664.100.421
885573,1,5,1,70,5,2,50,4,,2,2,4,,1,1,,,,,,,,,,1,,1,250000,2,1,1,97,97,63,6310,5,752.765.664.100.421
885577,1,3,1,70,5,50,50,1,,2,250,1,,4,4,,,,,,,,,,1,,2,,2,1,2,45,45,52,5234,5,722.240.379.195.637
885580,1,6,1,70,5,18,48,1,,2,36,1,,6,4,,,,,,,,,,1,,1,1000000,2,1,2,5,16,22,2220,5,855.443.415.602.521
885586,1,2,1,70,5,4,48,1,,2,2,4,,1,1,,,,,,,,,,1,,1,50000,2,1,1,58,45,52,5262,5,1.575.787.445.779
885593,1,1,1,70,5,2,48,1,,2,2,7,,2,1,,,,,,,,,,1,,2,,2,1,1,33,45,52,5211,5,821.475.731.267.819
885594,1,2,1,70,5,12,48,1,,2,4,1,,2,1,,,,,,,,,,1,,2,,2,1,1,33,39,74,7411,5,623.811.045.592.842
885595,1,7,1,70,5,50,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,45,,,,5,81.113.611.837.123
885596,1,2,1,70,5,50,48,3,,2,50,1,,7,2,,,,,,,,,,1,,2,,2,1,2,54,55,74,7493,5,168.164.347.462.016
885597,1,3,1,70,5,50,48,4,,2,96,4,,1,1,,,,,,,,,,1,,2,,2,1,2,45,45,52,5262,5,832.068.384.405.064
