Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;Clase;Mes;Dpto;Fex_c_2011
2909583;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;800000;2;1;2; ;2;2;03;63;1224,50611385673
2909583;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1224,50611385673
2909583;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1224,50611385673
2909584;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1788,187204776
2909585;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1706,33967120147
2909585;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1706,33967120147
2909585;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1706,33967120147
2909585;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1706,33967120147
2909585;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1706,33967120147
2909586;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1411,88154808718
2909586;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;720000;2;1;2; ;2;2;03;63;1411,88154808718
2909586;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1411,88154808718
2909587;1;1;1;95;1; ;2;1; ;566700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1530,1504388968
2909587;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;500000;2;1;2; ;2;2;03;63;1530,1504388968
2909588;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1929,34303843226
2909588;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1929,34303843226
2909589;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;1200000; ; ; ;2;2;2; ;2;2;03;63;1370,69675658359
2909589;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1370,69675658359
2909589;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1370,69675658359
2909589;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1370,69675658359
2909589;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;63;1370,69675658359
2911413;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1554,51835115924
2911413;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1554,51835115924
2911413;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1554,51835115924
2911414;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1906,33924494249
2911414;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1906,33924494249
2911414;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1906,33924494249
2911414;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1906,33924494249
2911416;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1339,87893565717
2911416;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;900000; ;2;2;2; ;2;2;03;73;1339,87893565717
2911416;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1339,87893565717
2911416;1;4;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2;2;03;73;1339,87893565717
2911416;1;5;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2;2;03;73;1339,87893565717
2911418;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2;2;03;73;1795,90872497981
2911418;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;450000; ;2;2;2; ;2;2;03;73;1795,90872497981
2911418;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1795,90872497981
2911418;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1795,90872497981
2911418;1;5;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;750000;150000;2;1;2; ;2;2;03;73;1795,90872497981
2911420;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;750000;100000;2;1;2; ;2;2;03;73;1957,27542068082
2911425;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;2;03;73;1526,3158218167
2911425;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1000000; ;2;2;2; ;2;2;03;73;1526,3158218167
