Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2904099;1;1;1;70;76;120;48;2; ;2;480;4; ;1;1; ; ; ; ; ;1; ; ; ; ; ;2; ;2;39;41;52;1;2;5219;03;76;891,8915723246
2904106;1;1;1;70;76;52;48;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ;1; ;ES PENSIONADO;2; ;2;42;45;52;1;2;5221;03;76;996,333560958606
2904143;1;4;1;70;05;8;48;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;79;18;1;1;1810;03;05;871,865342741652
2904153;1;2;1;70;05;7;48;1; ;2;7;1; ;3;9;POR URGENCIA DE LA EPS HASTA EL 12 DE MARZO; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;51;1;1;5132;03;05;1081,86918303202
2904170;1;3;1;70;50;1;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;03;50;165,199283501279
2904222;1;2;1;70;17;2;48;1; ;2;144;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;17;186,144555460536
2904239;1;2;1;70;17;156;48;1; ;2;156;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;40;52;1;2;5242;03;17;186,144555460536
2904330;1;1;1;70;73;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;95;95;45;1;1;4521;03;73;245,607241607138
2904332;1;1;1;70;73;45;48;1; ;2;240;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;98;60;1;2;6042;03;73;272,979371835712
2904334;1;1;1;70;73;4;24;3; ;2;99;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;03;73;196,312387960073
2904337;1;3;1;70;73;3;40;1; ;2;4;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;97;52;1;1;5221;03;73;147,898609635353
2904339;1;4;1;70;73;1;40;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;45;1;1;4521;03;73;230,309299019674
2904344;1;1;1;70;73;12;70;8; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;1;0140;03;73;215,382116542536
2904346;1;3;1;70;73;8;24;1; ;2;12;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;73;196,391826275353
2904351;1;2;1;70;73;104;48;1; ;2;104;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5239;03;73;184,048735188879
2904351;1;3;1;70;73;8;30;1; ;2;2;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;33;38;64;1;1;6421;03;73;184,048735188879
2904395;1;1;1;70;66;12;60;1; ;2;60;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;60;01;1;1;0112;03;66;374,58242026394
2904403;1;2;1;70;66;52;48;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;2;4521;03;66;536,024285081691
2904408;1;1;1;70;66;3;60;5; ;2;17;1; ;6;2; ; ;1; ;1;1; ; ; ; ; ;2; ;2;40;21;85;1;1;8531;03;66;447,795024447169
2904419;1;1;1;70;66;104;60;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;15000;2;55;57;93;1;2;9302;03;66;189,122129246599
2904419;1;2;1;70;66;4;48;1; ;2;30;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;59;91;1;1;9192;03;66;189,122129246599
2904514;1;3;1;70;68;1;48;1; ;2;1;4; ;9;4; ; ;1; ; ; ; ; ; ; ; ;1;1460000;2;19;19;40;1;1;4010;03;68;633,780346208952
2904521;1;2;1;70;68;4;40;4; ;2;104;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;03;68;586,025567164916
2904522;1;1;1;70;68;3;48;4; ;2;8;1; ;6;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;02;02;45;1;1;4522;03;68;506,745703313332
2904525;1;1;1;70;68;8;48;4; ;2;18;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;44;93;1;1;9303;03;68;315,168123616355
2904525;1;2;1;70;68;8;48;1; ;2;15;1; ;4;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;57;93;1;1;9302;03;68;315,168123616355
2904536;1;1;1;70;68;8;40;1; ;2;8;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;74;1;1;7491;03;68;409,654753698083
2904587;1;5;1;70;76;8;48;1; ;2;208;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;58;92;1;1;9249;03;76;689,661283706013
2904592;1;1;1;70;76;8;54;1; ;2;8;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;03;76;660,73803014453
2904592;1;3;1;70;76;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;03;76;660,73803014453
2904609;1;1;1;70;76;78;48;1; ;2;78;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;2;5233;03;76;1432,11560538007
2904612;1;4;1;70;76;2;18;1; ;2;16;4; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;79;18;1;1;1810;03;76;910,076181443018
2904613;2;3;2;70;76;8;48;1; ;2;24;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;45;52;1;1;5233;03;76;666,024838996603
2904614;1;5;1;70;76;8;48;1; ;2;8;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;93;1;1;9302;03;76;1052,88089043762
2904615;1;1;1;70;76;4;60;1; ;2;5;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;03;76;828,759976879915
2904616;1;3;1;70;76;55;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;8000;2;32;57;93;1;2;9302;03;76;765,931623904912
2904617;1;1;1;70;76;16;48;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;93;45;1;2;4521;03;76;1070,99271343195
