DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;CLASE;DPTO;fex_c_2011
557603;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1411,95697142241
557603;1;3;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;20;1411,95697142241
557605;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1334,22087309491
557606;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1841,36634084276
557607;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1958,6805241409
557607;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1958,6805241409
557608;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1205,30086816113
557608;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;1205,30086816113
557609;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;20;1218,79763577251
557610;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;20;2382,8391280436
557610;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;2382,8391280436
557610;1;4;80;1;3;1; ;2; ;2; ;2; ; ; ; ;2;2;2;20;2382,8391280436
557610;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;2382,8391280436
557610;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;20;2382,8391280436
557758;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;1728,4482109512
557759;1;2;80;2; ; ; ;2; ;2; ;2; ;1;2; ;9; ;2;23;2009,2968578435
557760;1;2;80;1;1;2; ;2; ;2; ;1;400000; ; ; ;9;2;2;23;1728,4482109512
557761;1;2;80;1;2;7; ;2; ;2; ;2; ; ; ; ;9;2;2;23;2372,63548138965
557761;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;2372,63548138965
557763;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;2096,91471374115
557790;1;2;80;1;4;6; ;2; ;2; ;2; ; ; ; ;9;2;2;23;3035,13223981431
557790;1;3;80;2; ; ; ;2; ;1;30000;1;30000;2; ;.; ; ;2;23;3035,13223981431
557790;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;3035,13223981431
557790;1;5;80;1;1;7; ;2; ;2; ;1;800000; ; ; ;9;2;2;23;3035,13223981431
557792;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;2177,86963764353
557833;1;1;80;1;4;7; ;2; ;2; ;2; ; ;4; ;8;1;2;23;1756,95807022217
557835;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;2327,34918696457
557836;1;1;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;23;1489,93354925512
557836;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;1489,93354925512
557837;1;2;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;23;1126,99975091648
557837;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;23;1126,99975091648
557837;1;9;80;2; ; ; ;2; ;2; ;1;40000;1;1; ;9; ;2;23;1126,99975091648
558339;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;47;1363,93805675014
558340;1;1;80;1;4;5; ;2; ;2; ;2; ; ;4; ;1;1;2;47;1802,34235752083
558342;1;2;80;1;4;6; ;2; ;2; ;2; ; ;4; ;1;1;2;47;1716,44696072337
558342;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;47;1716,44696072337
558343;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;47;1534,57945398281
558343;1;2;80;1;3;3; ;2; ;2; ;2; ; ; ; ;8;2;2;47;1534,57945398281
558344;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;47;2134,95717452039
560522;1;7;80;1;1;6; ;2; ;2; ;1;300000; ; ; ;1;2;2;54;862,096522519419
560523;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;54;721,307708309487
560523;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;54;721,307708309487
560524;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;54;895,936417410159
560525;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;54;584,173316087795
560526;1;2;80;1;1;8;EMBARAZO;2; ;2; ;1;1050000; ; ;EMBARAZO;12;2;2;54;869,903999934353
560769;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1814,39893793345
560769;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1814,39893793345
560770;1;1;80;1;4;6; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2243,10014259069
560770;1;3;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2243,10014259069
560770;1;4;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2243,10014259069
560770;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2243,10014259069
560771;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;1247,49412630434
560771;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1247,49412630434
560776;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2146,01893832969
560777;1;2;80;1;2;5; ;2; ;2; ;2; ; ;2; ;8;1;2;25;1672,48138987835
560779;1;1;80;1;1;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2720,79803040819
560780;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2297,07530286691
