DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
549812;1;1;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;872,345588382235
549812;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;872,345588382235
549813;1;2;05;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;844,914919813133
549813;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;844,914919813133
549814;1;1;05;80;1;1;0; ;2; ;2; ;1;24000000; ; ; ;8;2;1;05;846,678935647664
549814;1;2;05;80;1;1;7; ;2; ;2; ;1;433700; ; ; ;2;2;1;05;846,678935647664
549815;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;944,938311264068
549815;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;944,938311264068
549816;1;2;05;80;1;1;2; ;2; ;2; ;1;2000000; ; ; ;9;2;1;05;1875,54468516115
549817;1;2;05;80;2; ; ; ;2; ;2; ;2; ;1;1; ;8; ;1;05;1476,85720433459
549817;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1476,85720433459
549817;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1476,85720433459
549818;1;3;05;80;1;1;1; ;2; ;2; ;1;40000; ; ; ;2;2;1;05;822,956842545735
549818;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;822,956842545735
549821;1;1;05;80;1;1;3; ;3; ;2; ;1;1600000; ; ; ;4;2;1;05;680,55402579727
549822;1;2;05;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;676,451731205624
549825;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;884,287637766151
549825;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;884,287637766151
549825;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;884,287637766151
549827;1;2;05;80;1;2;7; ;2; ;2; ;2; ; ; ; ;9;2;1;05;979,927493275208
549828;1;3;05;80;1;1;7; ;2; ;2; ;1;70000; ; ; ;2;2;1;05;990,814067776427
549829;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;902,783160569435
549829;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;902,783160569435
549830;1;1;05;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;1;05;745,97542247423
549831;1;1;05;80;1;4;0; ;3; ;2; ;2; ; ;4; ;8;1;1;05;745,97542247423
549833;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;941,874637172221
549834;1;2;05;80;1;3;7; ;2; ;2; ;2; ; ; ; ;2;2;1;05;649,672299625571
549834;1;3;05;80;1;1;1; ;2; ;2; ;1;2400000; ; ; ;2;2;1;05;649,672299625571
549834;1;5;05;80;2; ; ; ;3; ;2; ;2; ;2; ;.; ; ;1;05;649,672299625571
549840;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;906,885455161081
549840;1;3;05;80;1;2;1; ;2; ;2; ;1;100000; ; ; ;2;2;1;05;906,885455161081
549840;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;906,885455161081
549841;1;1;05;80;1;1;7; ;1;2;2; ;1;98; ; ; ;8;2;1;05;807,306217694646
549841;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;807,306217694646
549842;1;2;05;80;1;1;3; ;2; ;2; ;1;300000; ; ; ;4;2;1;05;1016,87960088327
549843;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;889,53294247059
549843;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;889,53294247059
549843;1;8;05;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;1;05;889,53294247059
549845;1;2;05;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;1086,67819788838
549847;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1331,69514484113
549847;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1331,69514484113
549847;1;6;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1331,69514484113
549849;1;1;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1728,89812623243
549850;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1861,21509652602
549851;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;922,32363948624
549852;1;1;05;80;1;3;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;745,97542247423
549855;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;952,766372921234
549856;1;1;05;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;1385,10569130987
549856;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1385,10569130987
549856;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1385,10569130987
549856;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1385,10569130987
549858;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1040,79728012823
549859;1;1;05;80;1;3;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;859,09537028339
549860;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;745,97542247423
549861;1;1;05;80;1;1;3; ;2; ;1;70000;1;840000; ; ; ;8;2;1;05;707,339792991046
549862;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;975,370525929887
549863;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;1132,57080878364
549863;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1132,57080878364
549863;1;4;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;1132,57080878364
549865;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;853,838568717434
549865;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;853,838568717434
549866;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;990,814067776427
549866;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;990,814067776427
549867;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;689,04501757859
549867;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;689,04501757859
549869;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;518,34749276829
549869;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;518,34749276829
549870;1;1;05;80;1;1;5; ;2; ;2; ;1;150000; ; ; ;8;2;1;05;378,661502671423
549870;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;378,661502671423
549871;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;466,469745703201
549871;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;466,469745703201
549871;1;4;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;466,469745703201
549872;1;1;05;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;1;05;403,653108847323
549873;1;2;05;80;1;1;2; ;2; ;2; ;1;400000; ; ; ;9;2;1;05;516,487189859427
549873;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;516,487189859427
549875;1;1;05;80;1;3;4; ;3; ;2; ;2; ; ; ; ;8;2;1;05;749,039096566076
549877;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;1;05;459,629982697197
549877;1;4;05;80;2; ; ; ;2; ;2; ;2; ;1;1; ;9; ;1;05;459,629982697197
549877;1;6;05;80;1;1;2; ;2; ;2; ;1;99; ;1; ;8;1;1;05;459,629982697197
549879;1;2;05;80;1;1;2; ;2; ;2; ;1;5500000; ; ; ;9;2;1;05;1135,41616086468
549879;1;3;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;1135,41616086468
549880;1;1;05;80;2; ; ; ;3; ;2; ;2; ;2; ;.; ; ;1;05;759,26486194466
549882;1;1;05;80;1;3;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;825,813433633032
549882;1;2;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;825,813433633032
549882;1;5;05;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;1;05;825,813433633032
549885;1;1;05;80;1;4;4; ;3; ;2; ;2; ; ; ; ;10;2;1;05;459,629982697197
549885;1;2;05;80;1;1;5; ;3; ;2; ;1;3600000; ; ; ;8;2;1;05;459,629982697197
549885;1;3;05;80;1;4;7; ;2; ;2; ;2; ; ; ; ;8;2;1;05;459,629982697197
549888;1;2;05;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;1;05;772,973630193935
