DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5190457;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;41;925,036824545195
5190461;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;1,1;15;484,729497448416
5190461;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;484,729497448416
5190468;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;1,1;15;796,858707470996
5190468;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;796,858707470996
5190468;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,1;15;796,858707470996
5190470;1;2;1;80;2;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,1;15;597,591795956295
5190471;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;991,679185315051
5190498;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;357,112708922624
5190498;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;357,112708922624
5190498;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;15;357,112708922624
5190499;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;1,1;15;473,202691346995
5190499;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;15;473,202691346995
5190501;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;15;586,064989854873
5190767;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;08;1,1;44;1518,49640269473
5190770;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;44;1990,72934336564
5190773;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;44;2440,25842243546
5190773;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;44;2440,25842243546
5190774;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,1;44;3805,80113609775
5190774;1;6;1;80;2;1;6; ;2; ; ;6; ; ; ;2; ; ; ; ; ;1;08;1,1;44;3805,80113609775
5190774;1;7;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;44;3805,80113609775
5190776;1;3;1;80;2;1;8; ;2; ; ;12;POR LA PANDEMIA NACIONAL;2; ;1;877803;1;48;877803;2;1;08;1,1;44;2160,2991918707
5190776;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;44;2160,2991918707
5190776;1;5;1;80;2;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;08;1,1;44;2160,2991918707
5190786;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;44;1604,64737109686
5190786;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;08; ;44;1604,64737109686
5191006;1;2;1;80;2;1;8; ;2; ; ;8; ;2; ;2; ;2; ;900000;2;1;08;1,1;41;798,625450335609
5191009;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;1,1;41;1524,84041012604
5191011;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;41;798,625450335609
5191013;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;800000;2;1;08; ;41;798,625450335609
5191014;1;1;1;80;2;1;9;EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;08;1,1;41;2879,91523387562
5191014;1;3;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;08;1,1;41;2879,91523387562
5191015;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;2; ;800000;2;1;08; ;41;2462,48015291195
5191015;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08; ;41;2462,48015291195
