DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5185047;1;1;1;70;54;12;40;4; ;2;12;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;81;55;55;1;1;8121;08;54;358,332476018446
5185050;1;2;1;70;54;24;48;4; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;870000;2; ;84;32;32;1;2;8412;08;54;267,700153004711
5185051;1;2;1;70;54;12;40;4; ;2;12;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;84;84;1;1;4520;08;54;390,267690013576
5185055;1;2;1;70;54;20;48;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;56;53;53;1;2;5611;08;54;326,492553494932
5185091;1;2;1;70;68;5;48;1; ;2;16;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;42;58;95;1;1;4210;08;68;587,458942319382
5185092;1;5;1;70;68;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;15;53;80;1;1;1522;08;68;505,086142662639
5185095;1;3;1;70;68;8;48;1; ;2;8;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;97;45;1;1;4772;08;68;626,118442551302
5185096;1;2;1;70;68;52;48;1; ;2;52;1; ;5;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;1200000;1;1;92;33;21;1;2;9200;08;68;576,100793842777
5185097;1;1;1;70;68;20;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;49;98;98;1;2;4921;08;68;568,708408834679
5185199;1;1;1;70;17;48;48;1; ;2;48;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;82;38;38;1;2;8220;08;17;639,025905056022
5185200;1;1;1;70;17;20;48;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;55;54;54;1;2;5511;08;17;308,294084586912
5185212;1;2;1;70;23;18;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;39; ;1;2;.;08;23;233,278480953622
5185212;1;4;1;70;23;20;48;1; ;2;30;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;59;95;1;2;4111;08;23;233,278480953622
5185219;1;2;1;70;52;2;40;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ; ;19; ;1;1;.;08;52;111,270046070409
5185221;1;1;1;70;52;4;48;1; ;2;24;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;95;95;1;1;4111;08;52;183,475870142797
5185225;1;1;1;70;52;8;48;1; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;45;54;1;1;9700;08;52;207,807497417296
5185237;1;2;1;70;52;24;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;96;97;59;1;2;9609;08;52;235,626153718072
5185258;1;3;1;70;17;18;18;1; ;2;16;2; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;84;02;02;1;2;8412;08;17;102,372065165306
5185259;1;3;1;70;17;18;48;1; ;2;18;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;1;1;56;03;53;1;2;5613;08;17;163,080136720533
5185266;1;2;1;70;17;52;48;1; ;2;25;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;86;07;07;1;2;8692;08;17;214,933597406595
5185274;1;2;1;70;17;48;48;3; ;2;80;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;97;59;59;1;2;9700;08;17;136,455508238527
5185274;1;3;1;70;17;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;56;45;53;1;2;5630;08;17;136,455508238527
5185280;1;4;1;70;52;25;40;4; ;2;25;5; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;47;05;41;1;2;4773;08;52;206,234530232907
5185282;1;1;1;70;52;21;48;2; ;2;30;4; ;9;2;1; ; ;1; ;1; ; ; ; ; ; ;2; ;1800000;1;1;85;13;13;1;2;8544;08;52;219,971048973421
5185283;1;2;1;70;52;12;40;1; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;97;45;59;1;1;9700;08;52;197,240313497166
5185293;1;2;1;70;73;18;48;4; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;880000;2; ;81;55;55;1;2;8121;08;73;182,600101712825
