DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5191006;1;1;1;70;2;20;40;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;56;53;53;1;2;08;5611;41;798,625450335609
5192747;1;1;1;70;2;8;48;1; ;2;9;1; ;8;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;64;55;55;1;1;08;6412;15;971,812870065664
5192751;1;2;1;70;2;20;40;5; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;41;95;95;1;2;08;4111;15;742,316949668832
5192752;1;3;1;70;2;20;36;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;32; ;1;2;08;.;15;403,405179366796
5193333;1;1;1;70;2;20;48;3; ;2;20;4; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1000000;1;2;56;54;77;1;2;08;5619;68;1316,46025802792
5193333;1;5;1;70;2;20;72;8; ;2;100;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;720000;2; ;01;62;62;1;2;08;0124;68;1316,46025802792
5193334;1;3;1;70;2;16;50;1; ;2;16;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;01;77;77;1;2;08;0144;68;1763,80473866786
5193334;1;4;1;70;2;24;48;3; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;54;54;1;2;08;9700;68;1763,80473866786
5193799;1;2;1;70;2;2;40;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877800;2; ;01;61;61;1;1;08;0161;15;2998,13312380227
5196698;1;2;1;70;2;20;24;3; ;2;24;3; ;1;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;878000;1;2;97;54;54;1;2;08;9700;05;2666,21474736462
5196726;1;1;1;70;2;16;48;1; ;2;20;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;68;98;44;1;2;08;6820;05;3206,80274781701
5196731;1;3;1;70;2;32;48;1; ;2;72;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;47;45;33;1;2;08;4729;05;3562,68625823103
5196744;1;5;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;878000; ; ; ;33; ;1;2;08;.;05;727,016546406405
5196746;1;1;1;70;2;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;878000;2; ;47;39;39;1;2;08;4752;05;2908,06618562562
5197506;1;2;1;70;2;4;42;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;46;33;44;1;1;08;4620;44;1323,23565650703
5198188;1;2;1;70;2;12;40;1; ;2;54;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;88;54;54;1;1;08;8890;70;1905,21663868638
5198188;1;4;1;70;2;3;40;1; ;2;15;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;49;45;98;1;1;08;4921;70;1905,21663868638
5198190;1;2;1;70;2;4;40;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877703;2; ;63;32;34;1;1;08;6311;70;1220,55381389201
5198199;1;1;1;70;2;4;40;4; ;2;42;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;61;54;1;1;08;9700;70;1220,55381389201
5198273;1;1;1;70;2;8;70;5; ;2;24;5; ;2;2;1; ; ; ; ; ;1; ; ; ; ; ;2; ;877803;2; ;25;83;83;1;1;08;2511;76;2243,35923168064
5198273;1;3;1;70;2;10;48;1; ;2;22;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;21;97;97;1;1;08;2100;76;2243,35923168064
5198401;1;2;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;96;56;56;1;1;08;9601;41;1226,59648489514
5198403;1;4;1;70;2;52;48;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;41;02;02;1;2;08;4111;41;798,625450335609
5198405;1;1;1;70;2;12;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;01;61;61;1;1;08;0161;41;1223,2807497761
5199618;1;3;1;70;2;1;21;8; ;2;1;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;02;62;63;1;1;08;0220;76;919,832063960846
5199622;1;1;1;70;2;8;48;1; ;2;17;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;86;59;59;1;1;08;8699;76;1245,37221438369
5199624;1;1;1;70;2;3;42;1; ;2;21;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;47;45;45;1;1;08;4771;76;1365,07798322005
