DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2797259,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,97.479.669.014.839
2797259,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,97.479.669.014.839
2797260,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,484.838.243.789.729
2797263,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,87.645.357.734.158
2797264,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,15,15,826.628.462.462.691
2797264,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,826.628.462.462.691
2797265,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,484.838.243.789.729
2797266,1,1,1,80,1,1,1,8,,2,,2,,,1,,4,1,1,10,15,15,100.946.765.893.058
2797269,1,1,1,80,1,1,4,3,,2,,2,,,,,8,2,1,10,15,15,121.182.313.506.944
2797269,1,3,1,80,1,1,1,8,,2,,2,,,1,,4,1,1,10,15,15,121.182.313.506.944
2797270,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,102.898.393.860.155
2797270,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,10,15,15,102.898.393.860.155
2797271,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,15,15,876.171.366.291.299
2797272,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,10,15,15,642.650.226.382.037
2797272,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,15,15,642.650.226.382.037
2797272,1,8,1,80,1,1,3,2,,2,,2,,,,,2,2,1,10,15,15,642.650.226.382.037
2797278,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,10,73,73,194.911.471.217.572
2797278,1,2,1,80,1,1,4,7,,2,,2,,,,,8,2,1,10,73,73,194.911.471.217.572
2797282,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,73,73,164.605.309.569.662
2797285,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,19.678.285.772.019
2797285,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,19.678.285.772.019
2797287,1,2,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,73,73,234.703.140.702.457
2797288,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,73,73,258.972.911.173.235
2797289,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,73,73,455.862.123.469.344
2797289,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,73,73,455.862.123.469.344
2797289,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,455.862.123.469.344
2797291,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,155.328.550.365.258
2797292,1,2,1,80,1,1,2,3,,2,,2,,,,,9,2,1,10,73,73,249.788.450.754.326
2797293,1,2,1,80,1,1,1,4,,2,,2,,,,,4,2,1,10,73,73,226.303.935.406.022
2797295,1,2,1,80,1,1,2,5,,3,,2,,,,,10,2,1,10,73,73,217.554.115.359.699
2797295,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,217.554.115.359.699
2797295,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,217.554.115.359.699
2797296,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,73,73,389.822.942.435.145
2797296,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,73,73,389.822.942.435.145
2797297,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,73,73,443.092.008.794.609
2797300,1,1,1,80,1,1,4,8,,2,,2,,,,,1,2,1,10,63,63,138.065.680.131.732
2797301,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,63,63,130.704.256.446.933
2797302,1,3,1,80,1,2,,,,2,,2,,1,1,,8,,1,10,63,63,728.306.374.823.322
2797302,1,7,1,80,1,2,,,,2,,2,,1,2,,9,,1,10,63,63,728.306.374.823.322
2797302,1,8,1,80,1,1,4,7,,2,,2,,,,,9,2,1,10,63,63,728.306.374.823.322
2797306,1,4,1,80,1,1,4,5,,3,,2,,,,,8,2,1,10,63,63,102.550.149.986.025
2797307,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,10,63,63,922.815.312.471.957
2797308,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,66,66,258.995.850.813.927
2797308,1,2,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,66,66,258.995.850.813.927
2797309,1,1,1,80,1,1,3,5,,3,,2,,,,,10,2,1,10,66,66,264.902.010.572.051
2797309,1,2,1,80,1,1,4,4,,2,,2,,,,,4,2,1,10,66,66,264.902.010.572.051
2797311,1,1,1,80,1,1,4,4,,2,,2,,,,,4,2,1,10,66,66,258.995.850.813.927
2797313,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,66,66,34.264.301.592.798
2797314,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,66,66,261.266.186.321.518
2797319,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,66,66,29.563.923.890.645
2797320,1,2,1,80,1,1,4,3,,2,,2,,,,,8,2,1,10,66,66,251.140.250.374.595
2797322,1,1,1,80,1,1,4,5,,3,,2,,,,,11,2,1,10,66,66,222.092.054.921.816
2797322,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,66,66,222.092.054.921.816
2797324,1,2,1,80,1,1,4,8,,2,,2,,,,,9,2,1,10,66,66,343.690.870.749.281
2797326,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,66,66,302.933.615.982.933
2797329,1,1,1,80,1,1,4,8,,2,,2,,,,,9,2,1,10,66,66,388.152.666.116.176
2797329,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,66,66,388.152.666.116.176
2797330,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,66,66,318.414.957.286.543
2797330,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,66,66,318.414.957.286.543
2797334,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,66,66,248.635.461.884.919
2797336,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,66,66,267.172.346.079.642
2797336,1,3,1,80,1,1,1,9,SE CAMBIO DE PAIS DE RESIDENCIA,2,,2,,,,,2,2,1,10,66,66,267.172.346.079.642
2797336,1,4,1,80,1,1,1,8,,2,,2,,,,,8,2,1,10,66,66,267.172.346.079.642
2797337,1,1,1,80,1,1,1,6,,2,,2,,,,,1,2,1,10,66,66,255.360.026.563.395
2797340,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,5,5,113.038.120.430.486
2797340,1,2,1,80,1,1,4,6,,1,2,2,,,,,8,2,1,10,5,5,113.038.120.430.486
2797341,1,1,1,80,1,1,1,8,,3,,2,,,,,11,2,1,10,5,5,134.246.086.140.705
2797341,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,5,5,134.246.086.140.705
2797344,1,1,1,80,1,1,4,5,,3,,2,,,,,11,2,1,10,5,5,101.971.277.309.766
2797344,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,5,5,101.971.277.309.766
2797346,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,5,5,124.364.523.349.007
2797349,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,5,5,103.156.557.638.787
2797350,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,142.753.482.547.826
2797350,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,142.753.482.547.826
2797354,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,997.115.202.117.521
2797354,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,997.115.202.117.521
2797356,1,1,1,80,1,1,4,5,,3,,2,,,,,11,2,1,10,47,47,158.361.087.376.881
2797358,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,10,68,68,492.803.314.963.468
2797360,1,1,1,80,1,1,3,4,,2,,2,,,,,4,2,1,10,68,68,630.066.880.373.904
2797362,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,47,47,136.957.840.129.133
2797362,1,2,1,80,1,1,4,7,,2,,2,,,,,8,2,1,10,47,47,136.957.840.129.133
2797362,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,136.957.840.129.133
2797363,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,47,47,135.193.578.743.875
2797363,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,10,47,47,135.193.578.743.875
2797363,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,10,47,47,135.193.578.743.875
2797364,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,10,47,47,771.066.124.469.554
