DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2799029,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,154.019.546.834.664
2799029,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,154.019.546.834.664
2799029,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,154.019.546.834.664
2799029,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,154.019.546.834.664
2799030,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,165.203.867.619.089
2799030,1,2,1,95,2,,,,,,,,1,2,2,,,,,98,2,1,2,,2,2,10,63,165.203.867.619.089
2799031,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799031,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799031,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799031,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799032,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,195.699.879.001.799
2799033,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,176.649.356.656.986
2799033,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,176.649.356.656.986
2799033,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,176.649.356.656.986
2799033,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,176.649.356.656.986
2799034,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,142.707.230.204.649
2799035,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,142.707.230.204.649
2799036,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799036,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799036,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799036,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799036,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799036,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,229.010.177.519.837
2799037,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,117.286.643.553.112
2799037,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,117.286.643.553.112
2799037,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,117.286.643.553.112
2799038,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.030.969.664.401
2799038,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.030.969.664.401
2799038,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.030.969.664.401
2799039,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,190.294.042.985.137
2799039,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,190.294.042.985.137
2799039,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,190.294.042.985.137
2799040,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,196.704.326.658.043
2799040,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,196.704.326.658.043
2799041,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.941.081.443.194
2799041,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.941.081.443.194
2799041,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,141.941.081.443.194
2799043,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799043,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,202.206.038.523.921
2799044,1,1,1,95,2,,,,,,,,1,2,2,,,,,480000,2,1,2,,2,2,10,63,16.533.704.002.697
2799045,1,1,1,95,1,,2,1,,535500,,2,2,,,,,,,,,,,,,2,10,63,174.074.516.835.722
2799045,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,174.074.516.835.722
2799046,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799046,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799046,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799046,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,215.540.060.414.179
2799047,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,166.729.840.160.432
2799047,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,166.729.840.160.432
2799047,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,10,63,166.729.840.160.432
