DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2799029,1,4,3,2,1,5,2,1,5,1,,,300000,40000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,3,2,2,,4,1,1,7,3,1,2,2,2,2,1,,,1,2,10,63,1,154.019.546.834.664
2799030,1,4,2,1,1,1,1,1,3,1,,,98,80000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,4,4,1,1,1,1,1,2,3,1,1,2,10,63,1,165.203.867.619.089
2799031,1,3,2,1,1,1,1,1,3,2,,160000,12000000,120000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,1,4,2,1,1,1,1,1,2,3,1,1,2,10,63,1,215.540.060.414.179
2799032,1,3,1,1,1,1,1,1,4,3,,,,,90000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,2,1,1,1,2,3,1,1,2,10,63,1,195.699.879.001.799
2799033,1,5,3,2,1,5,2,1,5,1,,,98,100000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,4,2,2,,4,1,1,1,4,1,2,2,2,2,1,,,1,2,10,63,1,176.649.356.656.986
2799034,1,2,1,2,1,5,2,6,,4,,,,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,7,2,1,2,2,2,2,1,,,1,2,10,63,1,142.707.230.204.649
2799035,1,3,1,3,1,5,2,6,,1,,,98,120000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,1,1,1,1,2,1,2,2,2,2,1,,,1,2,10,63,1,142.707.230.204.649
2799036,1,8,5,2,1,5,2,1,5,1,,,98,98,,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,5,2,2,,6,1,1,1,2,1,2,2,2,2,1,,,1,2,10,63,1,229.010.177.519.837
2799037,1,2,1,2,1,4,1,3,5,4,,,,150000,,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,3,2,2,,3,1,1,4,2,1,2,2,2,1,1,,1,1,2,10,63,1,117.286.643.553.112
2799038,1,3,2,2,1,4,1,1,5,4,,,,98,,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,,4,1,1,4,4,1,2,2,2,1,1,,1,1,2,10,63,1,141.030.969.664.401
2799039,1,1,1,2,1,4,1,1,5,4,,,,50000,,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,1,2,2,2,2,2,1,,,1,1,2,10,63,1,190.294.042.985.137
2799040,1,2,1,2,1,4,1,1,5,4,,,,80000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,4,2,1,2,2,2,1,1,,1,1,2,10,63,1,196.704.326.658.043
2799041,1,2,2,2,1,4,1,1,5,1,,,10000000,60000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,,3,1,1,5,2,1,2,2,2,1,1,,1,1,2,10,63,1,141.941.081.443.194
2799043,1,3,2,1,1,1,1,1,3,1,,,12000000,80000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,10,1,1,1,4,1,1,1,1,1,2,3,1,1,2,10,63,1,202.206.038.523.921
2799044,1,3,1,1,1,1,1,6,,4,,,,80000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,2,3,1,1,2,10,63,1,16.533.704.002.697
2799045,1,4,1,1,1,1,1,1,3,1,,,15000000,150000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,2,3,1,1,2,10,63,1,174.074.516.835.722
2799046,1,4,3,2,1,4,1,1,4,1,,,35000000,180000,,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,1,1,,1,1,2,10,63,1,215.540.060.414.179
2799047,1,3,2,2,1,4,1,1,4,5,,,,80000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,3,2,2,,3,1,1,7,1,1,2,2,2,1,1,,1,1,2,10,63,1,166.729.840.160.432
2799048,1,1,1,1,1,4,1,6,,4,,,,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,1,1,2,1,2,1,2,1,1,,1,1,2,10,63,1,18.298.958.567.603
2799049,1,3,2,2,1,4,1,1,5,4,,,,80000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,3,1,1,1,2,1,2,2,2,1,1,,1,1,2,10,63,1,131.111.453.167.847
2799050,1,3,2,2,1,4,1,1,4,3,,,,,200000,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,5,2,2,,6,1,1,1,2,1,2,2,2,1,3,,1,1,2,10,63,1,151.228.770.005.449
2799051,1,4,1,2,1,4,1,1,4,1,,,90000000,350000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,2,2,1,3,,1,1,2,10,63,1,174.074.516.835.722
2799052,1,5,2,2,1,4,1,1,4,1,,,45000000,200000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,2,2,2,1,3,,1,1,2,10,63,1,174.074.516.835.722
2799053,1,4,4,2,1,4,1,1,4,4,,,,150000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,5,2,2,,6,1,1,1,4,1,2,2,2,1,3,,1,1,2,10,63,1,118.564.167.537.639
2799054,1,4,4,2,1,4,1,1,4,1,,,28000000,180000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,4,2,2,,7,1,1,1,4,1,2,2,2,1,2,,1,1,2,10,63,1,99.350.637.497.266
2799055,1,3,2,3,1,4,2,1,5,1,,,7000000,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,4,1,1,2,2,2,2,2,,,1,2,10,63,1,192.910.250.591.858
2799056,1,3,2,1,1,1,1,1,3,1,,,10000000,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,2,10,63,1,215.540.060.414.179
2799057,1,4,2,1,1,1,1,1,3,3,,,,,120000,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,2,3,1,1,2,10,63,1,143.188.770.140.043
2799058,1,4,3,2,1,4,1,1,5,1,,,5000000,80000,,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,1,4,2,2,,6,1,1,4,2,1,2,2,2,1,2,,1,1,2,10,63,1,2.832.999.821.691
2799059,1,3,1,1,1,1,1,1,1,4,,,,50000,,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,2,1,1,1,2,2,1,1,2,10,63,1,196.704.326.658.043
2799060,1,4,3,3,1,4,1,1,4,4,,,,100000,,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,4,2,2,,6,1,1,1,4,1,2,2,2,1,2,,1,1,2,10,63,1,201.286.069.872.912
2799062,1,3,2,2,1,4,1,1,4,4,,,,100000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,1,2,,1,1,2,10,63,1,197.414.074.199.534
2799063,1,3,2,3,1,4,1,1,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,5,1,1,1,2,1,2,2,2,1,2,,1,1,2,10,63,1,131.592.993.103.241
2799064,1,4,4,2,1,4,1,1,4,4,,,,100000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,6,1,1,1,2,1,2,2,2,1,2,,1,1,2,10,63,1,198.647.338.545.008
2799065,1,3,2,2,1,4,1,1,4,1,,,10000000,250000,,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,2,2,2,1,2,,1,1,2,10,63,1,196.704.326.658.043
2802909,1,3,2,1,1,1,1,1,3,3,,,,,90000,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,10,63,1,176.649.356.656.986
2802910,1,3,2,1,1,1,1,1,4,3,,,,,80000,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,1,2,1,2,1,1,1,1,3,1,1,2,10,63,1,228.071.613.289.116
2802911,1,3,2,1,1,1,1,1,3,1,,,12000000,80000,,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,10,63,1,215.540.060.414.179
2802912,1,3,2,1,1,1,1,1,3,4,,,,130000,,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,2,10,63,1,155.198.563.713.403
2802913,1,3,2,1,1,1,1,3,3,3,,,,,130000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,3,1,1,2,10,63,1,154.651.374.768.963
2802914,1,4,3,1,1,1,1,1,3,1,,,15000000,150000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,5,1,1,1,2,1,1,1,1,1,2,3,1,1,2,10,63,1,183.362.205.397.976
