Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3769539;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;56; ;21; ; ; ; ; ; ;1;07;18;88,6872293284831;18
3769540;1;1;1;90;2;1;2;2;2;2;1;2;2;2; ;3; ; ; ; ;4; ; ; ;1;07;41;143,888606880375;41
3769540;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;07;41;143,888606880375;41
3769541;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;15; ; ; ; ; ; ;1;07;41;134,775375384544;41
3769542;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;21; ; ;14; ; ; ; ; ;1;07;41;126,3310579112;41
3769542;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;84; ; ;42; ; ; ; ; ;1;07;41;126,3310579112;41
3769542;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;41;126,3310579112;41
3769542;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;41;126,3310579112;41
3769543;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;07;47;143,187410095768;47
3769543;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;143,187410095768;47
3769544;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;35; ; ; ; ; ; ;1;07;47;239,107311760736;47
3769545;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;07;47;128,377813362672;47
3769545;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;128,377813362672;47
3769546;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;14; ; ; ; ; ; ;1;07;47;153,842664607992;47
3769546;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;30; ; ; ; ; ; ;1;07;47;153,842664607992;47
3769546;2;1;2;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;47;153,842664607992;47
3769546;2;2;2;90;2;1;2;1;2;2;2;2;2;2; ;21; ;21; ; ; ; ; ; ;1;07;47;153,842664607992;47
3769547;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;21; ; ; ; ; ; ;1;07;47;166,80607681176;47
3769547;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;21; ; ; ; ; ; ;1;07;47;166,80607681176;47
3769547;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;07;47;166,80607681176;47
3769548;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;07;17;203,18078907399;17
3769548;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;42; ; ; ; ; ; ; ; ;1;07;17;203,18078907399;17
3769549;1;1;1;90;2;1;2;2;2;1;2;2;2;2; ;40; ; ; ;2; ; ; ; ;1;07;17;173,125302679266;17
3769549;1;2;1;90;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ; ; ;6; ; ;1;07;17;173,125302679266;17
