Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3691806;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;3366,63107292409
3691807;1;1;1;90;1;2;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ; ;2;03;68;2880,89765520424
3691807;1;2;1;90;1;1;2;1;2;2;2;2;2;2;4;28; ;12; ; ; ; ; ; ;2;03;68;2880,89765520424
3691807;1;3;1;90;1;1;2;2;2;2;2;2;2;2;4;12; ; ; ; ; ; ; ; ;2;03;68;2880,89765520424
3691807;1;4;1;90;1;1;2;2;2;2;2;2;2;2;4;15; ; ; ; ; ; ; ; ;2;03;68;2880,89765520424
3691807;1;5;1;90;1;1;2;2;2;2;2;2;2;2;4;12; ; ; ; ; ; ; ; ;2;03;68;2880,89765520424
3691807;1;6;1;90;1;1;2;2;2;2;2;2;2;2;4;10; ; ; ; ; ; ; ; ;2;03;68;2880,89765520424
3691815;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1071,01263491995
3691815;1;2;1;90;1;1;2;2;2;2;2;2;2;2;4;36; ; ; ; ; ; ; ; ;2;03;68;1071,01263491995
3691815;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;15; ;5; ; ; ; ; ; ;2;03;68;1071,01263491995
3691826;1;1;1;90;1;1;2;1;2;2;2;2;2;2;2;28; ;9; ; ; ; ; ; ;2;03;68;1757,58139124093
3691826;1;2;1;90;2;1;2;1;1;2;2;2;2;2; ;25; ;15;2; ; ; ; ; ;2;03;68;1757,58139124093
3691826;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1757,58139124093
3691826;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;03;68;1757,58139124093
3691832;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;9; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691832;1;2;1;90;1;1;2;2;2;2;2;2;2;2;4;36; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691832;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691832;1;4;1;90;1;1;2;2;2;2;2;2;2;2;4;5; ; ; ; ; ; ; ; ;2;03;68;2352,65872219664
3691833;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;28; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;5;1;90;1;1;2;1;2;2;2;2;2;2;2;28; ;15; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;7;1;90;1;1;2;2;2;2;2;2;2;2;4;28; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;8;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;9;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691833;1;10;1;90;1;1;2;2;2;2;2;2;2;2;4;10; ; ; ; ; ; ; ; ;2;03;68;2703,79348797305
3691834;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;7; ; ; ; ; ; ;2;03;68;2107,99097725098
