Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3682827;1;6;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;66;256,056247370837
3682828;1;2;1;80;66;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;66;263,211204507335
3682829;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;302,064852819157
3682831;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;315,357576165889
3682832;1;1;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;276,87179315119
3682832;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;276,87179315119
3682833;1;1;1;80;66;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;66;274,599983615699
3682834;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;274,39216857012
3682837;1;3;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;66;246,127162164366
3682837;2;1;2;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;246,127162164366
3682837;2;3;2;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;246,127162164366
3682839;1;5;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;66;271,125365617957
3682842;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;66;233,388894232061
3682842;2;1;2;80;66;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;66;233,388894232061
3682843;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;66;253,131961394641
3682843;1;3;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;66;253,131961394641
3682850;1;1;1;80;52;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;52;191,707015914894
3682850;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;191,707015914894
3682851;1;1;1;80;52;1;3;2; ;2; ;2; ; ; ; ;2;2;1;03;52;248,708293554038
3682851;1;2;1;80;52;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;52;248,708293554038
3682851;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;248,708293554038
3682851;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;248,708293554038
3682853;1;2;1;80;52;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;52;186,779212773479
3682854;1;1;1;80;52;1;3;5; ;3; ;2; ; ; ; ;8;2;1;03;52;155,131059256766
3682856;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;8;2;1;03;52;87,8390794893405
3682856;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;52;87,8390794893405
3682857;1;2;1;80;52;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;52;174,241640696445
3682857;1;4;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;52;174,241640696445
3682857;1;5;1;80;52;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;52;174,241640696445
3682861;1;2;1;80;50;1;2;3; ;2; ;2; ; ; ; ;10;2;1;03;50;182,554744175315
3682861;1;3;1;80;50;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;50;182,554744175315
3682862;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;218,020340703394
3682862;1;4;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;218,020340703394
3682863;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;186,618319856323
