Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3692699;1;2;1;80;2;1;1;3; ;2; ;2; ; ;1; ;1;1;1;03;63;1683,4125359774
3692699;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1683,4125359774
3692699;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1683,4125359774
3692700;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2041,10885602544
3692700;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;2041,10885602544
3692700;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;2041,10885602544
3692701;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1572,96538194555
3692701;1;5;1;80;2;1;4;3; ;2; ;2; ; ; ;CAMBIO DE DOMICILIO;12;2;1;03;63;1572,96538194555
3692702;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1350,19551720262
3692702;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;1350,19551720262
3692702;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1350,19551720262
3692703;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;63;2715,78914444922
3692703;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;2715,78914444922
3692703;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;63;2715,78914444922
3692704;1;2;1;80;2;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;63;1406,88567102703
3692709;1;2;1;80;2;1;4;9;POR EDAD;2; ;2; ; ; ; ;8;2;1;03;63;992,499197154577
3692709;1;3;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;03;63;992,499197154577
3692709;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;992,499197154577
3692710;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;63;1406,88567102703
3692711;1;1;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;03;63;1683,4125359774
3692711;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1683,4125359774
3692712;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;63;1325,71621592936
3692717;1;1;1;80;2;1;3;5; ;3; ;2; ; ; ; ;10;2;1;03;63;1406,88567102703
3692717;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1406,88567102703
3692719;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;8;2;1;03;63;907,280049555861
3692719;1;2;1;80;2;1;4;9;CAMBIO DE PAIS;2; ;2; ; ; ; ;8;2;1;03;63;907,280049555861
3693117;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2110,38889610038
3693119;1;1;1;80;2;1;4;3; ;2; ;2; ; ;1; ;9;1;1;03;20;2238,07971075165
3693121;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;997,834344931996
3693123;1;2;1;80;2;2; ; ; ;2; ;2; ;1;3; ;5; ;1;03;20;1223,6618818518
3693126;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;20;1027,85454122861
3693127;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;20;997,834344931996
3693128;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1049,42135604887
3693128;1;5;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;20;1049,42135604887
