DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1;P750S1A1;P750S2;P750S2A1;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;P750S3;P750S3A1;P750S4;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;MES;DPTO;fex_c_2011
5418283;1;1;1;95;2; ; ; ; ; ; ;1;1;500000;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;05;04;05;1353,09137447504
5418283;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;04;05;1353,09137447504
5418284;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;04;05;1372,91994297666
5418284;1;2;1;95;2; ; ; ; ; ; ;1;2; ;1;2300000;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;800000;1;1064000;05;04;05;1372,91994297666
5418285;1;1;1;95;2; ; ; ; ; ; ;1;1;2500000;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;05;04;05;1567,10856753766
5418286;1;1;1;95;1;1;280000;2; ;2; ;1;1;3360000;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;05;04;05;1119,22444025377
5418286;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;04;05;1119,22444025377
5418286;1;3;1;95;2; ; ; ; ; ; ;1;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;800000;05;04;05;1119,22444025377
5418286;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;04;05;1119,22444025377
5418286;1;5;1;95;2; ; ; ; ; ; ;1;2; ;2; ;1;1920000; ; ;1;1920000; ; ; ; ;1;1920000; ; ; ; ; ; ;2; ;2; ;2; ;05;04;05;1119,22444025377
