DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5427627;1;4;1;70;2;5;45;4; ;2;4;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;47;61;62;1;1;04;4759;70;726,239998622399
5427631;1;4;1;70;2;4;40;3; ;2;30;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;04;9700;70;906,863311101156
5427660;2;1;2;70;2;2;50;4; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;250000;300000;2; ;56;53;53;1;1;04;5611;54;811,432253041948
5427661;1;3;1;70;2;52;48;4; ;2;52;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;49;98;98;1;2;04;4923;54;1621,55505225957
5427661;1;4;1;70;2;52;40;3; ;2;52;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;54;53;1;2;04;5611;54;1621,55505225957
5427662;1;2;1;70;2;4;50;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ; ;61; ;1;1;04;.;54;558,993351519012
5427667;1;1;1;70;2;15;48;1; ;2;120;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;56;53;53;1;2;04;5611;54;892,222357039436
5427676;1;2;1;70;2;12;48;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;04;9700;17;466,187469549129
5428138;1;1;1;70;2;4;48;4; ;2;16;4; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;41;95;95;1;1;04;4111;70;1024,73092471492
5428146;1;1;1;70;2;2;42;3; ;2;250;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;97;54;54;1;1;04;9700;70;1356,12402438867
5428152;1;3;1;70;2;5;49;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;250000;300000;2; ;01;61;61;1;1;04;0161;70;1341,83700010929
5428156;1;1;1;70;2;2;40;3; ;2;56;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;54;53;1;1;04;5619;70;835,623148486211
5428165;1;2;1;70;2;1;46;3; ;2;15;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;04;9700;70;1334,17968134423
5428394;1;3;1;70;2;4;40;1; ;2;5;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;47;13;45;1;1;04;4752;70;663,379838686357
5428396;1;2;1;70;2;7;40;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;45;45;1;1;04;5611;70;963,454247413008
5428397;1;1;1;70;2;5;40;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;1;350000;400000;2; ;01;61;61;1;1;04;0161;70;1118,84717164143
5428399;1;2;1;70;2;4;40;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;97;54;54;1;1;04;9700;70;560,905464811787
5429201;1;3;1;70;2;8;48;1; ;2;12;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;01;34;62;1;1;04;0114;68;782,654370266361
5429231;1;2;1;70;2;16;50;1; ;2;48;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;47;53;41;1;2;04;4729;68;1023,55857738321
5429234;1;1;1;70;2;48;48;1; ;2;48;1; ;6;2;4; ; ;1; ;1; ;1; ; ; ; ;2; ;1200000;1;1;64;32;32;1;2;04;6412;68;1350,39994270059
5429234;1;2;1;70;2;4;48;1; ;2;144;1; ;4;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;2000000;1;4;41;97;97;1;1;04;4111;68;1350,39994270059
5429239;1;1;1;70;2;16;56;1; ;2;16;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;41;95;95;1;2;04;4111;68;1233,44210168183
5429350;1;2;1;70;2;30;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;85;55;55;1;2;04;8530;15;2757,23684770928
5429359;1;1;1;70;2;25;48;1; ;2;25;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;45;45;1;2;04;4772;15;2483,36986962737
5429385;1;3;1;70;2;8;48;1; ;2;50;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;14;53;79;1;1;04;1410;17;1139,45585491486
5429394;1;1;1;70;2;2;24;1; ;2;2;8; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;1;200000;500000;2; ;01;53;62;1;1;04;0123;17;643,05999259904
5429398;1;3;1;70;2;53;48;1; ;2;56;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;01;21;60;1;2;04;0141;17;550,257954508741
5429401;1;1;1;70;2;4;24;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;500000;2; ;56;55;33;1;1;04;5611;17;1159,08797382021
5429404;1;2;1;70;2;12;48;1; ;2;16;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;74;05;05;1;1;04;7490;17;1109,19858503221
5429411;1;2;1;70;2;12;30;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;77;77;1;1;04;5613;17;3248,78249120037
5429414;1;1;1;70;2;32;60;1; ;2;38;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;93;95;1;2;04;4111;17;2644,79462057274
5429416;1;3;1;70;2;104;48;1; ;2;104;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;47;45;45;1;2;04;4771;17;885,684251554455
5431886;1;2;1;70;2;16;48;1; ;2;16;1; ;8;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;46;58;21;1;2;04;4663;05;6869,13493311325
5431888;1;1;1;70;2;12;60;4; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;600000;900000;2; ;56;53;53;1;1;04;5619;05;5951,16835468231
5431893;1;3;1;70;2;32;48;1; ;2;32;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;01;19;19;1;2;04;0122;05;2576,67131151631
5431958;1;3;1;70;2;20;48;1; ;2;22;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;45;53;1;2;04;5611;76;3273,32280475963
5431958;1;5;1;70;2;13;48;1; ;2;54;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;49;58;36;1;1;04;4921;76;3273,32280475963
