Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Fex_c_2011
186334;2;1;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1574,76751881934
186334;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1574,76751881934
186334;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1574,76751881934
186335;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1251,84501976389
186335;2;2;50;2;4; ;2;2;2;2; ; ;1;13;ESTA PENDIENTE PARA ENTRAR A ESTUDIAR AL SENA; ; ; ; ; ;2;63;1251,84501976389
186335;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1251,84501976389
186336;2;1;50;1;4; ;2;2;2;2; ; ;1;10; ; ; ; ; ; ;2;63;969,272583233253
186336;2;2;50;2;3; ;2;2;2;2; ; ;1;12; ; ; ; ; ; ;2;63;969,272583233253
186336;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;63;969,272583233253
186336;3;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;63;969,272583233253
186337;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;2;63;1280,9686883325
186337;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1280,9686883325
186337;2;3;50;3;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;2;63;1280,9686883325
186337;2;4;50;4;6;NO REALIZO ACTIVIDAD ALGUNA;2;2;2;2; ; ;1;7; ;2; ;2; ; ;2;63;1280,9686883325
186338;2;1;50;1;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;2;63;1202,72841969034
186338;2;2;50;2;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;2;63;1202,72841969034
