Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
176759;13;2;3;2;1;2;2;1; ;3;1; ; ;98;150000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;2;1;1; ;1;01;13;1;440,309161336011
176760;13;2;3;1;2;1;2;1; ;3;1; ; ;98;98; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;2;1;1; ;1;01;13;1;438,732796123095
176761;13;2;2;1;2;2;3;1; ;4;4; ; ; ;98; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;1;2;1;1; ;1;01;13;1;566,348694311882
176762;13;2;3;2;6; ;2;10; ;5;1; ; ;15000000;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;13;1;521,587904947997
176763;13;2;3;2;6; ;1;8; ;5;1; ; ;98;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;1;2;2;1;1;1;3;2;01;13;1;408,658927953436
176763;13;3;2;1;6; ;1;8; ;5;4; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1;408,658927953436
176764;13;2;2;1;2;1;1;1; ;4;1; ; ;20000000;100000; ;2;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;1;2;1;2;2;1;1;1;3;1;01;13;1;481,080445529663
176766;13;2;4;2;1;1;1;1; ;3;1; ; ;98;900000; ;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;1;1;1;4;1;1;1;1;1;5;3;1;01;13;1;233,710755540159
176767;13;2;7;2;1;1;1;1; ;3;1; ; ;98;900000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;1;2;1;1;2;2;1;2;1;1;1;4;1;1;1;1;1;5;3;1;01;13;1;200,108480902446
176768;13;2;2;1;1;1;1;1; ;3;3; ; ; ; ;400000;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;5;3;1;01;13;1;219,366398061547
176769;13;2;4;1;1;1;1;1; ;3;2; ;572000;98;572000; ;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;5;3;1;01;13;1;248,432934680784
176770;13;2;6;3;1;1;1;1; ;3;1; ; ;300000000;1000000; ;1;2;1;1;1;1;1;1;2;2;2;1;1;1;2;1;1;1;2;1;2;1;1;1;4;1;1;1;1;1;5;3;1;01;13;1;258,897527425861
176771;13;2;3;2;1;1;1;1; ;3;1; ; ;18000000;100000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;1;1;1;1;3;1;01;13;1;312,042747210462
176772;13;2;3;1;1;1;1;1; ;3;3; ; ; ; ;110000;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;1;3;1;01;13;1;252,450476299322
176773;13;2;3;2;1;1;1;1; ;3;3; ; ; ; ;120000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;2;3;1;01;13;1;252,450476299322
176774;23;2;2;1;2;1;1;1; ;3;3; ; ; ; ;120000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;2;1;1;2;1;1;1;3;1;01;23;1;108,402131103824
176775;23;2;4;3;2;1;1;1; ;3;1; ; ;30000000;200000; ;1;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;3;1;01;23;1;112,388277947538
176776;23;2;6;5;2;1;1;1; ;3;1; ; ;15000000;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;1;1;3;1;01;23;1;110,53498081736
176777;23;2;4;3;2;1;1;1; ;3;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;1;2;1;1;2;1;1;1;3;1;01;23;1;134,224311956818
176778;23;2;2;1;2;1;1;1; ;4;4; ; ; ;50000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;5;1;1;2;2;1;1;1;3;1;01;23;1;153,378829570059
176780;23;2;4;3;2;1;1;1; ;3;4; ; ; ;100000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;1;1;1;3;1;01;23;1;153,378829570059
