Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
186337;2;3;70;4;48;3; ;1;1;2;6;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;80000;2;54;54;9500;95;63;1280,9686883325
186338;2;1;70;4;48;1; ;2;1;2;4;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;1;187000;1;5000000;2;45;45;7491;74;63;1202,72841969034
186338;2;2;70;1;48;2; ;2;1;2;12;2; ;9;2;8; ;2; ;2;5; ; ; ; ;1; ; ; ; ; ; ;2; ;1;1500000;2;32;12;9241;92;63;1202,72841969034
186340;2;1;70;6;60;1; ;1;1;2;6;8; ;1;2;2; ;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;2000000;2;58;62;0140;01;63;1267,48434036981
186584;2;2;70;4;48;8; ;1;1;2;4;8; ;2;2;2; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;2;62;62;0140;01;50;774,234541299397
186594;2;3;70;8;48;1; ;1;1;2;16;1; ;2;2;8; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5233;52;50;1112,06874480199
187882;2;1;70;3;55;1; ;1;1;2;3;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;800000;2;62;95;4521;45;17;1601,79578552184
187885;2;3;70;156;40;1; ;1;1;2;156;1; ;4;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;1;100000;2;58;58;8043;80;17;1413,5815662472
187886;2;3;70;3;50;8; ;1;1;2;3;8; ;2;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;130000;1;800000;2;62;62;0111;01;17;778,903396362328
187887;2;2;70;998;20;2; ;1;1;2;998;1; ;3;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;1;600000;2;19;13;8011;80;17;1155,41498787122
189183;2;2;70;12;40;4; ;1;1;2;12;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;56;56;9500;95;54;1134,25763136484
189185;2;5;70;8;40;1; ;1;1;2;16;1; ;4;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;2;71;71;1411;14;54;887,348339217816
189188;2;3;70;4;55;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;54;815,80755881229
189189;2;1;70;3;45;4; ;1;1;2;3;4; ;1;2;2; ;1; ;2;11;POR LA EDAD; ; ; ; ; ; ; ; ;1; ;1;80000;1;5400000;2;62;62;0140;01;54;1095,27229153194
189606;3;2;70;40;48;8; ;1;1;2;44;8; ;2;2;7; ;4; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;80000;2;62;62;0121;01;23;2630,42403424852
189611;2;1;70;6;40;8; ;1;1;2;7;8; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;62;62;0121;01;23;2866,54702711946
189611;2;3;70;2;40;1; ;1;1;2;12;1; ;2;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;45;5211;52;23;2866,54702711946
189717;2;2;70;8;36;3; ;1;1;2;8;3; ;1;2;8; ;4; ;2;11;ERA UN TRABAJO TEMPORAL; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;2;54;54;9500;95;23;1977,77633452095
189719;2;1;70;2;48;4; ;1;1;2;2;8; ;4;2;8; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;1800000;2;62;62;0121;01;23;2172,38235153136
189719;2;3;70;2;48;4; ;1;1;2;3;8; ;4;2;8; ;6; ;2;11;ERA UN TRABAJO TEMPORAL; ; ; ; ; ; ; ; ;1; ;1;150000;1;1800000;2;62;62;0121;01;23;2172,38235153136
189719;2;4;70;2;30;3; ;1;1;2;2;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;30000;1;150000;2;54;54;9500;95;23;2172,38235153136
189720;2;1;70;1;48;8; ;1;1;2;1;8; ;4;2;6; ;9;DINERO DE SU BOLSIL;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2430000;2;62;62;0121;01;23;1201,63557797764
189728;2;2;70;8;40;3; ;1;1;2;312;3; ;1;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;23;1345,57614520929
190462;2;3;70;156;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;17;3113,280642431
190464;2;2;70;52;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;17;3151,42139724159
190466;2;4;70;10;60;1; ;1;1;2;10;1; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;960000;2;62;79;1810;18;17;1986,26450427097
190485;2;1;70;4;40;1; ;1;1;2;8;1; ;9;1; ;.;9;POR MEDIO DEL MALLA;1; ;.; ; ; ; ; ; ; ; ;1; ;1;230000;1;6000000;2;59;59;8511;85;17;2953,2791907729
190690;2;4;70;6;48;2; ;1;1;2;14;4; ;9;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;2;59;59;8520;85;17;3832,51447410236
190705;2;3;70;12;48;1; ;1;1;2;12;3; ;1;2;2; ;1; ;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;1;240000;2;45;54;9500;95;17;2875,68076988647
190705;2;6;70;12;48;1; ;1;1;2;12;3; ;1;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;45;54;9500;95;17;2875,68076988647
190706;2;2;70;6;50;8; ;1;1;2;6;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;45;5011;50;17;3434,10635616845
190706;2;3;70;12;48;1; ;1;2;2;45;2; ;8;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;81;58;7512;75;17;3434,10635616845
190709;2;4;70;16;48;1; ;1;1;2;16;1; ;5;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;580000;2;45;45;3699;36;17;1985,60089580901
191817;2;3;70;24;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;47;906,161659571793
191818;2;3;70;4;48;1; ;2;1;2;4;1; ;6;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;1;300000;2; ;2;58;39;6310;63;47;1854,02773559914
191824;2;3;70;20;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;47;1340,70253236487
191825;2;3;70;8;48;1; ;2;2;2;9;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;99;2;32;45;5211;52;47;1302,41567626689
