Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
186340;2;2;90; ;2;2;1;2;2;2;1;2;2;2;2;2; ; ;14; ; ; ;2; ; ; ; ; ;2;63;1267,48434036981
186340;2;3;90; ;2;1;1;2;2;2;2;2;2;2;2;2; ;2;7; ; ; ; ; ; ; ; ; ;2;63;1267,48434036981
186341;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;2;63;1510,91950734336
186341;2;2;90; ;2;2;1;2;2;2;2;1;2;2;2;2; ; ;21; ; ; ; ;4; ; ; ; ;2;63;1510,91950734336
186341;2;3;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;63;1510,91950734336
186341;3;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;2;63;1510,91950734336
186341;3;2;90; ;2;2;1;1;2;2;2;2;2;2;2;2; ; ;6;6; ; ; ; ; ; ; ; ;2;63;1510,91950734336
186573;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;2;50;738,053427307308
186573;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ; ;2;50;738,053427307308
186573;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;50;738,053427307308
186573;2;4;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ; ; ;2;50;738,053427307308
186574;2;1;90; ;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ;12; ; ; ; ; ; ; ;2;50;937,728393887051
186574;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;56; ; ; ; ; ; ; ;2;50;937,728393887051
186575;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;399,42419609961
186575;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;48; ; ; ; ; ; ; ; ; ;2;50;399,42419609961
186575;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;50;399,42419609961
186576;2;1;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;1; ;3; ; ; ; ; ; ; ;2;50;885,826905242297
186576;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;35; ;35; ; ; ; ; ; ; ;2;50;885,826905242297
186577;2;1;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;4; ; ; ; ; ; ; ;2;50;966,191658174478
186577;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ; ;2;50;966,191658174478
186577;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ; ;2;50;966,191658174478
186577;2;4;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ; ;2;50;966,191658174478
186578;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
186578;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;56; ; ; ; ; ; ; ;2;50;368,585741437763
186580;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;1095,27229153194
186581;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;560,995767278231
186581;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;42; ; ; ; ; ; ; ; ; ;2;50;560,995767278231
186581;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;560,995767278231
186582;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;677,524169060198
186582;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;28; ;21; ; ; ; ; ; ; ;2;50;677,524169060198
186583;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186583;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186583;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
