Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
176764;2;3;70;12;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;13;13;481,080445529663
176775;2;2;70;1;44;1; ;1;1;2;28;1; ;5;2;2; ;2; ;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;1;200000;1;32;39;5511;55;23;23;112,388277947538
176776;2;5;70;6;40;3; ;1;1;2;22;3; ;2;2;7; ;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;54;54;9500;95;23;23;110,53498081736
176777;2;3;70;4;48;1; ;1;1;2;8;1; ;6;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4200000;1;45;45;5233;52;23;23;134,224311956818
176780;2;5;70;1;30;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;23;23;153,378829570059
176786;2;2;70;3;40;1; ;1;1;2;4;4; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;1;13;17;9214;92;23;23;136,066046973379
176819;2;3;70;208;48;1; ;2;1;2;50;1; ;5;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;02;02;7421;74;15;15;83,9470651453526
176819;2;4;70;12;48;2; ;2;1;2;13;1; ;6;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;27000000;1;12;39;6512;65;15;15;83,9470651453526
176821;2;1;70;4;60;1; ;2;1;2;5;1; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;9000000;1;77;77;1551;15;15;15;84,1058548109127
176822;2;2;70;98;40;1; ;1;1;2;98;1; ;9;1; ;.;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;33;5211;52;15;15;78,7556275730501
176823;2;1;70;16;48;2; ;2;2;2;16;2; ;9;1; ;.;1; ;1; ;.; ; ;1; ; ; ; ; ; ; ;2; ;1;98;1;13;13;8050;80;27;27;24,6121356620291
176825;2;2;70;24;48;1; ;1;1;2;20;1; ;4;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;95;95;4521;45;27;27;24,6121356620291
176829;2;2;70;12;56;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;27;27;43,0841142664447
176829;2;3;70;24;56;1; ;1;1;2;26;2; ;4;1; ;.;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;8012;80;27;27;43,0841142664447
176829;2;6;70;12;56;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;98; ; ; ;27;27;43,0841142664447
176832;2;4;70;12;40;1; ;1;1;2;4;2; ;4;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;1;19;19;7512;75;27;27;24,6121356620291
176851;2;2;70;12;40;1; ;1;1;2;312;2; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;32;7512;75;52;52;123,318037036812
176856;2;1;70;8;48;1; ;1;1;2;8;1; ;4;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4488000;1;45;45;5051;50;52;52;118,755777592525
176859;2;1;70;52;84;4; ;2;2;2;156;1; ;8;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ;1; ;SIN INFORMACION;2; ;2; ;1;58;97;5241;52;63;63;212,85544690515
176860;2;4;70;10;20;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;33; ; ; ;63;63;102,970581328281
176866;2;2;70;24;40;3; ;1;1;2;24;3; ;1;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ;1; ;SIN INFORMACION;2; ;1;960000;1;54;54;9500;95;63;63;123,990008369264
176870;2;1;70;4;48;4; ;1;1;2;4;4; ;1;2;8; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;704000;1;59;86;9213;92;63;63;129,521305467389
176871;2;3;70;52;48;1; ;1;1;2;52;4; ;1;2;2; ;1; ;2;11;NO SABIA COMO AFILIARSE; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;97;6310;63;63;63;189,692992939408
176881;2;1;70;2;50;4; ;1;1;2;2;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;51000;1;80000;1;56;56;9500;95;68;68;382,345955621433
176881;2;2;70;24;48;1; ;1;1;2;24;1; ;2;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;1;45;45;5233;52;68;68;382,345955621433
176881;2;4;70;1;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;44; ; ; ;68;68;382,345955621433
176883;2;3;70;8;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;03; ; ; ;68;68;470,071360293011
176895;2;2;70;16;55;1; ;1;1;2;16;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3264000;1;45;45;5225;52;05;05;811,302384152841
176896;2;2;70;4;48;1; ;1;1;2;4;1; ;9;1; ;.;9;MEDICO DE LA UNIVERSIDAD;1; ;.; ; ; ; ; ; ; ; ;1; ;1;650000;1;7150000;1;37;37;9241;92;05;05;874,286614445681
176896;2;3;70;4;17;2; ;1;1;2;208;1; ;7;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;18;72;2731;27;05;05;874,286614445681
176897;2;3;70;36;48;1; ;1;1;2;36;1; ;7;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;5225;52;05;05;666,86172617981
176904;2;1;70;4;48;1; ;1;1;2;240;1; ;6;1; ;.;9;ES PENSIONADO POR LO CUAL TIENE SALUD.;1; ;.; ; ; ; ; ; ; ;1; ;SIN INFORMACION;2; ;2; ;1;58;58;5233;52;05;05;742,36520231135
176904;2;2;70;2;48;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;05;742,36520231135
176913;2;5;70;28;48;1; ;1;1;2;20;1; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;57;57;9302;93;05;05;666,272976424661
176916;2;2;70;4;48;1; ;2;2;2;6;1; ;9;1; ;.;2; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;7280000;1;13;13;8041;80;05;05;674,53471298093
176921;2;3;70;12;24;4; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;05;05;799,773363339676
176929;2;1;70;2;48;1; ;1;1;2;2;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;180000;1;1000000;1;95;95;4521;45;05;05;826,168118444849
