DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;MES;DPTO;fex_c_2011
5005685;1;2;1;1;1;1;1;1;1;1; ; ;35000000;200000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;2;1;2;1;1;2;1;1;3;1;1;01;05;09;05;1204,439825766
5005686;1;3;2;1;1;1;1;1;3;4; ; ; ;350000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;05;09;05;1420,57907615698
5005687;1;5;2;1;1;1;1;1;3;1; ; ;130000000;500000; ;1;1;2;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1203,49499051625
5005688;1;3;2;1;1;1;1;1;1;1; ; ;60000000;500000; ;1;2;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;7;2; ;1;2;1;4;1;2;2;1;1;3;1;1;01;05;09;05;663,726282786611
5005689;1;1;1;1;2;1;1;2;3;3; ; ; ; ;350000;2;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;09;05;998,847918642267
5005690;1;1;1;1;1;1;1;2;3;3; ; ; ; ;200000;2;1;1;2;2;2;1;2;2;1;1;2;2;1;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;05;09;05;1136,22817328624
5005691;1;5;2;1;1;1;1;1;3;3; ; ; ; ;1300000;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;1179,65247019145
5005692;1;3;1;1;1;1;1;1;3;1; ; ;200000000;1200000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;1154,48721155521
5005693;1;5;4;1;1;1;1;1;3;4; ; ; ;1200000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;4;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;09;05;1011,01691360038
5005694;1;4;1;1;1;1;1;1;3;1; ; ;150000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;09;05;1154,48721155521
