DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
5005685;1;1;1;10;1;1;3;1956;63;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;05;3;09;05;1204,439825766
5005686;1;1;1;10;1;1;3;1976;43;1;2;2; ;2; ;1;2;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;09;05;1420,57907615698
5005686;1;2;1;10;2;2;11;1967;51;2;2;3; ;3; ;1;1;1; ; ;3; ; ;1;1;2; ;3;5; ; ;05;5;09;05;1420,57907615698
5005686;1;3;1;10;3;2;8;2009;10;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;05;3;09;05;1420,57907615698
5005687;1;1;1;10;1;2;8;1945;74;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;05;1;09;05;1203,49499051625
5005687;1;2;1;10;2;1;2;1985;34;3;4;2; ;1;1; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;09;05;1203,49499051625
5005688;1;1;1;10;1;1;1;1974;45;1;2;3; ;2; ;1;2;1; ; ;1;2;99150;2;1;2; ;5;11;2; ;05;11;09;05;663,726282786611
5005688;1;2;1;10;2;2;12;1969;49;2;2;3; ;1;7;1;1;1; ; ;1;5; ;2;1;1;1;4;9; ; ;05;9;09;05;663,726282786611
5005688;1;3;1;10;3;2;7;1997;22;3;6;1;1;1;2; ; ;1; ; ;1;4; ;2;1;1;1;6;1;2;2;05;12;09;05;663,726282786611
5005688;1;4;1;10;2;1;8;2014;5;4; ;2; ;1;3; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;09;05;663,726282786611
5005688;1;5;1;10;5;2;5;2000;19;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;09;05;663,726282786611
5005688;1;6;1;10;6;2;6;2002;17;3;6;1;1;1;2; ; ;1; ; ;1;5; ;2;1;1;1;4;8; ; ;05;8;09;05;663,726282786611
5005688;1;7;1;10;7;2;4;1946;73;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;09;05;663,726282786611
5005689;1;1;1;10;1;2;2;1967;52;1;4;3; ;2; ; ; ;1; ; ;1;3;103150;2;1;2; ;5;11;2; ;05;11;09;05;998,847918642267
5005689;1;2;1;10;1;1;4;1995;24;3;6;2; ;1;1; ; ;2;1;10; ; ; ;2;1;2; ;6;3;3; ;05;14;09;05;998,847918642267
5005690;1;1;1;10;1;1;10;1990;28;1;2;2; ;2; ;1;2;1; ; ;1;1;112000;2;1;2; ;6;5;4; ;05;16;09;05;1136,22817328624
