DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5272752;1;1;1;50;68;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;68;497,909418203058
5272752;1;2;1;50;68; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;497,909418203058
5272752;1;3;1;50;68; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;497,909418203058
5272752;1;4;1;50;68; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;497,909418203058
5272753;1;1;1;50;68; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;600,637875581613
5272753;1;2;1;50;68; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;11;1;68;600,637875581613
5272753;1;3;1;50;68; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;600,637875581613
5272754;1;1;1;50;68; ; ;1;6;DESCANSAR EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;445,928874260696
5272754;1;2;1;50;68; ; ;2;6;DESCANSANDO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;445,928874260696
5272755;1;1;1;50;68;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;68;481,251402690408
5272755;1;2;1;50;68; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;11;1;68;481,251402690408
5272755;1;3;1;50;68;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;68;481,251402690408
5272755;1;4;1;50;68; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;481,251402690408
5272755;1;5;1;50;68; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;481,251402690408
5272756;1;1;1;50;68; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;428,509130823892
5272756;1;2;1;50;68; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;428,509130823892
5272757;1;1;1;50;68; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;445,928874260696
5272757;1;2;1;50;68; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;445,928874260696
5272758;1;1;1;50;68; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;493,542452761554
5272758;1;2;1;50;68; ; ;2;6;DESCANSANDO POR ACCIDENTE QUEDO CUADRIPLEJICO;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;493,542452761554
5272758;1;3;1;50;68; ; ;3;6;DESCANSANDO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;11;1;68;493,542452761554
5272758;1;4;1;50;68; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;493,542452761554
5272763;1;1;1;50;68; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;515,800765672643
5272763;1;2;1;50;68; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;68;515,800765672643
