DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5272793;1;1;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;1;11;05;1269,62298874405
5272795;1;5;3;1;1;1;1;1;3;1; ; ;98;1000000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;1;4;4;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;1;11;05;1152,47386869636
5272796;1;2;1;1;1;1;1;1;3;4; ; ; ;300000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;54;1;11;54;332,731178811276
5272797;1;2;1;1;2;1;1;6; ;3; ; ; ; ;250000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;2; ;1;1;1;4;1;2;2;1;1;3;1;2;01;54;1;11;54;367,236166726267
5272800;1;4;1;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;19;1;11;19;132,604679485457
5272801;1;4;2;1;1;1;1;1;3;1; ; ;99;2000000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;1;2;1;2;3;2; ;1;2;1;4;1;5;1;1;1;3;1;1;01;19;1;11;19;107,273867209351
5272802;1;2;1;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;19;1;11;19;302,622458507027
5272803;1;5;3;1;1;1;1;1;3;3; ; ; ; ;550000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;6;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;19;1;11;19;237,543955189652
5272804;1;3;2;1;1;1;1;1;3;1; ; ;100000000;400000; ;2;1;1;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;19;1;11;19;206,26344928698
5272805;1;4;2;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;1;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;19;1;11;19;269,893494523635
5272806;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;19;1;11;19;139,193733850107
5272807;1;3;2;1;1;1;1;1;3;1; ; ;98;1200000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;05;1;11;05;1000,29468156678
5272809;1;5;1;1;1;1;1;1;3;2; ;600000;200000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;1;11;05;1060,25930507355
5272814;1;4;1;1;1;1;1;1;3;2; ;2600000;180000000;1000000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;2;2;1;2;2;2;1;1;1;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;227,56541661372
5272815;1;4;3;1;1;1;1;1;3;3; ; ; ; ;950000;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;152,110727081564
5272816;1;4;2;1;1;1;1;1;3;4; ; ; ;1100000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;135,830005838717
5272817;1;6;3;1;1;1;1;1;4;3; ; ; ; ;650000;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;2;2;2;2;1;4;4;2; ;1;2;1;3;1;4;2;1;1;2;1;1;01;17;1;11;17;144,352758615118
5272818;1;1;1;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;1;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;17;1;11;17;175,407031695481
5272819;1;4;3;1;1;1;1;1;4;3; ; ; ; ;2050000;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;2;1;2;1;4;4;2; ;1;1;1;4;1;4;2;1;1;2;1;1;01;05;1;11;05;1175,32532638016
5272821;1;4;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;1;1;1;2;1;4;4;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;251,089408618592
5272822;1;4;3;1;1;1;1;1;3;1; ; ;210000000;1000000; ;1;1;1;1;2;1;1;2;2;1;2;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;190,917616150635
5272823;1;2;1;1;1;1;1;1;4;3; ; ; ; ;350000;2;1;1;2;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;17;1;11;17;170,720862596683
5272824;1;4;2;1;1;1;1;1;3;4; ; ; ;1000000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;1;2;2;2;1;1;2;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;145,774814603465
5272825;1;3;2;1;1;1;1;1;4;3; ; ; ; ;500000;2;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;17;1;11;17;124,195729377917
5272826;1;1;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;05;1;11;05;1102,03833005632
5272837;1;4;1;1;1;1;1;1;1;1; ; ;250000000;1200000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;2;1;1;3;1;1;01;76;1;11;76;1181,85674485282
5272838;1;4;3;1;1;1;1;1;3;3; ; ; ; ;800000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;1;1;1;2;1;3;4;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;76;1;11;76;1304,12078111626
5272839;1;1;1;1;1;1;1;6; ;3; ; ; ; ;210000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;3;1;4;1;4;2;1;1;3;1;1;01;76;1;11;76;1102,85086343979
5272841;1;5;3;1;1;1;1;1;3;4; ; ; ;1300000; ;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;1;2;1;2;4;2; ;1;2;1;4;1;5;1;1;1;2;1;1;01;17;1;11;17;274,250257411759
