DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5273787;1;1;1;10;1;1;6;1983;37;1;6; ;2;2; ;2; ;1;2; ;1;1; ; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;11;44;1709,50762557399
5273787;1;2;1;10;2;2;11;1995;24;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;11;44;1709,50762557399
5273787;1;3;1;10;2;2;5;2014;6;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;11;44;1709,50762557399
5273787;1;4;1;10;2;1;7;2016;4;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;11;44;1709,50762557399
5273788;1;1;1;10;1;1;8;1989;31;1;5; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;11;44;1911,15537933696
5273788;1;2;1;10;2;2;8;1995;25;2;1;720_02;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;11;44;1911,15537933696
5273788;1;3;1;10;1;2;11;2012;7;3;1;720_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;11;44;1911,15537933696
5273788;1;4;1;10;2;2;10;2018;2;3;1;720_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;11;44;1911,15537933696
5273788;1;5;1;10;2;2;10;2019;1;3;1;720_02; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;11;44;1911,15537933696
5273789;1;1;1;10;1;1;1;1963;57;1;6; ;2;2; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;11;44;1476,12788420735
5273789;1;2;1;10;2;2;10;1977;43;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;96; ; ; ;2;1;2; ;6;2;2;2;2;13;11;44;1476,12788420735
5273789;1;3;1;10;3;2;12;2003;16;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;11;44;1476,12788420735
5273789;1;4;1;10;2;2;5;2008;12;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;11;44;1476,12788420735
5273789;1;5;1;10;2;1;6;2010;10;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;11;44;1476,12788420735
5273789;1;6;1;10;2;2;7;2013;7;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;11;44;1476,12788420735
5273790;1;1;1;10;1;1;7;1997;23;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;1;1;35000;2;1;2; ;5;11;2; ;2;11;11;44;1759,31624630337
5273790;1;2;1;10;2;2;11;2000;19;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;6;1;2;2;2;12;11;44;1759,31624630337
5273790;1;3;1;10;2;2;11;2018;1;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;11;44;1759,31624630337
5273791;1;1;1;10;1;1;6;1955;65;1;6; ;4;3; ;2; ; ; ; ;1; ;1; ; ;1; ;1; ; ; ;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;11;44;1743,02270688053
5273815;1;1;1;10;1;1;7;1971;49;1;6; ;2;3; ;3; ;1;2; ; ;1;1; ; ; ; ;1; ; ; ;1;2;1;8; ; ; ;1;1;2; ;5;11;2; ;2;11;11;44;1391,01196828295
5273815;1;2;1;10;2;2;10;1973;47;2;6; ;2;3; ;3; ;1;1; ;1; ; ; ; ; ; ;1; ; ; ; ;2;1;84; ; ; ;1;1;2; ;3;5; ; ;2;5;11;44;1391,01196828295
5273816;1;1;1;10;1;1;4;1960;60;1;5; ;3;3; ;2; ;1;2; ;1;1;1; ; ;1;1;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;6;2;2;2;2;13;11;44;1558,03833554471
5273816;1;2;1;10;2;2;10;1966;54;2;6; ;3;2; ;3; ;1;1; ; ; ;1; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;11;44;1558,03833554471
5273816;1;3;1;10;1;1;4;1989;31;3;6; ;6;1;1;1;2; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;6;3;3; ;2;14;11;44;1558,03833554471
5273817;1;1;1;10;1;2;2;1972;48;1;6; ;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;2;1;18; ; ; ;1;1;2; ;3;5; ; ;2;5;11;44;1534,70110559085
5273817;1;2;1;10;2;1;12;2007;12;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;2;1;18; ; ; ;1;1;1;1;4;7; ; ;2;7;11;44;1534,70110559085
5273818;1;1;1;10;1;1;11;1960;59;1;6; ;4;3; ;2; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1;1; ; ;3; ; ;1;2;2; ;1;0; ; ;2;0;11;44;1952,45183937876
5273818;1;2;1;10;2;1;9;2005;15;3;6; ;6;1;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;11;44;1952,45183937876
5273819;1;1;1;10;1;1;10;1965;55;1;6; ;4;3; ;3; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;11;44;1743,02270688053
5277092;1;1;1;10;1;1;5;1947;73;1;6; ;3;3; ;3; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;11;18;251,82730408846
5277092;1;2;1;10;2;2;11;1956;63;2;6; ;3;3; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;11;18;251,82730408846
5277092;1;3;1;10;3;1;5;1987;33;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;11;18;251,82730408846
5277092;1;4;1;10;4;2;8;1982;38;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;11;18;251,82730408846
5277092;1;5;1;10;4;1;1;2019;1;4;6; ; ;2; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;11;18;251,82730408846
5277093;1;1;1;10;1;2;9;1955;65;1;6; ;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;11;18;376,545711789525
