DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;MES;DPTO;fex_c_2011
2136481;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;865,903313912866
2136482;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;05;02;05;869,232832899959
2136482;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;8; ; ; ; ; ; ; ;2;05;02;05;869,232832899959
2136483;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;6; ; ; ; ;4; ; ; ;05;02;05;869,157619384193
2136483;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;869,157619384193
2136485;1;1;1;90; ;2;1;2;2;2;2;2;2;1;2; ;6; ; ; ; ; ; ;6; ;05;02;05;857,312289904366
2136485;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;05;02;05;857,312289904366
2136486;1;1;1;90; ;2;1;2;2;2;2;2;2;1;2; ;6; ; ; ; ; ; ;8; ;05;02;05;626,434855763258
2136486;1;2;1;90; ;2;1;2;2;2;2;2;2;1;2; ;18; ; ; ; ; ; ;8; ;05;02;05;626,434855763258
2136486;1;3;1;90; ;2;1;2;2;2;2;2;2;1;2; ;6; ; ; ; ; ; ;5; ;05;02;05;626,434855763258
2136486;1;4;1;90; ;2;1;2;2;2;2;2;2;2;1; ;4; ; ; ; ; ; ; ;3;05;02;05;626,434855763258
2136487;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;747,833844331608
2136487;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;49; ; ; ; ; ; ; ; ;05;02;05;747,833844331608
2136487;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;02;05;747,833844331608
2136488;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;05;02;05;1035,80909657899
2136488;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;1035,80909657899
2136488;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1035,80909657899
2136489;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;869,232832899959
2136489;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;05;02;05;869,232832899959
2136490;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;02;05;916,237263151099
2136492;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;02;05;865,903313912866
2136493;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;8; ;20; ; ; ; ; ; ;05;02;05;1096,20663616428
2136493;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;02;05;1096,20663616428
2136493;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1096,20663616428
2136494;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;02;05;851,453273348769
2136494;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;851,453273348769
2136495;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1145,54280007713
2136495;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;1145,54280007713
2136496;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;1032,47957759189
2136496;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1032,47957759189
2136497;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;920,019803970369
2136498;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;3; ;10; ; ; ; ; ; ;05;02;05;1040,19508626197
2136498;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;30; ; ; ; ; ; ;05;02;05;1040,19508626197
2136499;1;1;1;90; ;2;1;2;2;2;1;2;2;2;2; ;21; ; ; ;5; ; ; ; ;05;02;05;806,978340666134
2136499;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;05;02;05;806,978340666134
2136500;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;10; ; ; ; ;3; ; ; ;05;02;05;916,237263151099
2136501;1;1;1;90; ;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;10; ; ; ;05;02;05;665,028306415516
2136501;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;665,028306415516
2136501;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;665,028306415516
2136501;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;05;02;05;665,028306415516
2136502;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;05;02;05;982,220841869426
2136502;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;982,220841869426
2136504;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;05;02;05;1029,22527212057
2136505;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;02;05;1042,09014610677
2136505;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;40; ; ; ; ; ; ;05;02;05;1042,09014610677
2136505;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;1042,09014610677
2136506;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;820,221203098737
2136506;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;820,221203098737
2136506;1;3;1;90; ;2;1;2;2;1;2;2;2;2;2; ;25; ; ;10; ; ; ; ; ;05;02;05;820,221203098737
2136506;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;820,221203098737
2136506;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;820,221203098737
2136506;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;820,221203098737
2136508;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;3; ; ; ;05;02;05;852,15561577681
2136508;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;05;02;05;852,15561577681
2136508;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;02;05;852,15561577681
2136508;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;05;02;05;852,15561577681
2136509;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;21; ;20; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;2;1;2;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;2;2;2;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136509;2;3;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;928,655986804358
2136510;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;869,232832899959
2136510;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;05;02;05;869,232832899959
2136511;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;05;02;05;916,237263151099
2136513;1;1;1;90; ;2;1;2;2;2;1;2;2;2;2; ;28; ; ; ;10; ; ; ; ;05;02;05;977,412358680197
2136513;1;2;1;90; ;2;1;2;2;2;2;2;2;2;1; ;10; ; ; ; ; ; ; ;20;05;02;05;977,412358680197
2136513;1;3;1;90; ;2;1;2;2;2;2;1;2;2;2; ;2; ; ; ; ;15; ; ; ;05;02;05;977,412358680197
2136514;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;967,990324393122
2136514;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;967,990324393122
2136514;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;05;02;05;967,990324393122
2136515;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;18; ; ; ; ; ; ;05;02;05;855,839263031749
2136516;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;684,62862324359
2136516;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;11; ;36; ; ; ; ; ; ;05;02;05;684,62862324359
2136516;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;684,62862324359
2136516;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;684,62862324359
2136517;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1089,09457635791
2136517;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;19; ;10; ; ; ; ; ; ;05;02;05;1089,09457635791
2136518;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;05;02;05;907,826283552216
2136518;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;05;02;05;907,826283552216
2136519;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;1032,47957759189
2136519;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;1032,47957759189
2136520;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;02;05;992,662420662881
2136520;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;05;02;05;992,662420662881
2136520;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;02;05;992,662420662881
2136520;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;02;05;992,662420662881
2136521;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;02;05;1029,22527212057
2136523;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;02;05;806,978340666134
2136523;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;806,978340666134
2136524;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;05;02;05;621,572918239261
2136524;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;621,572918239261
2136524;1;3;1;90; ;2;1;2;1;2;2;2;2;2;2; ;9; ;12; ; ; ; ; ; ;05;02;05;621,572918239261
2136524;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;02;05;621,572918239261
2136524;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;05;02;05;621,572918239261
