DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4928947;1;1;1;10;1;2;12;1960;58;1;5;2; ;2; ; ; ;1; ; ;1;3;103000;2;1;2; ;5;11;2; ;05;11;06;05;2276,73083869042
4928947;1;2;1;10;2;1;10;1997;21;3;6;3; ;1;1; ; ;1; ; ;1;5; ;2;1;1;1;6;1;2;2;05;12;06;05;2276,73083869042
4928948;1;1;1;10;1;1;8;1954;64;1;5;3; ;3; ; ; ;1; ; ;1;5; ;2;1;2; ;4;9; ; ;05;9;06;05;1243,43796120747
4928948;1;2;1;10;2;1;11;1982;36;3;6;1;1;3; ; ; ;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;06;05;1243,43796120747
4928949;1;1;1;10;1;1;4;1954;65;1;2;3; ;3; ;1;2;1; ; ;2;2;250000;2;1;2; ;6;5;4; ;05;16;06;05;1145,12187653438
4928949;1;2;1;10;2;2;8;1971;47;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1145,12187653438
4928949;1;3;1;10;3;1;3;1998;21;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;10;1; ;05;10;06;05;1145,12187653438
4928949;1;4;1;10;4;2;8;2002;16;3;6;3; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;05;9;06;05;1145,12187653438
4928949;1;5;1;10;2;2;8;2011;7;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;05;1;06;05;1145,12187653438
4928950;1;1;1;10;1;2;12;1956;62;1;4;2; ;2; ; ; ;1; ; ;1;1;33125;2;1;2; ;5;11;2; ;05;11;06;05;1167,71645750591
4928950;1;2;1;10;2;2;6;1987;32;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1167,71645750591
4928950;1;3;1;10;2;1;7;2008;10;4;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;05;4;06;05;1167,71645750591
4928951;1;1;1;10;1;1;4;1950;69;1;3;2; ;2; ;1;2;1; ; ;1;2;216000;2;1;2; ;3;5; ; ;05;5;06;05;1353,03030581248
4928951;1;2;1;10;2;2;5;1956;63;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;4;9; ; ;05;9;06;05;1353,03030581248
4928951;1;3;1;10;3;2;1;1986;33;3;6;1;1;1;2; ; ;1; ; ;1;1;52000;2;1;1;2;6;4;2;2;05;15;06;05;1353,03030581248
4928951;1;4;1;10;2;1;8;2016;2;4; ;2; ;1;3; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;05; ;06;05;1353,03030581248
4928951;1;5;1;10;5;2;1;1978;41;3;3;1;1;1;2;1;6;1; ; ;2;5; ;2;1;1;2;6;7;3; ;05;18;06;05;1353,03030581248
4928951;1;6;1;10;6;1;1;1982;37;5;3;3; ;2; ;1;5;1; ; ;2;2;156000;2;1;2; ;6;3;3; ;05;14;06;05;1353,03030581248
4928951;1;7;1;10;7;1;8;2007;11;4;6;2; ;1;5; ; ;1; ; ;1;5; ;2;1;1;2;4;0; ; ;05;5;06;05;1353,03030581248
4928952;1;1;1;10;2;2;10;1937;81;1;5;3; ;3; ; ; ;1; ; ;1;5; ;2;1;2; ;3;3; ; ;05;3;06;05;955,115757756642
4928952;1;2;1;10;2;2;1;1958;61;3;6;3; ;1;1; ; ;1; ; ;1;2;99700;2;1;2; ;5;11;2; ;05;11;06;05;955,115757756642
4928952;1;3;1;10;3;1;3;1963;56;3;6;3; ;1;1; ; ;1; ; ;1;3;102000;2;1;2; ;4;6; ; ;05;6;06;05;955,115757756642
4928952;1;4;1;10;4;2;1;1971;48;3;6;3; ;1;1; ; ;1; ; ;1;3;102000;2;1;2; ;5;11;2; ;05;11;06;05;955,115757756642
4928952;1;5;1;10;5;2;12;2001;17;4;6;2; ;1;4; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;955,115757756642
4928954;1;1;1;10;1;1;1;1956;63;1;3;3; ;3; ;1;2;1; ; ;1;2;93400;2;1;2; ;3;5; ; ;05;5;06;05;1198,88416090317
4928954;1;2;1;10;2;2;10;1959;59;2;3;3; ;3; ;1;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;06;05;1198,88416090317
4928954;1;3;1;10;3;2;12;1980;38;3;6;1;1;1;2; ; ;1; ; ;1;1;33125;2;1;2; ;6;2;3; ;05;13;06;05;1198,88416090317
