DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;P6430;RAMA4D_R4;INGLABO;MES;DPTO;fex_c_2011;RAMA4DP8_R4
6037206;1;1;1;60;05;5;1;2;2;3;1;;1;1;2;1;3;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;3;48;;.;48;;;;4;7;;1;;1;2;1;25;1;;;;;;;;;1;1;1;18;60;1;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;8;;1;;97;25;1;1;2512;908526;12;05;1296.0920571;
6037207;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;24;;2;;2;1000000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;36900;2;2;;;2;;;2;;;1;960000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;4;;1;;1;2;1;18;1;;;;;;;;;1;1;1;0;72;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;8;;1;;98;49;1;1;4923;1000000;12;05;1451.2911784;
6037209;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;10;;2;;1;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;1;500000;2;1;500000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;10;54;;.;54;;;;9;1;;1;;1;1;1;20;1;;;;;;;;;1;1;1;11;48;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;2;14;;8;;1;;39;53;1;1;5320;908526;12;05;1193.1034902;
6037209;1;2;1;60;05;5;1;2;1;;1;;1;1;2;1;3;;2;;1;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;1;1;;;;;;;;;1;1;1;0;3;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;60;8;;1;;38;82;1;1;8220;908526;12;05;1193.1034902;
6037210;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;72;;1;;2;1100000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;39400;2;2;;;2;;;2;;;1;980000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;31;1;;;;;;;;;1;1;1;2;120;1;;5;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;1;2;;2;1;1;1;1;2;1;1;1;60;1;;1;1;79;31;1;1;3120;1100000;12;05;1155.4021972;
6037210;1;2;1;60;05;5;2;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;50000;1;;3;;4;2;12;20;2;;20;;;;1;2;;3;;2;;;;;;;;;;;;1;2;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;57;96;1;4;9602;50000;12;05;1155.4021972;
6037211;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;1;;1;;2;1200000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;1;50;;.;50;;;;3;7;;3;;2;;;;;;;;;;;;1;2;2;1;72;36;2;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;45;5;;1;;45;56;1;1;5619;1200000;12;05;1094.94295;
6037212;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;82;;1;;2;908526;1;98;2;2;;2;;2;;2;;2;;;1;106454;2;1;39400;2;2;;;2;;;2;;;1;910000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;20;1;;;;;;;;;1;1;1;12;40;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;3;;1;;97;77;1;1;7730;908526;12;05;1078.5893;
6037212;1;3;1;60;05;5;1;2;1;;1;;1;1;1;1;82;;5;;1;2100000;2;;;2;;2;;2;;2;;1;72000;2;2;;;2;;;2;;;1;220000;2;2;;;1;2100000;1;2100000;1;1800000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;9;7;;1;;1;3;1;9;1;;;;;;;;;1;1;1;4;12;1;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;20;8;;1;;58;84;1;2;8423;2100000;12;05;1078.5893;
6037212;1;4;1;60;05;5;1;2;1;;1;;1;1;2;1;2;;2;;1;908526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;98;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;6;48;;.;48;;;;4;7;;1;;1;2;1;4;1;;;;;;;;;1;1;1;6;12;1;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;2;1;2;1;2;2;1;1;4;60;3;;1;1;03;74;1;1;7490;908526;12;05;1078.5893;
6037213;1;2;1;60;05;5;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;1200000;1;;3;;6;2;12;50;;.;50;;;;1;1;;1;;1;1;2;2;1;;;;;;;;;2;2;1;3;6;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;8;;1;;41;47;1;4;4771;1200000;12;05;1211.9829563;
6037214;1;1;1;60;05;5;1;2;2;12;1;;1;1;2;1;84;;1;;2;1100000;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;1100000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;7;1;;;;;;;;;1;1;1;0;6;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;30;5;;1;;96;36;1;1;3600;1100000;12;05;1253.5627375;
6037214;1;2;1;60;05;5;1;2;2;6;1;;2;1;2;1;24;;5;;2;1400000;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;700000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;54;;.;54;;;;8;7;;1;;1;1;1;15;1;;;;;;;;;1;1;1;60;6;1;;1;2;;;;;;;;2;;;;1;1;1;1;1;1;2;2;2;1;POR EL AMBIENTE LABORAL;1;1;1;2;1;2;2;1;2;60;3;;1;1;21;94;1;1;9499;1400000;12;05;1253.5627375;
6037215;1;1;1;60;05;5;1;1;;;1;;1;2;2;2;3;;1;;2;600000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;3;30;1;;30;;;;3;2;;3;;2;;;;;;;;;;;;1;2;2;1;56;12;1;;9;2;;;;;;;;2;;;;1;2;1;2;1;2;2;2;2;2;;1;2;1;2;1;2;2;1;3;15;3;;1;1;79;14;1;1;1410;600000;12;05;1628.732793;
6037216;1;1;1;60;05;5;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;400000;1;;3;;3;2;12;40;;.;40;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;10;3;;1;;41;47;1;4;4723;400000;12;05;1372.9049543;
6037217;1;1;1;60;05;5;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;300000;1;;1;;1;1;12;40;;.;40;;;;1;5;;2;;2;;;;;;;;;;;;1;2;2;1;24;48;1;;9;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;1;DESEA UN TRABAJO CON PRESTACIONES;1;1;1;2;2;2;2;1;2;30;8;;1;1;37;53;1;4;5320;300000;12;05;1365.4612961;
6037219;1;2;1;60;05;5;1;2;2;12;1;;1;1;2;1;192;;2;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;900000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;2;1;16;1;;;;;;;;;1;1;1;6;12;1;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;2;90;3;;1;;55;22;1;1;2229;908526;12;05;1261.0063958;
6037220;1;1;1;60;05;5;1;1;;;1;;2;2;2;2;3;;1;;2;1260000;2;;;1;150000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;56;;.;48;6;;2;4;7;;5;;2;;;;;;;;;;;;1;2;2;1;0;42;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;90;3;;1;;53;56;1;1;5619;1410000;12;05;1642.4708113;
6037222;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;1;;2;;2;908000;2;;;2;;2;;2;;2;;2;;;1;106000;1;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;2;;1;1;2;11;1;;;;;;;;;1;2;1;0;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;20;1;;1;;45;47;1;1;4773;908000;12;05;1136.5227312;
6037222;1;2;1;60;05;5;1;2;2;12;1;;1;1;2;1;1;;3;;2;908000;2;;;2;;2;;2;;2;;2;;;1;106000;1;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;2;;2;;;;;;;;;;;;1;1;2;1;0;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;20;8;;1;;45;47;1;1;4773;908000;12;05;1136.5227312;
