DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6037206;1;2;1;70;05;60;48;908526;1;;2;70;1;;5;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5613;12;05;1296.0920571
6037207;1;2;1;70;05;105;48;908526;1;;2;189;1;;9;2;2;;2;;;;;;;;;;;1;2;;22;45;97;1;2;2229;12;05;1451.2911784
6037207;1;5;1;70;05;8;48;908526;1;;2;8;1;;2;2;8;;2;;;;;;;;;;;1;2;;49;97;98;1;1;4921;12;05;1451.2911784
6037218;1;2;1;70;05;4;48;908526;1;;2;8;1;;2;2;1;;2;;;;;;;;;;;1;2;;95;97;95;1;1;9524;12;05;1296.0920571
6037220;1;2;1;70;05;4;48;908526;1;;2;3;1;;2;2;4;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4781;12;05;1642.4708113
6037226;1;3;1;70;05;72;48;908526;1;;2;4;1;;9;2;2;;2;;;;;;;;;;;1;1;908526;27;21;04;1;2;2750;12;05;932.55461846
6037227;1;1;1;70;05;44;48;908526;1;;2;48;1;;9;2;2;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8511;12;05;1530.2828685
6037229;1;1;1;70;05;12;48;1000000;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;84;59;59;1;1;8413;12;05;1460.9136295
6037229;1;2;1;70;05;52;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;12;05;1460.9136295
6037231;1;3;1;70;05;54;24;440000;1;;2;60;1;;3;2;1;;2;;;;;;;;;;;1;2;;10;53;53;1;2;1081;12;05;1585.600668
6037238;1;2;1;70;05;52;48;908526;1;;2;5;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;97;86;1;2;5630;12;05;1151.523709
6037239;1;2;1;70;05;12;48;1014000;1;;2;24;1;;6;2;1;;2;;;;;;;;;;;1;2;;43;85;85;1;1;4321;12;05;1113.822416
6037241;1;3;1;70;05;156;48;908526;1;;2;156;4;;1;2;1;;2;;;;;;;;;;;1;2;;49;84;98;1;2;4921;12;05;1063.332643
