DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;CLASE;MES;DPTO;fex_c_2011
6036443;1;1;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2532.3317133
6036443;1;2;1;90;2;;1;10;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2532.3317133
6036443;1;3;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2532.3317133
6036444;1;1;1;90;2;;1;35;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2048.7378633
6036444;1;2;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2048.7378633
6036446;1;1;1;90;2;;1;15;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2716.3028748
6036449;1;1;1;90;2;;1;15;2;;1;25;2;;2;;2;;2;;2;;2;;;1;12;76;3729.3533686
6036449;1;2;1;90;2;;1;40;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;3729.3533686
6036457;1;1;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3273.9908959
6036457;1;2;1;90;2;;1;10;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3273.9908959
6036457;1;3;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3273.9908959
6036457;1;4;1;90;2;;1;12;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3273.9908959
6036459;1;1;1;90;2;;1;5;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;2428.8518949
6036459;1;2;1;90;2;;1;40;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;2428.8518949
6036459;1;3;1;90;2;;1;5;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2428.8518949
6036460;1;1;1;90;2;;1;28;2;;1;42;2;;2;;2;;2;;2;;2;;;1;12;76;4197.7381329
6036460;1;2;1;90;2;;1;7;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;4197.7381329
6036461;1;1;1;90;2;;1;40;2;;1;40;2;;2;;2;;2;;2;;2;;;1;12;76;5329.2970424
6036461;1;2;1;90;2;;1;5;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;5329.2970424
6036462;1;1;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2716.3028748
6036463;1;1;1;90;2;;1;28;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3199.8967248
6036463;1;2;1;90;2;;1;7;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3199.8967248
6036465;1;1;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3199.8967248
6036465;1;2;1;90;2;;1;35;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3199.8967248
6036466;1;1;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;1829.1767054
6036466;1;2;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;1829.1767054
6036466;1;3;1;90;2;;1;6;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;1829.1767054
6036469;1;1;1;90;2;;1;10;2;;1;15;2;;2;;2;;2;;2;;2;;;1;12;76;5140.7432059
6036469;1;2;1;90;2;;1;20;2;;1;25;2;;2;;2;;2;;2;;2;;;1;12;76;5140.7432059
6036469;1;3;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;5140.7432059
6036469;1;6;1;90;2;;1;15;2;;1;15;2;;2;;2;;2;;2;;2;;;1;12;76;5140.7432059
6036469;1;7;1;90;2;;1;30;2;;1;30;2;;2;;2;;2;;2;;2;;;1;12;76;5140.7432059
6036472;1;1;1;90;2;;1;28;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;4015.7732772
6036473;1;1;1;90;2;;1;45;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;3463.3143707
6036473;1;2;1;90;2;;1;50;2;;1;50;2;;2;;2;;2;;2;;2;;;1;12;76;3463.3143707
6036473;1;3;1;90;2;;1;40;2;;1;25;2;;2;;2;;2;;2;;2;;;1;12;76;3463.3143707
6036476;1;1;1;90;2;;1;25;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3419.4578827
6036477;1;1;1;90;2;;1;40;2;;1;40;2;;2;;2;;2;;2;;2;;;1;12;76;3150.0590898
6036477;1;2;1;90;2;;1;10;2;;1;10;2;;2;;1;15;2;;2;;2;;;1;12;76;3150.0590898
6036478;1;1;1;90;2;;1;10;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2576.3824771
6036478;1;2;1;90;2;;1;3;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2576.3824771
6036478;1;3;1;90;2;;1;3;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2576.3824771
6036479;1;1;1;90;2;;1;10;2;;1;10;2;;2;;2;;2;;2;;2;;;1;12;76;2480.0295403
6036479;1;2;1;90;2;;1;20;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;2480.0295403
6036479;1;3;1;90;2;;1;3;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2480.0295403
6036490;1;1;1;90;2;;1;6;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3737.2038351
6036490;1;2;1;90;2;;1;15;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3737.2038351
6036490;1;3;1;90;2;;1;4;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3737.2038351
6036490;1;4;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3737.2038351
6036490;1;5;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3737.2038351
6036492;1;1;1;90;2;;1;21;2;;1;20;2;;2;;2;;2;;2;;2;;;1;12;76;3116.3257975
6036492;1;2;1;90;2;;2;;2;;1;10;2;;2;;2;;2;;2;;2;;;1;12;76;3116.3257975
6036492;1;3;1;90;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3116.3257975
6036494;1;1;1;90;2;;1;8;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2884.2143677
6036496;1;1;1;90;2;;1;14;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2716.3028748
6036499;1;1;1;90;2;;1;10;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2716.3028748
6036501;1;1;1;90;2;;1;10;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3419.4578827
6036503;1;1;1;90;2;;1;15;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2266.7959303
6036503;1;2;1;90;2;;1;2;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2266.7959303
6036503;1;3;1;90;2;;1;5;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;2266.7959303
6036504;1;1;1;90;2;;1;25;2;;2;;2;;2;;2;;2;;2;;2;;;1;12;76;3419.4578827
6036505;1;1;1;90;2;;1;45;2;;1;45;2;;2;;2;;2;;2;;2;;;1;12;76;4197.7381329
6036505;1;2;1;90;2;;1;25;2;;1;15;2;;2;;2;;2;;2;;2;;;1;12;76;4197.7381329
