DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6036459;1;3;1;70;;1;16;48;2000000;1;;2;12;4;;1;2;3;;1;1;;;1;;;;;;;;2;;42;02;02;1;2;12;4210;76;2428.8518949
6036460;1;2;1;70;;1;1;48;1200000;1;;2;1;4;;1;2;1;;2;;;;;;;;;;;1;1;1100000;49;98;98;1;1;12;4921;76;4197.7381329
6036461;1;1;1;70;;1;12;40;1600000;2;;2;324;1;;9;2;1;;2;;;;;;;;;;;1;2;;36;13;33;1;1;12;3600;76;5329.2970424
6036479;1;2;1;70;;1;8;48;900000;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4111;76;2480.0295403
6036503;1;1;1;70;;1;30;30;500000;4;;2;30;4;;1;2;1;;2;;;;;;;;;;;1;2;;96;56;56;1;2;12;9601;76;2266.7959303
6036505;1;2;1;70;;1;12;40;500000;4;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;1;12;8553;76;4197.7381329
6036507;1;1;1;70;;1;90;48;940000;1;;2;90;4;;1;2;4;;2;;;;;;;;;;;1;2;;93;39;21;1;2;12;9329;76;3419.4578827
6036514;1;2;1;70;;1;4;48;500000;4;;2;6;1;;1;2;1;;2;;;;;;;;;;;1;2;;49;36;36;1;1;12;4921;76;3094.9138155
6036514;1;3;1;70;;1;4;48;600000;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;1;12;4921;76;3094.9138155
6037011;1;3;1;70;;1;12;50;600000;8;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;12;;17;2006.7044412
6037012;1;2;1;70;;1;20;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;2;12;;17;4193.4320866
