Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3461743;1;4;3;1;1;1;1;1;3;3; ; ; ; ;300000;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;4;2;1;01;17;05;17;145,716336018615
3461745;1;4;3;1;1;1;1;1;3;1; ; ;140000000;350000; ;1;1;1;1;1;1;2;2;2;1;2;1;1;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;177,467548948927
3461746;1;4;3;1;1;1;1;1;4;3; ; ; ; ;370000;2;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;5;2;2; ;5;1;2;1;3;1;2;1;1;1;3;2;1;01;17;05;17;135,974884455417
3461747;1;4;1;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2;1;1;1;1;2;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;2;1;01;17;05;17;167,920400264297
3461748;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;165,630687222944
3461749;1;4;1;1;1;1;1;1;3;1; ; ;200000000;500000; ;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;2;1;01;17;05;17;167,920400264297
3461750;1;5;3;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;4;2;1;01;17;05;17;171,468800902025
3461752;1;5;2;1;1;1;1;1;3;1; ; ;180000000;450000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;2;1;6;1;1;1;1;1;3;2;1;01;17;05;17;165,630687222944
3461753;1;6;4;1;1;1;1;1;3;1; ; ;200000000;400000; ;1;1;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;1;2;1;1;4;2;2; ;4;1;2;1;3;1;1;1;1;1;3;2;1;01;17;05;17;187,630163692494
3461754;1;5;3;1;1;1;1;1;3;3; ; ; ; ;480000;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;5;2;2; ;5;1;2;1;4;1;1;1;1;1;4;2;1;01;17;05;17;183,974799944019
3461755;1;2;1;1;1;1;1;1;4;3; ; ; ; ;280000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;17;05;17;166,879045127522
3461756;1;7;2;1;1;1;1;1;3;1; ; ;180000000;800000; ;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;3;1;2;1;5;1;1;1;1;1;4;2;1;01;17;05;17;144,467978114037
3461757;1;4;3;1;1;1;1;1;3;1; ; ;80000000;500000; ;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;128,208990658183
3461758;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;199,671613194609
3461759;1;3;1;1;1;1;1;1;3;4; ; ; ;400000; ;1;1;1;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;5;2;1;01;17;05;17;166,879045127522
3461760;1;4;2;1;1;1;1;1;3;1; ; ;85000000;650000; ;1;1;1;2;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;17;05;17;178,77321234352
3461761;1;3;3;1;1;1;1;3;3;1; ; ;60000000;500000; ;1;1;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;1;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;17;05;17;226,035909904015
3461762;1;4;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;2; ;1;1;2;1;5;1;1;1;1;1;5;2;1;01;17;05;17;151,661412808444
