DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4586014;1;3;1;70;1;208;48;1; ;2;68;1; ;6;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1300000;1;1;19;39;45;1;2;04;4521;05;1200,36221936745;05
4586034;1;1;1;70;1;6;48;1; ;2;6;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;04;4522;05;659,563544693094;05
4586039;1;2;1;70;1;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;98;60;1;2;04;6031;05;1105,33361729142;05
4586039;1;3;1;70;1;25;48;1; ;2;25;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;99;90;1;2;04;9000;05;1105,33361729142;05
4586042;1;1;1;70;1;12;24;1; ;2;104;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;45;55;1;1;04;5521;05;1352,79818406585;05
4586044;1;2;1;70;1;104;48;1; ;2;36;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;97;19;1;2;04;1939;05;1061,69435327316;05
4586046;1;2;1;70;1;2;48;1; ;2;23;1; ;9;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;19;19;64;1;1;04;6421;05;877,229741143799;05
4586047;1;2;1;70;1;4;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;33;17;92;1;1;04;9213;05;851,821043290687;05
4586058;1;3;1;70;1;104;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;57; ; ;1;2;04; ;05;1130,86094839703;05
4586059;1;1;1;70;1;104;48;1; ;2;104;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;98;98;60;1;2;04;6021;05;1149,54482366122;05
4586062;1;3;1;70;1;2;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;97;52;1;1;04;5211;05;988,752109766518;05
4586062;1;4;1;70;1;48;48;4; ;2;48;3; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;1;20000;781242;1;2;79;54;95;1;2;04;9500;05;988,752109766518;05
4586066;1;1;1;70;1;16;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;53;55;1;2;04;5529;05;1428,41844789929;05
4586066;1;2;1;70;1;12;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;59;52;1;1;04;5233;05;1428,41844789929;05
4586067;1;3;1;70;1;8;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;39; ; ;1;1;04; ;05;811,620816226524;05
4586069;1;2;1;70;1;13;48;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;04;5233;05;1429,91285255935;05
4586073;1;2;1;70;1;24;48;1; ;2;104;1; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2500000;1;1;84;84;50;1;2;04;5040;05;1367,70641094727;05
4586079;1;1;1;70;1;32;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;53;41;52;1;2;04;5223;05;791,897106022726;05
4586080;1;2;1;70;1;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;54;54;01;1;1;04;0140;05;1626,28620347366;05
4586093;1;2;1;70;1;12;40;4; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;79;18;1;1;04;1810;05;1205,36664661832;05
4586094;1;2;1;70;1;5;48;1; ;2;108;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;04;5211;05;1139,75772170105;05
4586101;1;2;1;70;1;4;48;4; ;2;12;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;54;54;74;1;1;04;7493;05;899,471286614585;05
4586110;1;4;1;70;1;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;45; ; ;1;2;04; ;05;886,627585901104;05
4586112;1;3;1;70;1;52;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;95;45;1;2;04;4530;05;1142,92487408338;05
4586112;1;4;1;70;1;156;48;1; ;2;20;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;2;04;5233;05;1142,92487408338;05
4586114;1;2;1;70;1;8;48;1; ;2;20;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;95;95;45;1;1;04;4521;05;1185,91356036489;05
4586125;1;4;1;70;1;3;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;04; ;05;704,046635634665;05
4586141;1;2;1;70;1;16;48;1; ;2;16;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;45;52;1;2;04;5233;05;987,321757002645;05
4586142;1;3;1;70;1;12;48;1; ;2;12;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;07;07;85;1;1;04;8512;05;1120,30463544762;05
4586150;1;1;1;70;1;4;48;2; ;2;64;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;13;21;80;1;1;04;8011;05;990,879427209239;05
4586153;1;3;1;70;1;104;48;1; ;2;156;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;55;57;93;1;2;04;9302;05;793,327458786598;05
4586157;1;1;1;70;1;20;48;1; ;2;24;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1100000;2; ;45;45;51;1;2;04;5139;05;1182,74640798257;05
4586172;1;4;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781000; ; ;59; ; ;1;1;04; ;08;427,847698887357;08
4586175;1;8;1;70;1;16;48;1; ;2;16;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;84;85;50;1;2;04;5020;08;583,957476705443;08
4586182;1;2;1;70;1;16;48;1; ;2;18;1; ;9;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1800000;2; ;13;13;80;1;2;04;8050;08;497,671532992403;08
4586189;1;3;1;70;1;40;48;1; ;2;44;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;33;33;15;1;2;04;1589;08;545,442024032601;08
4586198;1;3;1;70;1;54;48;1; ;2;54;4; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1250000;2; ;19;41;52;1;2;04;5211;13;380,619799321785;13
4586201;1;4;1;70;1;16;40;1; ;2;16;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;15;15;75;1;2;04;7512;13;389,107046765938;13
4586217;1;2;1;70;1;16;20;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;74;1;2;04;7493;15;126,652611158616;15
4586223;1;2;1;70;1;1;48;1; ;2;1;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;781242;2; ;81;95;45;1;1;04;4521;15;154,596378197381;15
4586223;1;3;1;70;1;16;48;1; ;2;16;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;97;63;1;2;04;6310;15;154,596378197381;15
4586225;1;1;1;70;1;12;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;74;1;1;04;7492;15;144,415021248186;15
4586226;1;3;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1200000; ; ;06; ; ;1;1;04; ;15;60,0648778979894;15
4586258;1;1;1;70;1;3;40;1; ;2;3;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1500000;781242;2; ;45;45;52;1;1;04;5239;15;125,601134951215;15
4586263;1;5;1;70;1;12;48;1; ;2;70;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;97;71;1;1;04;7129;15;93,6112956833082;15
4586265;1;2;1;70;1;12;48;1; ;2;12;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;1;04;8011;15;138,236641654163;15
4586284;1;3;1;70;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1800000; ; ;12; ; ;1;2;04; ;15;140,499348601478;15
