DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;CLASE;MES;DPTO;fex_c_2011
5332763;1;3;1;1;1;1;1;1;4;1; ; ;99;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;3;4;2; ;1;2;1;2;1;1;2;1;1;3;1;1;01;63;1;01;63;121,209215136872
5332764;1;3;1;1;1;1;1;1;3;1; ; ;99;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;5;2; ;1;1;1;2;1;1;1;1;1;3;1;1;01;63;1;01;63;74,4452587560938
5332765;1;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;5;2; ;1;1;1;2;1;1;1;1;1;3;1;1;01;63;1;01;63;183,974204026019
5332766;1;3;1;1;1;1;1;1;3;1; ; ;30000000;200000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;4;1;1;1;1;1;3;1;1;01;63;1;01;63;166,363868069558
5332767;1;3;1;1;1;1;1;1;3;1; ; ;35000000;200000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;1;1;1;2;1;1;1;1;1;3;1;1;01;63;1;01;63;136,871201018404
5332768;1;4;3;1;1;1;1;3;3;3; ; ; ; ;350000;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;9;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;63;1;01;63;227,18094537315
5332769;1;4;1;1;1;1;1;1;3;1; ; ;99;400000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;1;1;1;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;63;1;01;63;166,363868069558
5332772;1;2;1;1;1;1;1;1;4;5; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;1;1;3;1;2;01;68;1;01;68;299,79015098077
5332773;1;1;1;1;1;1;1;2;4;5; ; ; ;250000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;8;2;1;1;2;1;1;3;1;2;01;68;1;01;68;293,46975330925
5332774;1;1;1;1;1;1;1;2;4;1; ; ;35000000;300000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;2;1;1;3;1;1;01;68;1;01;68;360,181162546514
