DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;DPTO;ORDEN;fex_c_2011
1802679;1;3;2;2;1;3;6;1;5;1; ; ;3000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;18;1;719,491029763497
1802680;1;3;1;2;1;4;6;1;5;1; ; ;3800000;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;18;1;510,741335935576
1802681;1;3;1;2;1;4;6;1;5;4; ; ; ;60000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;18;1;654,094379173281
1802682;1;3;1;2;1;3;6;3;5;1; ; ;7000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;18;1;773,102144715799
1802683;1;4;2;2;1;3;6;1;5;1; ; ;6000000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;18;1;1272,72725846397
1802684;1;1;1;2;1;4;6;1;5;1; ; ;120000;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2; ; ; ;01;2;18;1;1065,96120660587
1802685;1;4;3;2;1;4;2;1;5;1; ; ;4000000;90000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;18;1;1104,72355455145
1802686;1;4;3;2;1;4;2;1;5;1; ; ;2000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;1;1;2;2;2;2;1; ; ;01;2;18;1;1148,56910692323
1802687;1;3;1;2;1;4;2;1;5;1; ; ;1500000;40000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1; ; ;01;2;18;1;1138,22883860038
1802688;1;2;1;2;1;4;2;1;5;1; ; ;2500000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2;1;2;2;2;2;1; ; ;01;2;18;1;1420,57632301401
1802689;1;2;1;2;1;4;2;1;5;1; ; ;2000000;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2;1;2;2;2;2;1; ; ;01;2;18;1;714,598712571724
1802690;1;1;1;2;1;4;2;1;5;4; ; ; ;60000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;18;1;1196,41273865268
1802691;1;3;2;1;1;4;1;1;5;1; ; ;4000000;40000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;3;1;2;1;2;1;1; ;1;01;2;18;1;719,210723915196
1802692;1;4;2;1;1;4;1;1;4;1; ; ;3500000;40000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;835,749833173384
1802693;1;3;2;1;1;3;1;1;4;3; ; ; ; ;30000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;719,74909856995
1802694;1;4;3;1;1;4;1;1;4;1; ; ;4000000;50000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1146,06672344591
1802695;1;5;4;1;1;4;1;1;4;1; ; ;4000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1519,53278439898
1802696;1;3;1;1;1;4;1;1;4;4; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1295,03436744353
1802697;1;2;1;1;1;4;1;1;5;4; ; ; ;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1118,52929944165
1802698;1;4;2;1;1;4;1;1;4;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1411,03510204696
1802699;1;3;2;1;1;4;1;1;5;1; ; ;3000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;821,058226208107
1802700;1;2;1;1;1;4;1;6; ;1; ; ;2000000;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1203,34518334229
1802701;1;3;1;1;1;4;1;1;5;4; ; ; ;20000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1058,02496604321
1802702;1;3;2;1;1;4;1;1;4;1; ; ;5000000;30000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;5;2;1;2;1;2;1;1; ;1;01;2;18;1;1128,2556357787
1820436;1;4;3;2;1;3;1;1;5;4; ; ; ;50000; ;2;2;1;1;1;2;2;2;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;70;1;1530,27861198977
1820437;1;6;2;2;1;4;1;5;5;6;CUIDANDERO; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;70;1;1601,96515904191
1820438;1;3;2;6; ;4;2;5;5;1; ; ;5000000;40000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;70;1;1267,94531649045
1820439;1;3;2;2;1;3;1;1;4;1; ; ;8000000;100000; ;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;70;1;1333,81699034177
1820440;1;2;2;6; ;3;4;5;5;1; ; ;5000000;25000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;70;1;1884,48521964195
1820441;1;3;3;2;1;3;4;5;5;1; ; ;5000000;40000; ;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;70;1;1740,18012073663
1820442;1;4;3;2;1;3;1;1;5;1; ; ;12000000;80000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;1;2;1;2;2;2;1;1; ;2;01;2;70;1;1602,01497073906
1820443;1;3;1;6; ;4;4;1;5;1; ; ;5000000;30000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;70;1;2211,14228950256
1820445;1;3;2;2;1;4;1;1;5;6;LA ESTAN CUIDANDO; ; ;60000; ;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;4;2;1;2;2;2;1;1; ;2;01;2;70;1;1802,23928763893
1828393;1;3;1;6; ;4;5;5;5;3; ; ; ; ;50000;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;23;1;1112,70026284169
1828394;1;3;2;6; ;4;5;1;5;1; ; ;4000000;40000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;23;1;1778,70667856332
1828395;1;3;2;6; ;4;5;1;5;3; ; ; ; ;20000;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;23;1;708,006916344906
1828396;1;3;2;2;1;4;5;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;23;1;1444,87144125082
1828397;1;2;1;2;1;4;1;1;3;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;1678,58441546803
1828398;1;4;2;2;1;4;1;1;3;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;1;2;1;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;1444,87144125082
1828399;1;3;2;2;1;4;1;1;3;1; ; ;8000000;80000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;1;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;1303,14499037571
1828401;1;3;3;2;1;4;4;1;5;1; ; ;4000000;50000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;23;1;708,006916344906
1828402;1;1;1;2;1;4;4;1;5;1; ; ;2000000;40000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;23;1;1072,99834904797
1828403;1;1;1;6; ;4;4;1;5;1; ; ;2000000;20000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;23;1;1525,14446409923
1828404;1;2;2;2;1;4;4;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1; ; ;01;2;23;1;1844,50000466683
1828405;1;2;1;2;1;4;5;1;5;4; ; ; ;80000; ;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;2;1;1;5;2;1;2;2;2;2;2; ; ;01;2;23;1;1353,17530816368
1828406;1;5;3;2;1;4;5;1;5;4; ; ; ;100000; ;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;2; ; ;01;2;23;1;2227,76206873005
1828407;1;2;1;6; ;4;5;1;5;1; ; ;5000000;80000; ;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;985,425255890402
1828408;1;2;1;6; ;4;5;1;5;4; ; ; ;30000; ;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;923,124730568641
1828409;1;3;2;6; ;4;6;1;5;1; ; ;3000000;30000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;4;2;1;2;2;2;2;1; ; ;01;2;23;1;1375,31299875389
1828420;1;3;2;2;1;4;9;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;1703,56226257894
1828421;1;3;2;2;1;4;5;1;5;1; ; ;5000000;40000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;23;1;1814,35139755789
1828422;1;2;1;2;1;4;5;5;5;1; ; ;6000000;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2; ; ; ;01;2;23;1;1871,13635534728
1828423;1;2;1;6; ;4;5;1;5;1; ; ;4000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;1303,14499037571
1828424;1;4;3;2;1;4;1;1;3;1; ; ;18000000;200000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;1864,91503796328
1828425;1;3;2;2;2;4;1;1;3;1; ; ;14000000;50000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;2340,3655143942
1828426;1;3;2;6; ;4;1;1;3;4; ; ; ;60000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;1;1; ;2;01;2;23;1;1355,66254201096
1828427;1;3;2;2;1;4;6;1;5;1; ; ;5000000;60000; ;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;23;1;1795,48632034759
1828428;1;3;2;2;1;4;4;1;5;1; ; ;6000000;60000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;2353,18115223573
