"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","CLASE","P7250","P7260","P7280","P7280S1","P7310","P7320","P7350","P7350S1","P7360","P9460","P7390","P7390S1","P7420","P7420S1","P7420S2","P7420S3","P7420S4","P7420S5","P7420S6","P7420S7","P7420S7A1","P7420S8","P7422","P7422S1","P1806","P1519","P1883","OFICIO1","OFICIO2","RAMA2D_D","DSI","DSCY","RAMA4D_D","MES","DPTO","fex_c_2011","AREA"
4417170,1,1,1,"70","1",40,48,1,"",2,40,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737700,2,1.79769313486232e+308,"54","54","85",1,2,"8532","09","63",389.137612519679,""
4417179,1,3,1,"70","1",12,48,3,"",2,96,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,300000,2,1.79769313486232e+308,"55","55","74",1,1,"7493","09","63",1105.54771126151,""
4417179,1,5,1,"70","1",44,48,1,"",2,55,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,250000,2,1.79769313486232e+308,"45","53","55",1,2,"5521","09","63",1105.54771126151,""
4417180,1,1,1,"70","1",28,48,1,"",2,32,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737700,2,1.79769313486232e+308,"53","53","55",1,2,"5521","09","63",805.034337641522,""
4417180,1,2,1,"70","1",16,40,1,"",2,17,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737700,2,1.79769313486232e+308,"55","55","55",1,2,"5511","09","63",805.034337641522,""
4417180,1,5,1,"70","1",18,40,3,"",2,20,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737700,2,1.79769313486232e+308,"55","53","55",1,2,"5521","09","63",805.034337641522,""
4417182,1,5,1,"70","1",12,48,1,"",2,104,1,"",2,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1000000,2,1.79769313486232e+308,"59","45","51",1,1,"5132","09","05",1175.09691180211,"05"
4417191,1,2,1,"70","1",156,156,1,"",2,156,1,"",9,2,9,"PAGA PARTICULAR","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,"02","02","45",1,2,"4530","09","05",1043.3793837793,"05"
4417193,1,3,1,"70","1",52,48,1,"",2,78,1,"",9,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"40","11","52",1,2,"5211","09","05",1019.60726791436,"05"
4417194,1,1,1,"70","1",4,48,4,"",2,4,4,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"DE LA PENSION",1.79769313486232e+308,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"79","79","52",1,1,"5271","09","05",1067.53064735,"05"
4417198,1,2,1,"70","1",16,48,1,"",2,16,1,"",6,1,1,"","",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,1.79769313486232e+308,737717,1,1,"39","39","18",1,2,"1810","09","05",1260.43565058865,"05"
4417202,1,2,1,"70","1",4,48,1,"",2,4,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,770000,1200000,2,1.79769313486232e+308,"97","97","15",1,1,"1589","09","05",906.29062428914,"05"
4417202,1,6,1,"70","1",259,48,1,"",2,259,1,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"98","98","60",1,2,"6021","09","05",906.29062428914,"05"
4417210,1,1,1,"70","1",2,48,1,"",2,2,1,"",9,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,810000,900000,2,1.79769313486232e+308,"39","39","18",1,1,"1810","09","05",1343.3855608017,"05"
4417216,1,1,1,"70","1",6,50,4,"",2,6,4,"",2,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,"79","79","18",1,1,"1810","09","05",1260.43565058865,"05"
4417216,1,2,1,"70","1",6,50,4,"",2,6,4,"",2,9,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,"79","79","18",1,1,"1810","09","05",1260.43565058865,"05"
