"DIRECTORIO","SECUENCIA_P","P5000","P5010","P5020","P5030","P5040","P5050","P5070","P5080","P5090","P5090S1","P5100","P5110","P5130","P5140","P5210S1","P5210S2","P5210S3","P5210S4","P5210S5","P5210S6","P5210S7","P5210S8","P5210S9","P5210S10","P5210S11","P5210S14","P5210S15","P5210S16","P5210S17","P5210S18","P5210S19","P5210S20","P5210S21","P5210S22","P5210S24","P5220","P5220S1","P6008","P6007","P6007S1","HOGAR","P4000","P4010","P4020","P4030S1","P4030S1A1","P4030S2","P4030S3","P4030S4","P4030S4A1","P4030S5","P4040","REGIS","AREA","MES","DPTO","fex_c_2011"
4417181,1,6,5,1,1,1,1,1,3,1,"",1.79769313486232e+308,200000000,900000,1.79769313486232e+308,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,5,5,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","05","09","05",652.723836513939
4417182,1,4,3,1,1,1,1,1,3,1,"",1.79769313486232e+308,98,1200000,1.79769313486232e+308,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,6,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","05","09","05",1175.09691180211
4417183,1,7,4,1,1,1,1,1,3,1,"",1.79769313486232e+308,170000000,1000000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,4,4,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",995.835152049415
4417184,1,5,4,3,1,1,1,1,4,1,"",1.79769313486232e+308,30000000,350000,1.79769313486232e+308,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,6,1,2,1,2,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1427.29530508457
4417185,1,1,1,3,1,1,1,2,4,1,"",1.79769313486232e+308,12000000,1800000,1.79769313486232e+308,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,4,2,1.79769313486232e+308,1,1,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1301.95606867103
4417186,1,1,1,3,1,1,1,2,4,2,"",260000,14000000,100000,1.79769313486232e+308,2,2,2,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,3,2,1.79769313486232e+308,1,1,5,3,1,1,2,2,1,2,1,1,"01","05","09","05",1254.56146358041
4417187,1,4,1,1,1,1,1,1,3,1,"",1.79769313486232e+308,25000000,450000,1.79769313486232e+308,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",1067.53064735
4417188,1,1,1,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,200000,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",1088.19156949685
4417189,1,4,2,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,430000,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","05","09","05",1043.3793837793
4417190,1,2,1,3,1,1,1,1,4,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,150000,2,1,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,4,2,1.79769313486232e+308,1,1,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1384.90597888407
4417191,1,4,1,1,1,1,1,1,3,1,"",1.79769313486232e+308,80000000,300000,1.79769313486232e+308,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,2,1,1,"01","05","09","05",1043.3793837793
4417192,1,5,2,1,1,1,1,1,1,4,"",1.79769313486232e+308,1.79769313486232e+308,800000,1.79769313486232e+308,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,1,2,1,4,1,3,2,1,1,3,1,1,"01","05","09","05",1197.87516265366
4417193,1,5,2,1,1,1,1,1,3,1,"",1.79769313486232e+308,130000000,500000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,3,3,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",1019.60726791436
4417194,1,1,1,1,1,1,1,2,1,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,280000,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1,2,1,4,1,3,2,1,1,2,1,1,"01","05","09","05",1067.53064735
4417195,1,4,3,1,1,1,1,1,3,1,"",1.79769313486232e+308,30000000,350000,1.79769313486232e+308,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1.79769313486232e+308,1,2,1,2,1,1,1,1,1,2,1,1,"01","05","09","05",982.338451536992
4417196,1,5,4,3,1,1,1,1,1,4,"",1.79769313486232e+308,1.79769313486232e+308,200000,1.79769313486232e+308,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,1.79769313486232e+308,1,1,2,3,1,1,2,2,1,2,1,1,"01","05","09","05",1092.0220446938
4417197,1,3,2,1,1,1,1,1,3,1,"",1.79769313486232e+308,40000000,350000,1.79769313486232e+308,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,3,3,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,2,1,1,"01","05","09","05",1157.87430026397
4417198,1,3,2,3,1,1,1,1,4,2,"",100000,25000000,200000,1.79769313486232e+308,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,2,3,2,1.79769313486232e+308,1,1,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1260.43565058865
4417199,1,5,2,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,485000,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",1218.91523250628
4417200,1,6,4,1,1,1,1,1,3,4,"",1.79769313486232e+308,1.79769313486232e+308,700000,1.79769313486232e+308,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,5,5,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",931.836486657261
4417201,1,5,3,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,510000,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,4,4,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",1288.21881556764
4417202,1,3,2,1,1,1,1,1,3,4,"",1.79769313486232e+308,1.79769313486232e+308,350000,1.79769313486232e+308,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,4,6,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,2,1,1,"01","05","09","05",906.29062428914
4417203,1,4,1,1,1,1,1,1,3,4,"",1.79769313486232e+308,1.79769313486232e+308,1500000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","05","09","05",1242.68734837122
4417204,1,4,1,1,1,1,1,1,4,1,"",1.79769313486232e+308,98,1100000,1.79769313486232e+308,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1,2,1,4,1,3,2,1,1,2,1,1,"01","05","09","05",1067.53064735
4417205,1,2,1,1,1,1,1,1,3,1,"",1.79769313486232e+308,20000000,150000,1.79769313486232e+308,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1.79769313486232e+308,1,2,1,2,1,1,1,1,1,2,1,1,"01","05","09","05",1064.41945363191
4417206,1,4,3,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,580000,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,3,4,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,1,"01","05","09","05",974.415934491041
4417207,1,4,2,3,1,1,1,1,4,1,"",1.79769313486232e+308,25000000,380000,1.79769313486232e+308,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,1,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1218.91523250628
4417208,1,5,4,1,1,1,1,1,3,1,"",1.79769313486232e+308,80000000,400000,1.79769313486232e+308,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,1,1,4,6,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,2,1,1,"01","05","09","05",974.074651657815
4417209,1,4,2,3,1,1,1,1,4,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300000,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,3,2,1.79769313486232e+308,1,2,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1010.77534775626
4417210,1,3,2,3,1,1,1,1,1,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,280000,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1.79769313486232e+308,1,2,1,2,1,1,2,2,1,2,1,1,"01","05","09","05",1343.3855608017
