Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6440;P6450;P6460;P6460s1;P6400;P6422;P6424s2;P6424s3;P6424s1;P6426;P6430s1;P6480;P6480s1;P6500;P6510;P6510s1;P6510s2;P6590;P6590s1;P6600;P6600s1;P6610;P6610s1;P6620;P6620s1;P6585s2a1;P6585s3a1;P6585s4a1;P6585s3a2;P6585s2a2;P6585s1a2;P6585s2;P6585s3;P6585s1a1;P6585s4;P6585s1;P6580;P6580s1;P6580s2;P6630s3;P6630s4a1;P6630s3a1;P6630s2a1;P6630s1a1;P6630s4;P6630s2;P6630s1;P6640;P6765;P6765s1;P6772;P6750;P6760;P550;P6780;P6780s1;P6790;P6410;P6640s1;P9440;P6630s6;P6630s6a1;P6410s1;P6545s1;P6545;P6545s2;P6585s4a2;P6773s1;P6775;P6772s1;P388;P6800;P6810;P6810s1;P6850;P6830;P6830s1;P6870;P6880;P6880s1;P6920;P6930;P6940;P6960;P6980;P6980s1;P6980s2;P6980s3;P6980s4;P6980s5;P6980s6;P6980s7;P6980s8;P6980s7a1;P6990;P7020;P7026;P7028;P7028s1;P7040;P7045;P7050;P7050s1;P7070;P760;P9450;P6915s1;P6915;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140s1;P7140s2;P7140s3;P7140s4;P7140s5;P7140s6;P7140s7;P7140s8;P7140s9;P7140s9a1;P7150;P7160;P7170s1;P7170s5;P7170s6;P7180;P7240;P7240s1;P514;P515;P6430;Oficio;Rama2d;Oci;Rama4d;Rama4dp8;Rama2dp8;Inglabo;Mes;Dpto;Fex_c_2011
3839200;1;1;1;60;2;1;2;1; ;1;1;2;1;1;24; ;1; ;644000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;644000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;54; ;.;54; ; ;9;8; ;1;1;1;0;1; ; ; ; ; ;1; ; ; ;1;1;12;1; ;2; ; ; ; ;0;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;644000;10;68;1866,27940084912
3839200;1;2;1;60;2;1;2;2;12;1;1;2;1;1;48; ;1; ;644000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;644000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;56; ;.;56; ; ;9;8; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;1;1;24;3; ;2; ; ; ; ;12;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;644000;10;68;1866,27940084912
3839201;1;1;1;60;2;1;2;2;12;1;1;2;1;2;10; ;1; ;644000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;300000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;54; ;.;54; ; ;9;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1;12;1; ;2; ; ; ; ;0;2; ;1; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;2;1;1;2;2;8; ;1;1;1;62;01;1;0121; ; ;644000;10;68;981,613954967929
3839201;1;2;1;60;2;1;2;2;12;1;1;2;1;1;10; ;1; ;644000;1;60000;2;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;300000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;54; ;.;54; ; ;9;8; ;1;1;1;0;1; ; ;1; ; ; ; ; ; ;2;1;13;7; ;2; ; ; ; ;0;2; ;5; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;644000;10;68;981,613954967929
3839202;1;1;1;60;2;1;2;1; ;1;1;2;1;1;73; ;1; ;750000;1;50000;2;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;644000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;56; ;.;56; ; ;9;8; ;1;1;1;0;1; ; ;1; ; ; ; ; ; ;1;1;48;1; ;2; ; ; ; ;0;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;1;1;62;01;1;0121; ; ;750000;10;68;1510,24509575715
3839202;1;2;1;60;2;1;2;1; ;1;1;2;1;1;48; ;1; ;644000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;300000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;56; ;.;56; ; ;9;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;1;1;48;1; ;2; ; ; ; ;0;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;1;1;62;01;1;0121; ; ;644000;10;68;1510,24509575715
3839203;1;1;1;60;2;1;2;1; ;1;1;2;1;1;14; ;2; ;644000;1;60000;2;2; ;2; ;2; ;2; ;74000; ; ; ;2; ;1;2; ;2;2;2; ; ;2; ; ; ;644000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;48; ;.;48; ; ;9;7; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;1;1;36;4; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;1;1;1;62;01;1;0123; ; ;644000;10;68;1589,00795373339
3839203;1;2;1;60;2;1;2;2;12;1;1;2;2;1;36; ;1; ;644000;1;50000;2;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;644000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;54; ;.;54; ; ;9;8; ;1;1;1;1;1; ; ;1; ; ; ; ; ; ;1;1;25;1; ;2; ; ; ; ;2;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;644000;10;68;1589,00795373339
3839204;1;1;1;60;2;1;2;1; ;1;1;2;2;2;36; ;1; ;750000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ;750000;2;2;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;68;70; ;.;70; ; ;8;4; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;1;1;24;1; ;2; ; ; ; ;0;1; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;750000;10;68;1273,88375253252
3839204;1;3;1;60;2;1;2;1; ;1;1;2;2;2;1; ;1; ;700000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;1; ; ;2;2; ; ; ;2; ; ; ; ; ;68;48; ;.;48; ; ;8;8; ;1;1;1;0;1;1; ;1; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;2; ;1; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;1;62;01;1;0121; ; ;700000;10;68;1273,88375253252
