Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
3835258;1;1;1;90;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;1; ; ; ;17;10;17;165,007323299413
3835258;1;2;1;90;2;1;2;2;2;1;2;2;2;2; ;49; ; ; ;1; ; ; ; ;17;10;17;165,007323299413
3835259;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;17;10;17;186,530409243468
3835259;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;186,530409243468
3835261;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;171,821348536872
3835261;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;171,821348536872
3835263;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;17;10;17;149,817124749623
3835263;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;17;10;17;149,817124749623
3835263;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;149,817124749623
3835264;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;186,705687822338
3835264;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;186,705687822338
3835266;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;138,063503794712
3835266;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;24; ; ;3; ; ; ; ; ;17;10;17;138,063503794712
3835269;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;10;17;146,930432907512
3835269;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;10;17;146,930432907512
3835269;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;10;17;146,930432907512
3835270;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;195,772555387911
3835270;1;2;1;90;2;1;2;1;2;2;1;2;2;2; ;56; ;10; ; ;10; ; ; ;17;10;17;195,772555387911
3835270;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;10;17;195,772555387911
3835270;1;5;1;90;2;1;2;1;2;2;1;2;2;2; ;14; ;7; ; ;1; ; ; ;17;10;17;195,772555387911
3835270;1;6;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;195,772555387911
3835274;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;183,750248070653
3835274;1;2;1;90;2;1;2;2;2;2;2;1;2;2; ;4; ; ; ; ; ;2; ; ;17;10;17;183,750248070653
3835274;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;10;17;183,750248070653
3835275;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;10;17;143,905635388508
3835278;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;175,543038953091
3835278;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;28; ; ; ; ; ; ;17;10;17;175,543038953091
3835278;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;10;17;175,543038953091
3835279;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;177,838758709538
3835280;1;1;1;90;2;1;1;2;2;2;2;2;2;2; ;10;35; ; ; ; ; ; ; ;17;10;17;164,310430402198
3835280;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;164,310430402198
3835280;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;164,310430402198
3835281;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;171,996627115742
3835281;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;171,996627115742
3835282;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;242,389876937545
3835282;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;10; ; ; ; ; ; ;17;10;17;242,389876937545
3835283;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;14; ; ; ; ; ; ;17;10;17;200,43395458245
3835283;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;200,43395458245
3835284;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;193,105231325074
3835284;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;193,105231325074
3835285;1;1;1;90;2;1;1;2;2;2;2;2;2;2; ;28;28; ; ; ; ; ; ; ;17;10;17;177,838758709538
3835287;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;130,552585660038
3835287;1;2;1;90;2;1;2;2;2;2;2;2;2;1; ;42; ; ; ; ; ; ; ;4;17;10;17;130,552585660038
3835287;1;3;1;90;2;1;2;2;2;2;1;2;2;2; ;7; ; ; ; ;4; ; ; ;17;10;17;130,552585660038
3835288;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;10;17;171,821348536872
3835288;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;17;10;17;171,821348536872
3835289;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;94,9506757981309
3835289;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;94,9506757981309
3835289;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;94,9506757981309
3835290;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;10;17;180,375502086921
3835290;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;10;17;180,375502086921
3835290;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;10;17;180,375502086921
3835290;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;180,375502086921
3835290;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;10;17;180,375502086921
3835291;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;17;10;17;191,436444784197
3835291;1;2;1;90;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;2; ; ; ;17;10;17;191,436444784197
3835292;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;10;17;166,67610984029
3835292;1;2;1;90;2;1;2;1;1;2;2;2;2;2; ;28; ;35;50; ; ; ; ; ;17;10;17;166,67610984029
3835304;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;10;76;483,629409679508
3835304;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;32; ; ; ; ; ; ; ; ;76;10;76;483,629409679508
3835304;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;76;10;76;483,629409679508
3835305;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;10;76;1031,37390735373
3835305;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;76;10;76;1031,37390735373
3835305;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;76;10;76;1031,37390735373
3835305;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;10;76;1031,37390735373
3835305;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;76;10;76;1031,37390735373
3835306;1;1;1;90;2;1;2;2;2;2;2;2;2;1; ;4; ; ; ; ; ; ; ;12;76;10;76;1143,92377915078
3835306;1;2;1;90;2;1;2;2;2;2;2;2;2;1; ;10; ; ; ; ; ; ; ;12;76;10;76;1143,92377915078
3835306;1;3;1;90;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;3; ; ; ;76;10;76;1143,92377915078
3835307;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;76;10;76;763,499144727854
3835308;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;76;10;76;763,499144727854
3835309;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;76;10;76;533,245044361624
3835309;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;76;10;76;533,245044361624
3835309;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;76;10;76;533,245044361624
3835310;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;76;10;76;569,102019425256
3835310;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;76;10;76;569,102019425256
