DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5299789;1;1;1;80;68;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;12;3;68;444,693381281049
5299789;1;2;1;80;68;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;12;4;68;444,693381281049
5299789;1;3;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;444,693381281049
5299790;1;3;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ;1;48;2500000;2;1;12; ;68;567,692107717226
5299790;1;4;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;567,692107717226
5299792;1;1;1;80;68;1;9;NO REQUIERE TRABAJAR;2; ; ;11; ;2; ;2; ; ; ; ;2;1;12;3;68;488,611945373614
5299792;1;2;1;80;68;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;12;4;68;488,611945373614
5299792;1;5;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;488,611945373614
5299792;1;6;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;488,611945373614
5299798;1;2;1;80;54;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;12;4;54;306,304386438718
5299799;1;2;1;80;68;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;536,158137017299
5299800;1;1;1;80;68;1;9;POR LA PANDEMIA;2; ; ;12;POR LA PANDEMIA;2; ;2; ; ; ; ;2;1;12;1,4;68;552,105893372153
5299800;1;2;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;552,105893372153
5299800;1;3;1;80;68;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;68;552,105893372153
5299800;1;4;1;80;68;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;68;552,105893372153
5299838;1;2;1;80;05;1;4; ;2; ; ;4; ;2; ;2; ; ; ;877800;2;1;12;2;05;2603,92141938412
5299838;1;3;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ;2; ;877800;2;1;12; ;05;2603,92141938412
5299840;1;1;1;80;05;1;8; ;1; ;3;8; ;1; ;2; ; ; ; ;2;1;12;4;05;746,879691990968
5299840;1;3;1;80;05;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;12; ;05;746,879691990968
5299846;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;05;2456,2669574448
5299849;1;2;1;80;50;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;50;306,460660742277
5299851;1;2;1;80;50;1;4; ;2; ; ;4; ;1;1;2; ; ; ; ;1;1;12;4;50;524,652362556742
5299852;1;1;1;80;76;1;5; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;12;4;76;1067,299844661
5299854;1;1;1;80;76;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;2;1;12;4;76;1067,299844661
5299856;1;1;1;80;76;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;12;4;76;948,156073338581
5299856;1;2;1;80;76;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;76;948,156073338581
5299857;1;1;1;80;76;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;12;4;76;1067,299844661
5299860;1;1;1;80;50;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;12;3;50;196,570005034615
5299868;1;1;1;80;05;1;7; ;2; ; ;12;POR LA PANDEMIA;2; ;2; ; ; ; ;2;1;12;1,4;05;1087,98856240509
5299869;1;2;1;80;05;1;3; ;2; ; ;2; ;1; ;2; ;1;48;878000;2;1;12;3;05;1245,57037696015
5299870;1;2;1;80;05;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;12; ;05;1229,97370806345
