DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;AREA;MES;DPTO;fex_c_2011
5299787;1;3;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;2;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;68;12;68;566,027553695694
5299788;1;3;2;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;1;2;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;68;12;68;536,043928535201
5299789;1;4;2;1;1;1;1;1;3;1; ; ;250000000;700000; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;2;1;2;1;3;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;12;68;444,693381281049
5299790;1;3;2;1;1;1;1;1;3;1; ; ;150000000;800000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;1;1;2;1;4;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;12;68;567,692107717226
5299791;1;4;1;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;12;68;566,027553695694
5299792;1;6;5;1;1;1;1;1;3;1; ; ;130000000;700000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;1;2;1;6;6;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;68;12;68;488,611945373614
5299798;1;3;1;1;1;1;1;1;3;1; ; ;60000000;400000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;4;1;2;1;1;1;3;1;2;01;54;12;54;306,304386438718
5299799;1;4;2;1;1;1;1;1;3;4; ; ; ;900000; ;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;2;2;1;1;2;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;68;12;68;536,158137017299
5299800;1;4;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;2;2;2;2;1;4;4;1;1;1;2;1;4;1;4;1;1;1;3;1;1;01;68;12;68;552,105893372153
5299801;1;4;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1;2;4;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;68;12;68;494,525540382772
5299836;1;3;1;1;1;1;1;3;3;3; ; ; ; ;410000;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;12;05;2039,35610679277
5299837;1;3;2;3;1;1;1;1;4;2; ;380000;98;400000; ;1;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;3;2; ;1;2;1;2;1;1;2;2;1;2;1;1;01;05;12;05;2518,96759280074
5299838;1;3;2;1;1;1;1;1;3;4; ; ; ;350000; ;2;2;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;4;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;05;12;05;2603,92141938412
5299839;1;3;1;1;1;1;1;1;3;3; ; ; ; ;550000;1;1;1;2;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;12;05;1145,31944207236
5299840;1;3;2;1;1;1;1;1;3;1; ; ;110000000;600000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;12;05;746,879691990968
5299846;1;4;3;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;1;1;1;1;2;1;1;01;05;12;05;2456,2669574448
5299847;1;3;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;05;12;05;1145,31944207236
5299849;1;4;3;1;1;1;1;1;3;2; ;1000000;120000000;600000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;3;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;50;12;50;306,460660742277
5299850;1;1;1;1;2;1;1;1;3;1; ; ;98;80000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2; ;1;3;1;4;1;1;1;1;1;3;1;2;01;50;12;50;197,41052407593
5299851;1;4;3;1;1;1;1;1;3;1; ; ;300000000;600000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;4;9;2; ;1;2;1;4;1;3;1;1;1;3;1;2;01;50;12;50;524,652362556742
5299852;1;4;1;1;1;1;1;1;3;4; ; ; ;750000; ;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;76;12;76;1067,299844661
5299853;1;4;1;1;1;1;1;1;3;4; ; ; ;600000; ;2;1;1;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;76;12;76;986,651992726618
5299854;1;4;1;1;1;1;1;1;3;1; ; ;70000000;800000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;76;12;76;1067,299844661
5299855;1;4;1;1;1;1;1;1;3;3; ; ; ; ;650000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;76;12;76;1067,299844661
5299856;1;4;2;1;1;1;1;1;3;1; ; ;99;420000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;76;12;76;948,156073338581
5299857;1;3;1;1;1;1;1;1;3;1; ; ;99;500000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;76;12;76;1067,299844661
5299860;1;4;1;1;1;1;1;1;3;1; ; ;150000000;1000000; ;1;1;1;2;1;1;1;2;1;2;1;2;2;1;2;2;1;2;2;1;2;1;2;2;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;50;12;50;196,570005034615
5299867;1;3;1;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;1;3;1;1;1;4;1;3;1;1;1;3;1;1;01;05;12;05;998,162469342928
5299868;1;4;1;1;1;1;1;1;3;1; ; ;98;800000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;12;05;1087,98856240509
5299869;1;3;2;1;1;1;1;1;3;3; ; ; ; ;950000;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;1;2;2;1;4;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;12;05;1245,57037696015
5299870;1;4;3;1;1;1;1;1;3;2; ;400000;98;800000; ;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;3;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;12;05;1229,97370806345
5299871;1;4;3;1;1;1;1;1;3;3; ; ; ; ;800000;2;2;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;1;1;2;2;1;3;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;05;12;05;894,036664720403
5299872;1;3;2;1;1;1;1;1;3;1; ; ;197000000;500000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;1;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;50;12;50;373,828023304644
5299873;1;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2; ;1;1;5;2;1;2;2;1;1;3;1;1;01;05;12;05;1087,98856240509
5299874;1;2;2;1;1;1;1;1;4;4; ; ; ;400000; ;2;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;3;2; ;1;1;1;2;1;2;2;1;1;3;1;1;01;05;12;05;889,017431969337
5299875;1;4;3;1;1;1;1;1;3;1; ; ;200000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;12;05;889,9579789047
5299877;1;3;1;1;1;1;1;1;3;1; ; ;150000000;400000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;50;12;50;197,41052407593
5299878;1;1;1;1;1;1;1;2;4;3; ; ; ; ;200000;2;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;3;2; ;1;2;1;2;1;2;2;1;1;3;1;1;01;05;12;05;1144,22630081699
5299879;1;2;1;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;4;1;2;2;1;1;3;1;1;01;05;12;05;1105,42546064284
5299886;1;5;1;1;1;1;1;1;3;4; ; ; ;1100000; ;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;05;12;05;1212,5368098257
5299887;1;1;1;1;1;1;1;1;4;4; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;05;12;05;1252,43079125522
5299928;1;3;2;1;1;1;1;1;3;3; ; ; ; ;480000;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1;1;1;1;2;1;2;3;2; ;1;1;1;4;1;2;1;1;1;3;1;2;01;54;12;54;385,050335940053
