Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3661146;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;22; ;14; ; ; ; ; ; ;1;02;18;89,4384191299473;18
3661147;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;02;18;95,8105851295867;18
3661147;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;12; ; ; ; ; ; ;1;02;18;95,8105851295867;18
3661148;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;18; ; ;25; ; ; ; ; ;1;02;18;37,6430087110937;18
3661148;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;02;18;37,6430087110937;18
3661148;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;02;18;37,6430087110937;18
3661149;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;02;18;74,4005383804636;18
3661149;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;24; ; ;50; ; ; ; ; ;1;02;18;74,4005383804636;18
3661150;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;02;18;94,9280011762879;18
3661150;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;02;18;94,9280011762879;18
3661150;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;02;18;94,9280011762879;18
3661151;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;02;18;74,3957814328594;18
3661151;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;02;18;74,3957814328594;18
3661151;1;3;1;90;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;16; ; ; ;1;02;18;74,3957814328594;18
3661152;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;02;18;46,51840059289;18
3661152;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;02;18;46,51840059289;18
