Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3661560;1;4;1;70;73;48;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;18;1;2;1810;02;73;215,578986591155
3661560;1;5;1;70;73;36;48;1; ;2;36;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;08;63;1;2;6331;02;73;215,578986591155
3661568;1;4;1;70;73;8;48;4; ;2;8;2; ;9;1; ; ; ;1; ; ;1; ; ; ; ;2; ;2;21;13;80;1;1;8060;02;73;390,425815952585
3661568;1;5;1;70;73;52;56;1; ;2;14;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;22;1;2;2211;02;73;390,425815952585
3661574;1;2;1;70;66;48;48;1; ;2;48;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;02;66;260,496751638089
3661587;1;3;1;70;66;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;02;66;310,563191283627
3661596;1;2;1;70;66;4;56;1; ;2;4;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;1;300000;2;45;55;74;1;1;7493;02;66;297,555527969921
3661596;1;3;1;70;66;8;40;1; ;2;8;1; ;8;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;32;32;52;1;1;5211;02;66;297,555527969921
3661597;1;1;1;70;66;10;48;1; ;2;10;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;97;45;1;1;4530;02;66;343,221504061198
3661600;1;2;1;70;66;52;40;4; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;02;66;220,800029274808
3661604;1;5;1;70;66;5;48;1; ;2;5;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;02;66;328,735747894629
3661608;1;3;1;70;66;22;36;4; ;2;22;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;62;80;1;2;8050;02;66;418,773004909602
3661638;1;2;1;70;17;24;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;36;1;2;3699;02;17;178,615599549797
3661639;1;1;1;70;17;2;48;1; ;2;2;1; ;5;1; ; ;1; ; ; ; ; ; ; ; ;1;840000;2;98;45;52;1;1;5241;02;17;229,807932834772
3661648;1;2;1;70;17;24;50;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;02;17;105,15863162108
3661650;1;3;1;70;17;8;48;1; ;2;8;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;50;55;1;1;5521;02;17;175,023743476895
3661652;1;1;1;70;17;8;48;1; ;2;24;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;54;95;1;1;9500;02;17;200,723703572576
3661662;1;3;1;70;17;24;48;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;74;1;2;7499;02;17;155,271260321303
3661665;1;1;1;70;17;250;48;1; ;2;312;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;28;1;2;2893;02;17;130,658113618075
3661665;1;2;1;70;17;48;24;1; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;59;95;1;2;9500;02;17;130,658113618075
3661765;1;1;1;70;54;8;48;4; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;19;1;1;1929;02;54;458,192273765823
3661814;1;2;1;70;76;6;48;1; ;2;168;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5530;02;76;986,154782575643
3661815;2;1;2;70;76;1;40;3; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5211;02;76;858,010923305778
3661839;2;1;2;70;68;12;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;53;53;80;1;1;8050;02;68;414,238900814237
3661842;1;2;1;70;68;3;48;1; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;41;18;1;1;1810;02;68;1117,52598807285
3661845;1;3;1;70;68;1;65;9;AYUDANTE DE TRABAJADOR CUENTA PROPIA;2;8;9;AYUDANTE DE TRABAJADOR CUENTA PROPIA;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1921;02;68;565,323751049696
3661847;1;2;1;70;68;1;48;1; ;2;24;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8513;02;68;560,932229933597
3661870;1;3;1;70;68;3;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;02;68;617,761988665993
3661897;1;2;1;70;73;4;48;1; ;2;4;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;33;33;70;1;1;7010;02;73;210,82190398572
3661904;1;2;1;70;73;8;45;1; ;2;10;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;2;53;85;40;1;1;4010;02;73;259,058016485399
3661908;1;2;1;70;73;16;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;36;1;2;3611;02;73;296,029029580939
3661910;1;1;1;70;73;16;48;1; ;2;16;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;02;73;250,033182305545
3661916;1;1;1;70;73;8;48;1; ;2;8;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;79;18;1;1;1810;02;73;291,357914145119
3661920;1;4;1;70;73;24;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;2;8511;02;73;169,848627372113
3661921;1;1;1;70;73;7;48;4; ;2;7;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;02;73;193,662266711933
3661929;1;1;1;70;73;16;40;4; ;2;48;2; ;9;1; ; ; ; ; ; ; ; ;1; ;ES PENSIONADO;2; ;2;98;58;75;1;2;7522;02;73;210,891384344697
3661944;1;4;1;70;73;12;48;3; ;2;1;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;56;93;1;1;9301;02;73;304,109348002437
3661953;1;2;1;70;66;5;48;1; ;2;5;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;52;1;1;5211;02;66;263,263489238426
3661957;1;3;1;70;66;4;48;1; ;2;4;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;45;39;75;1;1;7512;02;66;340,656215837958
3661967;1;1;1;70;66;4;48;1; ;2;4;5; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;03;03;74;1;1;7430;02;66;209,985108421388
3661967;1;2;1;70;66;36;48;1; ;2;36;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;32;74;1;2;7430;02;66;209,985108421388
3661973;1;3;1;70;66;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;02;66;245,653623740658
3661980;1;2;1;70;76;208;40;1; ;2;104;3; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;02;76;819,855109459818
3661988;1;7;1;70;76;12;72;1; ;2;28;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;70;1;1;7010;02;76;1187,09143373972
3661993;1;2;1;70;76;21;60;1; ;2;3;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;97;97;15;1;2;1530;02;76;882,99559893868
3662059;1;4;1;70;17;104;24;1; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;08;08;72;1;2;7220;02;17;230,868087631824
3662060;1;3;1;70;17;75;48;1; ;2;6;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;39;74;1;2;7499;02;17;232,625269021635
3662063;1;2;1;70;17;9;48;2; ;2;9;2; ;9;7; ; ; ;1; ; ; ; ; ; ; ;2; ;2;18;18;75;1;1;7512;02;17;178,615599549797
3662064;1;1;1;70;17;240;50;1; ;2;244;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;90;97;28;1;2;2893;02;17;226,35101818193
3662077;1;1;1;70;17;8;55;1; ;2;156;8; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;62;01;1;1;0111;02;17;164,11791916969
3662082;1;4;1;70;17;1;48;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;74;1;1;7499;02;17;114,945787233155
3662085;1;2;1;70;17;4;48;1; ;2;6;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;45;52;1;1;5233;02;17;240,122340445149
3662137;1;5;1;70;54;3;30;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;02;54;448,005266874283
3662143;1;1;1;70;54;4;48;4; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;02;54;576,346137629644
3662143;1;4;1;70;54;3;40;4; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;02;54;576,346137629644
3662144;1;1;1;70;54;2;40;4; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;74;1;1;7493;02;54;295,617059113641
3662153;1;4;1;70;54;14;14;4; ;2;14;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;91;20;1;2;2090;02;54;299,795038122747
3662154;1;2;1;70;54;10;24;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8060;02;54;378,482383989811
3662314;1;2;1;70;73;52;30;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5239;02;73;197,25553602002
3662316;1;1;1;70;73;2;50;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;95;97;63;1;1;6310;02;73;228,941052704405
3662326;1;2;1;70;73;52;55;4; ;2;52;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;02;73;210,752423626742
3662333;1;2;1;70;68;2;25;9;AYUDANTE DE MADRE COMUNITARIA;2;12;9;AYUDANTE DE MADRE COMUNITARIA;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;02;68;419,715364595511
3662335;1;2;1;70;68;2;36;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;80;19;1;1;1929;02;68;1121,86445986719
