DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4707561;1;3;1;70;17;36;48;1; ;2;36;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;59;59;85;1;2;8511;09;17;145,301980799352
4707562;1;1;1;70;17;12;48;1; ;2;54;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;19;21;85;1;1;8532;09;17;189,229140982246
4707565;1;3;1;70;17;32;48;1; ;2;32;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;79;79;19;1;2;1929;09;17;191,442914115601
4707570;1;1;1;70;17;2;48;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;940000;781242;2; ;45;38;64;1;1;6421;09;17;242,734018235637
4707578;1;2;1;70;17;16;48;1; ;2;3;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;50000;781242;2; ;51;51;55;1;2;5530;09;17;151,544712183245
4707579;1;2;1;70;17;4;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;781242;2; ;33;37;52;1;1;5223;09;17;192,020610211898
4707658;1;1;1;70;23;8;48;1; ;2;8;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;13;13;80;1;1;8011;09;23;179,010497375904
4707658;1;2;1;70;23;4;48;1; ;2;48;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;59;59;85;1;1;8511;09;23;179,010497375904
4707661;1;1;1;70;23;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;781242;2; ;45;87;28;1;1;2811;09;23;158,313574749643
4707666;1;3;1;70;23;16;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;59; ; ;1;2; ;09;23;187,795991094872
4707668;1;3;1;70;23;10;48;1; ;2;10;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;75;1;1;7522;09;23;165,570547180092
4707671;1;1;1;70;23;48;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;58;58;63;1;2;6331;09;23;120,236796792475
4707672;1;3;1;70;23;20;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;32; ; ;1;2; ;09;23;206,36793275786
4707674;1;4;1;70;23;48;48;1; ;2;48;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;58;58;45;1;2;4521;09;23;137,71717847912
4707798;1;2;1;70;50;28;48;1; ;2;32;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;39;55;1;2;5511;09;50;312,595293874677
4707799;1;3;1;70;50;8;70;1; ;2;8;1; ;9;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;1500000;2; ;45;45;15;1;1;1594;09;50;171,285431432141
4707802;1;3;1;70;50;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;83; ; ;1;2; ;09;50;173,98322155651
4707809;1;1;1;70;50;120;48;1; ;2;520;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;39;39;52;1;2;5211;09;50;271,419878797745
4707812;2;1;2;70;50;6;48;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;53;55;1;1;5529;09;50;162,795743631895
4707820;1;1;1;70;50;20;48;1; ;2;5;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;58;95;45;1;2;4552;09;50;189,802216969331
4707820;1;4;1;70;50;2;48;4; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;02;53;55;1;1;5521;09;50;189,802216969331
4707822;1;3;1;70;50;5;40;4; ;2;40;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;74;74;24;1;1;2423;09;50;150,493238093925
4707823;1;3;1;70;50;7;48;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;650000;900000;2; ;45;45;52;1;1;5233;09;50;257,993148499947
4707838;1;1;1;70;50;24;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;32;33;91;1;2;9111;09;50;238,326274169278
4707841;1;2;1;70;50;16;48;1; ;2;18;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;03;03;45;1;2;4530;09;50;266,906312871255
