DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4707237;1;2;1;70;1;1;48;1; ;2;156;1; ;9;2;2; ; ; ;1;1; ; ;1; ; ; ;2; ;3000000;2; ;21;21;45;1;1;09;4530;68;1955,9729483845; 
4707239;1;2;1;70;1;24;24;5; ;2;720;1; ;4;2;2; ; ; ; ; ;1; ; ; ; ; ;2; ;3000000;2; ;79;79;18;1;2;09;1810;68;4677,05487692911; 
4707240;1;2;1;70;1;4;48;1; ;2;12;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;19;19;92;1;1;09;9249;68;3451,59941700345; 
4707247;1;2;1;70;1;1;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;33; ; ;1;1;09; ;68;2330,21312230988; 
4707293;1;3;1;70;1;8;48;1; ;2;8;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;87;22;1;1;09;2220;05;871,714431421694;05
4707298;1;2;1;70;1;2;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;09;5233;05;1049,81495434659;05
4707312;1;3;1;70;1;8;48;1; ;2;12;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;97;45;51;1;1;09;5133;05;1068,24189063194;05
4707322;1;2;1;70;1;208;48;1; ;2;4;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;1;50000;781200;2; ;03;85;72;1;2;09;7250;05;976,819436193392;05
4707326;1;1;1;70;1;104;24;4; ;2;99;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;13;80;1;2;09;8041;05;850,256197950026;05
4707342;1;2;1;70;1;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;97;51;1;1;09;5125;05;923,928527906104;05
4707344;1;1;1;70;1;6;60;1; ;2;6;1; ;6;2;7; ; ; ; ; ; ; ; ; ; ;1;1;1600000;2400000;2; ;02;02;70;1;1;09;7010;05;1081,92444096509;05
4707357;1;1;1;70;1;12;48;4; ;2;260;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;53;55;52;1;1;09;5239;05;1007,84526376328;05
4707357;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;45;52;1;1;09;5235;05;1007,84526376328;05
4707360;1;1;1;70;1;33;48;1; ;2;33;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;39;03;74;1;2;09;7492;05;1246,83890773578;05
4707368;1;3;1;70;1;4;16;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;19;45;52;1;1;09;5233;05;1146,585017224;05
4707374;1;3;1;70;1;52;30;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;03; ; ;1;2;09; ;05;874,253253362554;05
4707375;1;1;1;70;1;16;48;1; ;2;312;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;60000;781242;2; ;45;45;15;1;2;09;1551;05;850,256197950026;05
4707376;1;1;1;70;1;16;48;1; ;2;27;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;39;72;1;2;09;7220;05;866,251040602239;05
4707376;1;2;1;70;1;16;48;1; ;2;17;1; ;3;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;37;97;15;1;2;09;1551;05;866,251040602239;05
4707386;1;2;1;70;1;4;48;1; ;2;12;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;84;45;52;1;1;09;5211;05;866,251040602239;05
4707391;1;3;1;70;1;28;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;38;03;64;1;2;09;6421;05;926,467349846964;05
4707406;1;2;1;70;1;4;48;1; ;2;48;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;21;39;65;1;1;09;6512;11;2925,99708916418;11
4707408;1;2;1;70;1;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1000000; ; ;45; ; ;1;1;09; ;13;424,299122857135;13
