Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3465398;1;4;1;70;2;12;50;4; ;2;12;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;05;66;1480,2348815351
3465401;1;1;1;70;2;8;48;3; ;2;12;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;05;66;1237,09481564538
3465404;1;1;1;70;2;24;48;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;66;1043,31749896994
3465405;1;1;1;70;2;4;50;8; ;2;96;8; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0122;05;66;1043,31749896994
3465409;1;1;1;70;2;16;48;1; ;2;16;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;05;66;871,269179187436
3465409;1;2;1;70;2;12;48;1; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;05;66;871,269179187436
3465421;1;2;1;70;2;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;66;1646,27288530223
3465423;1;3;1;70;2;2;48;1; ;2;3;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;33;38;64;1;1;6421;05;66;1041,43897949399
3465426;1;2;1;70;2;1;54;8; ;2;2;8; ;3;6; ; ; ; ;1; ; ; ; ; ; ;1;320000;2;62;62;01;1;1;0111;05;66;1181,66938419295
3469278;1;1;1;70;2;12;40;1; ;2;60;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;05;19;1247,83983047317
3469303;1;3;1;70;2;6;40;4; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;05;19;2015,00027132213
3469319;1;4;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;61;61;01;1;1;0140;05;19;2264,57345684186
3472594;1;2;1;70;2;2;48;3; ;2;30;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;62;01;1;1;0118;05;68;1082,63528599662
3472599;1;3;1;70;2;2;48;1; ;2;216;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;54;95;1;1;9500;05;68;951,065323977038
3472600;1;3;1;70;2;12;48;1; ;2;24;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;51;1;1;5170;05;68;1386,76672698193
3472607;1;3;1;70;2;2;48;8; ;2;1;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;95;95;45;1;1;4521;05;68;1217,53764417608
3472622;1;2;1;70;2;2;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;05;68;827,97204307816
